rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
97,Andrea Bertolacci,it ITA,MF,Fatih Karagümrük,31,1991,9.2,,,,,,,,,,,,3,,,,,,Matches
98,Adel Bettaieb,tn TUN,FW,Ümraniyespor,25,1997,8.0,,,,,,,,,,,,0,,,,,,Matches
99,Lucas Biglia,ar ARG,MF,Başakşehir,36,1986,18.2,,,,,,,,,,,,0,,,,,,Matches
100,Hayrullah Bilazer,,DF,Giresunspor,27,1995,30.4,,,,,,,,,,,,2,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
101,Emre Bilgin,tr TUR,GK,Beşiktaş,18,2004,2.0,,,,,,,,,,,,0,,,,,,Matches
102,Tayfur Bingöl,tr TUR,MF,Alanyaspor,29,1993,1.5,,,,,,,,,,,,0,,,,,,Matches
103,Tayfur Bingöl,tr TUR,"MF,DF",Beşiktaş,29,1993,10.6,,,,,,,,,,,,2,,,,,,Matches
104,Mame Biram Diouf,sn SEN,FW,Konyaspor,34,1987,18.3,,,,,,,,,,,,1,,,,,,Matches
105,Davide Biraschi,it ITA,DF,Fatih Karagümrük,28,1994,27.5,,,,,,,,,,,,0,,,,,,Matches
106,Birkir Bjarnason,is ISL,"MF,FW",Adana Demirspor,34,1988,2.5,,,,,,,,,,,,2,,,,,,Matches
107,Sacha Boey,fr FRA,DF,Galatasaray,21,2000,30.1,,,,,,,,,,,,4,,,,,,Matches
108,Ruud Boffin,be BEL,GK,Antalyaspor,34,1987,7.0,,,,,,,,,,,,0,,,,,,Matches
109,Fabio Borini,it ITA,"FW,MF",Fatih Karagümrük,31,1991,26.3,,,,,,,,,,,,8,,,,,,Matches
110,Arif Boşluk,,"MF,DF",Trabzonspor,19,2003,3.2,,,,,,,,,,,,0,,,,,,Matches
111,Andreas Bouchalakis,gr GRE,MF,Konyaspor,29,1993,8.1,,,,,,,,,,,,0,,,,,,Matches
112,Mehdi Boudjemaa,dz ALG,MF,Hatayspor,24,1998,12.0,,,,,,,,,,,,0,,,,,,Matches
113,Tyler Boyd,us USA,"FW,MF",Beşiktaş,27,1994,0.5,,,,,,,,,,,,0,,,,,,Matches
114,Umut Bozok,tr TUR,FW,Trabzonspor,25,1996,12.7,,,,,,,,,,,,1,,,,,,Matches
115,Bruma,pt POR,"FW,MF",Fenerbahçe,27,1994,0.3,,,,,,,,,,,,0,,,,,,Matches
116,Jeffrey Bruma,nl NED,DF,Kasımpaşa,30,1991,8.1,,,,,,,,,,,,0,,,,,,Matches
117,Onur Bulut,tr TUR,DF,Beşiktaş,28,1994,6.5,,,,,,,,,,,,1,,,,,,Matches
118,Onur Bulut,tr TUR,DF,Kayserispor,28,1994,21.0,,,,,,,,,,,,3,,,,,,Matches
119,Zymer Bytyqi,no NOR,MF,Konyaspor,25,1996,16.5,,,,,,,,,,,,1,,,,,,Matches
120,Torgeir Børven,no NOR,FW,Gaziantep FK,30,1991,0.2,,,,,,,,,,,,0,,,,,,Matches
121,Musa Çağıran,tr TUR,MF,Hatayspor,29,1992,4.5,,,,,,,,,,,,0,,,,,,Matches
122,Oğulcan Çağlayan,tr TUR,"FW,MF",Giresunspor,26,1996,2.0,,,,,,,,,,,,0,,,,,,Matches
123,Júnior Caiçara,br BRA,DF,Başakşehir,33,1989,7.1,,,,,,,,,,,,1,,,,,,Matches
124,Jordy Caicedo,ec ECU,FW,Sivasspor,24,1997,5.3,,,,,,,,,,,,1,,,,,,Matches
125,Aldin Čajić,ba BIH,MF,İstanbulspor,29,1992,1.4,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
126,Uğurcan Çakır,tr TUR,GK,Trabzonspor,26,1996,30.7,,,,,,,,,,,,0,,,,,,Matches
127,Francisco Calvo,cr CRC,DF,Konyaspor,30,1992,30.8,,,,,,,,,,,,0,,,,,,Matches
128,Samba Camara,ml MLI,DF,Sivasspor,29,1992,5.8,,,,,,,,,,,,0,,,,,,Matches
129,Gustavo Campanharo,br BRA,MF,Kayserispor,30,1992,18.9,,,,,,,,,,,,1,,,,,,Matches
130,Jorman Campuzano,co COL,MF,Giresunspor,26,1996,23.4,,,,,,,,,,,,0,,,,,,Matches
131,Erol Can Akdağ,,MF,Giresunspor,25,1996,0.7,,,,,,,,,,,,0,,,,,,Matches
132,İrfan Can Eğribayat,tr TUR,GK,Fenerbahçe,24,1998,8.0,,,,,,,,,,,,0,,,,,,Matches
133,Faruk Can Genç,,DF,Giresunspor,22,2000,6.9,,,,,,,,,,,,1,,,,,,Matches
134,Mert Can,,DF,Ankaragücü,17,2005,0.0,,,,,,,,,,,,0,,,,,,Matches
135,Daniel Candeias,pt POR,"MF,FW",Alanyaspor,34,1988,17.4,,,,,,,,,,,,3,,,,,,Matches
136,Atakan Çankaya,tr TUR,DF,Ankaragücü,24,1998,14.9,,,,,,,,,,,,0,,,,,,Matches
137,Erdem Canpolat,de GER,GK,Kasımpaşa,21,2001,9.0,,,,,,,,,,,,0,,,,,,Matches
138,Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",Kayserispor,28,1994,25.9,,,,,,,,,,,,6,,,,,,Matches
139,Lionel Carole,fr FRA,DF,Kayserispor,31,1991,22.2,,,,,,,,,,,,1,,,,,,Matches
140,Steven Caulker,sl SLE,DF,Fatih Karagümrük,30,1991,4.2,,,,,,,,,,,,0,,,,,,Matches
141,Ivan Cavaleiro,pt POR,"MF,FW",Alanyaspor,28,1993,12.0,,,,,,,,,,,,5,,,,,,Matches
142,Endri Çekiçi,al ALB,MF,Konyaspor,25,1996,12.2,,,,,,,,,,,,0,,,,,,Matches
143,Batuhan Çelik,tr TUR,FW,Başakşehir,17,2005,0.4,,,,,,,,,,,,0,,,,,,Matches
144,Bersant Celina,xk KVX,MF,Kasımpaşa,25,1996,10.9,,,,,,,,,,,,1,,,,,,Matches
145,Murat Cem Akpınar,tr TUR,MF,Giresunspor,23,1999,9.0,,,,,,,,,,,,0,,,,,,Matches
146,Muzaffer Cem Kablan,,GK,Fatih Karagümrük,22,2000,0.1,,,,,,,,,,,,0,,,,,,Matches
147,Sahverdi Cetin,de GER,MF,Ankaragücü,21,2000,0.0,,,,,,,,,,,,0,,,,,,Matches
148,Erdem Çetinkaya,tr TUR,FW,Kasımpaşa,21,2001,0.4,,,,,,,,,,,,0,,,,,,Matches
149,Oğuz Ceylan,tr TUR,DF,Ankaragücü,31,1990,8.1,,,,,,,,,,,,1,,,,,,Matches
150,Nacer Chadli,be BEL,MF,Başakşehir,32,1989,0.7,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
151,Charis Charisis,gr GRE,MF,Sivasspor,27,1995,19.3,,,,,,,,,,,,1,,,,,,Matches
152,Anastasios Chatzigiovannis,gr GRE,"MF,FW",Ankaragücü,25,1997,9.3,,,,,,,,,,,,2,,,,,,Matches
153,Mounir Chouiar,fr FRA,"FW,MF",Başakşehir,23,1999,10.5,,,,,,,,,,,,4,,,,,,Matches
154,Mounir Chouiar,fr FRA,"MF,FW",Kasımpaşa,23,1999,10.6,,,,,,,,,,,,1,,,,,,Matches
155,Alexandru Cicâldău,ro ROU,MF,Galatasaray,25,1997,0.1,,,,,,,,,,,,0,,,,,,Matches
156,Ibrahim Cicek,,MF,Ankaragücü,15,2006,0.1,,,,,,,,,,,,0,,,,,,Matches
157,Uğur Çiftçi,tr TUR,DF,Sivasspor,30,1992,19.9,,,,,,,,,,,,4,,,,,,Matches
158,Sadık Çiftpınar,tr TUR,DF,Kasımpaşa,29,1993,11.3,,,,,,,,,,,,0,,,,,,Matches
159,Tolga Ciğerci,tr TUR,MF,Ankaragücü,30,1992,15.9,,,,,,,,,,,,3,,,,,,Matches
160,Mirza Cihan,,MF,Gaziantep FK,21,2000,1.6,,,,,,,,,,,,0,,,,,,Matches
161,Sokol Cikalleshi,al ALB,FW,Konyaspor,32,1990,1.1,,,,,,,,,,,,0,,,,,,Matches
162,Ramazan Civelek,tr TUR,MF,Kayserispor,26,1996,12.8,,,,,,,,,,,,2,,,,,,Matches
163,Isaac Cofie,gh GHA,MF,Sivasspor,30,1991,9.6,,,,,,,,,,,,0,,,,,,Matches
164,İsmail Çokçalış,tr TUR,DF,Adana Demirspor,22,2000,4.5,,,,,,,,,,,,2,,,,,,Matches
165,Ebrima Colley,gm GAM,"FW,MF",Fatih Karagümrük,22,2000,16.4,,,,,,,,,,,,6,,,,,,Matches
166,Omar Colley,gm GAM,DF,Beşiktaş,29,1992,10.0,,,,,,,,,,,,0,,,,,,Matches
167,Kamil Çörekçi,tr TUR,DF,Hatayspor,30,1992,15.9,,,,,,,,,,,,1,,,,,,Matches
168,Andreas Cornelius,dk DEN,FW,Trabzonspor,29,1993,3.8,,,,,,,,,,,,1,,,,,,Matches
169,Crespo,pt POR,MF,Fenerbahçe,25,1996,12.9,,,,,,,,,,,,2,,,,,,Matches
170,Enzo Crivelli,fr FRA,FW,Başakşehir,27,1995,0.2,,,,,,,,,,,,0,,,,,,Matches
171,Mehmet Dadakdeniz,tr TUR,GK,Antalyaspor,22,1999,1.0,,,,,,,,,,,,0,,,,,,Matches
172,Brahim Darri,nl NED,"FW,MF",Fatih Karagümrük,27,1994,0.1,,,,,,,,,,,,1,,,,,,Matches
173,Doğan Davas,,MF,Giresunspor,24,1997,5.7,,,,,,,,,,,,2,,,,,,Matches
174,Sergio Antonio De Luiz Junior,br BRA,MF,Giresunspor,27,1995,26.1,,,,,,,,,,,,6,,,,,,Matches
175,Yonathan Del Valle,ve VEN,"FW,MF",Ümraniyespor,32,1990,8.0,,,,,,,,,,,,1,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
176,Simon Deli,ci CIV,DF,İstanbulspor,30,1991,7.8,,,,,,,,,,,,0,,,,,,Matches
177,Anıl Demir,,GK,Ümraniyespor,25,1996,1.0,,,,,,,,,,,,0,,,,,,Matches
178,Muhammet Demir,tr TUR,FW,Konyaspor,30,1992,15.6,,,,,,,,,,,,0,,,,,,Matches
179,Yusuf Demir,at AUT,MF,Galatasaray,19,2003,0.8,,,,,,,,,,,,0,,,,,,Matches
180,Adil Demirbağ,tr TUR,DF,Konyaspor,24,1997,26.6,,,,,,,,,,,,0,,,,,,Matches
181,Kahraman Demirtapa,tr TUR,DF,Konyaspor,28,1994,2.8,,,,,,,,,,,,0,,,,,,Matches
182,Stefano Denswil,sr SUR,DF,Trabzonspor,29,1993,13.2,,,,,,,,,,,,0,,,,,,Matches
183,Eren Derdiyok,ch SUI,FW,Ankaragücü,34,1988,0.3,,,,,,,,,,,,0,,,,,,Matches
184,Ersin Destanoğlu,tr TUR,GK,Beşiktaş,21,2001,9.0,,,,,,,,,,,,0,,,,,,Matches
185,Lamine Diack,sn SEN,MF,Ankaragücü,21,2000,15.4,,,,,,,,,,,,0,,,,,,Matches
186,Mbaye Diagne,sn SEN,FW,Fatih Karagümrük,30,1991,27.8,,,,,,,,,,,,5,,,,,,Matches
187,Famara Diedhiou,sn SEN,FW,Alanyaspor,29,1992,0.3,,,,,,,,,,,,0,,,,,,Matches
188,Soner Dikmen,tr TUR,MF,Konyaspor,28,1993,28.0,,,,,,,,,,,,1,,,,,,Matches
189,Selim Dilli,,DF,Kasımpaşa,24,1998,0.1,,,,,,,,,,,,0,,,,,,Matches
