rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
632,Jeremías Perales,ar ARG,FW,Banfield,21,2000,2.7,0,0,0,7,5,0,1,0,3,0,0,0,5,15,12,55.6,Matches
633,Mariano Peralta,ar ARG,"FW,MF",Unión,23,1998,8.5,1,0,0,10,7,5,17,4,9,0,0,0,33,17,30,36.2,Matches
634,Guillermo Pereira,ar ARG,MF,Godoy Cruz,28,1994,0.2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0.0,Matches
635,Elías Pereyra,ar ARG,"DF,MF",Godoy Cruz,22,1999,4.0,0,0,0,6,2,0,7,8,4,0,0,0,24,3,6,33.3,Matches
636,Fabio Pereyra,ar ARG,DF,Cen. Córdoba–SdE,32,1990,22.5,5,1,0,19,10,1,2,31,24,0,1,0,117,87,30,74.4,Matches
637,Joaquín Pereyra,ar ARG,MF,Atlé Tucumán,23,1998,25.2,4,0,0,58,38,1,123,33,56,0,0,0,212,26,27,49.1,Matches
638,Damián Pérez,ar ARG,DF,Arsenal,33,1988,22.9,7,0,0,27,25,1,119,37,37,0,0,0,144,31,23,57.4,Matches
639,Enzo Pérez,ar ARG,MF,River Plate,35,1986,16.8,6,0,0,31,28,0,3,37,24,0,0,0,132,50,38,56.8,Matches
640,Facundo Pérez,ar ARG,MF,Lanús,22,1999,9.2,3,0,0,18,15,0,7,12,15,0,0,0,79,7,11,38.9,Matches
641,Mateo Pérez,ar ARG,DF,Banfield,21,2000,1.0,1,0,0,1,0,0,0,1,1,0,0,0,2,8,0,100.0,Matches
642,Matías Pérez,ar ARG,DF,Lanús,22,1999,24.4,8,1,0,18,9,0,3,47,44,0,3,0,139,63,55,53.4,Matches
643,Pablo Pérez,ar ARG,MF,Newell's OB,36,1985,7.6,6,0,0,21,18,0,8,4,14,0,0,0,58,4,7,36.4,Matches
