rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
96,Lucas Besozzi,ar ARG,"MF,FW",Cen. Córdoba–SdE,19,2003,4.3,0,1,0,0.0,0.23,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
97,Gonzalo Bettini,ar ARG,DF,Sarmiento,29,1992,22.5,0,13,1,7.7,0.58,0.04,0.00,0.00,27.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
98,Bruno Bianchi,ar ARG,DF,Atlé Tucumán,32,1989,25.0,0,10,2,20.0,0.40,0.08,0.00,0.00,9.8,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches
99,Mariano Bíttolo,ar ARG,DF,Arg Juniors,31,1990,8.0,0,9,2,22.2,1.12,0.25,0.00,0.00,18.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
100,Jonathan Blanco,ar ARG,MF,Barracas Central,34,1987,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Lautaro Blanco,ar ARG,DF,Rosario Central,22,1999,25.0,0,13,3,23.1,0.52,0.12,0.00,0.00,23.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
102,Nicolás Blandi,ar ARG,FW,San Lorenzo,32,1990,1.1,0,1,0,0.0,0.89,0.00,0.00,,4.3,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
103,Brian Blando,ar ARG,FW,Lanús,26,1995,8.2,2,10,6,60.0,1.22,0.73,0.20,0.33,15.9,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
104,Brian Blasi,ar ARG,DF,Barracas Central,25,1996,7.7,0,4,1,25.0,0.52,0.13,0.00,0.00,16.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
105,Lucas Blondel,ch SUI,DF,Tigre,25,1996,25.6,1,36,9,25.0,1.41,0.35,0.03,0.11,28.1,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches
106,Mauro Bogado,ar ARG,MF,Platense,36,1985,1.6,1,3,2,66.7,1.90,1.27,0.33,0.50,31.6,1,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
107,Luciano Boggio,it ITA,MF,Lanús,22,1999,12.1,0,27,4,14.8,2.23,0.33,0.00,0.00,22.1,3,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
108,Enrique Bologna,ar ARG,GK,Banfield,39,1982,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,Patricio Boolsen,ar ARG,DF,Aldosivi,24,1998,13.4,1,6,2,33.3,0.45,0.15,0.17,0.50,10.9,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
