rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
113,Salem Al-Dawsari,sa KSA,MF,Al-Hilal,32,1991,30.9,3,0,0,21,37,11,140,11,38,,,0,Matches
114,Ignacio De Arruabarrena,uy URU,GK,Al-Wehda,27,1997,2.0,0,0,0,0,1,0,0,0,1,,,0,Matches
115,Moussa Dembélé,fr FRA,FW,Al-Ettifaq,28,1996,17.0,2,0,0,28,12,4,2,0,3,,,0,Matches
116,Merih Demiral,tr TUR,DF,Al-Ahli,26,1998,29.0,7,1,0,30,10,5,4,33,24,,,1,Matches
117,Jason Denayer,be BEL,DF,Al-Fateh,29,1995,13.0,1,0,0,7,2,0,0,8,9,,,0,Matches
118,Bandar Derwish,sa KSA,DF,Al-Wehda,22,2001,3.7,2,1,1,7,7,0,9,6,9,,,0,Matches
119,Moussa Diaby,fr FRA,MF,Al-Ittihad,25,1999,22.1,4,1,0,15,12,8,135,10,10,,,0,Matches
120,Habib Diallo,sn SEN,FW,Damac,29,1995,25.6,1,0,0,26,25,23,9,6,2,,,0,Matches
121,Aliou Dieng,ml MLI,MF,Al Kholood Saudi Club,26,1997,29.2,5,0,0,27,19,1,29,43,30,,,0,Matches
122,Djaniny,cv CPV,FW,Al-Fateh,33,1991,18.8,3,0,0,17,26,5,6,4,3,,,0,Matches
123,Rakan Al Dosari,sa KSA,FW,Al-Raed,22,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
124,Abdurahman Al-Dossari,sa KSA,MF,Al-Qadsiah,26,1997,0.5,0,0,0,3,0,0,0,1,2,,,0,Matches
125,Jamaan Al-Dossari,sa KSA,DF,Al Kholood Saudi Club,30,1993,1.2,1,0,0,2,0,0,0,4,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Mohammed Al Dossary,sa KSA,"DF,MF",Al-Raed,25,1999,20.9,7,0,0,16,31,2,33,20,33,,,0,Matches
127,Mohamed Al Dowaish,sa KSA,DF,Al-Fayha,20,2004,3.7,1,0,0,5,2,0,8,5,4,,,0,Matches
128,Hisham Al Dubais,sa KSA,FW,Al-Khaleej,22,2001,1.4,1,0,0,3,1,1,1,0,1,,,0,Matches
129,Hisham Al Dubais,sa KSA,FW,Al-Shabab,22,2001,0.4,1,0,0,2,0,0,2,2,0,,,0,Matches
130,Abdulraouf Al Duqayl,sa KSA,GK,Al-Fayha,28,1995,4.4,2,0,0,0,2,0,0,0,0,,,0,Matches
131,Jáder Durán,co COL,FW,Al-Nassr,20,2003,12.1,4,1,0,17,18,8,2,2,6,,,0,Matches
132,Majid Duran,,MF,Al-Ettifaq,,,0.5,0,0,0,3,1,0,3,0,0,,,0,Matches
133,Abdulaziz Al Elewai,sa KSA,MF,Al-Ettifaq,20,2004,0.3,1,0,0,0,2,0,4,1,2,,,0,Matches
134,Waleed Al-Enezi,sa KSA,GK,Al-Fateh,28,1996,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
135,Josen Escobar,co COL,MF,Al-Ettifaq,19,2004,4.0,1,0,0,4,1,0,0,4,3,,,0,Matches
