rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
71,Ante Budimir,hr CRO,FW,Mallorca,28,1991,30.7,13,54,20,37.0,1.76,0.65,0.20,0.55,12.5,0,2,2,11.1,9.5,0.18,+1.9,+1.5,Matches
72,Esteban Burgos,ar ARG,DF,Eibar,27,1992,12.4,1,3,1,33.3,0.24,0.08,0.33,1.00,9.3,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches
73,Burgui,es ESP,MF,Alavés,25,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Oliver Burke,sct SCO,"MF,FW",Alavés,22,1997,15.9,1,21,8,38.1,1.32,0.50,0.05,0.13,13.5,0,0,0,2.9,2.9,0.14,-1.9,-1.9,Matches
75,Sergio Busquets,es ESP,MF,Barcelona,31,1988,27.6,2,10,4,40.0,0.36,0.14,0.20,0.50,16.4,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Unai Bustinza,es ESP,DF,Leganés,27,1992,29.8,0,6,3,50.0,0.20,0.10,0.00,0.00,13.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
77,Erick Cabaco,uy URU,DF,Getafe,24,1995,3.0,0,1,0,0.0,0.34,0.00,0.00,,6.0,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
78,Erick Cabaco,uy URU,DF,Levante,24,1995,9.0,0,4,0,0.0,0.44,0.00,0.00,,14.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
79,Ariday Cabrera,es ESP,MF,Mallorca,30,1988,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,17.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
80,Leandro Cabrera,uy URU,DF,Getafe,28,1991,17.0,2,10,3,30.0,0.59,0.18,0.20,0.67,12.5,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
81,Leandro Cabrera,uy URU,DF,Espanyol,28,1991,17.0,0,1,0,0.0,0.06,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
82,Fernando Calero,es ESP,DF,Espanyol,23,1995,11.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,Jonathan Calleri,ar ARG,FW,Espanyol,25,1993,20.1,1,47,13,27.7,2.34,0.65,0.02,0.08,12.1,0,0,0,4.5,4.5,0.10,-3.5,-3.5,Matches
84,Víctor Camarasa,es ESP,MF,Alavés,25,1994,14.4,0,9,2,22.2,0.63,0.14,0.00,0.00,25.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
85,Sergio Camello,es ESP,FW,Atlético Madrid,18,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,José Campaña,es ESP,MF,Levante,26,1993,35.1,2,44,8,18.2,1.25,0.23,0.05,0.25,23.4,5,0,0,2.4,2.4,0.05,-0.4,-0.4,Matches
87,Xisco Campos,es ESP,DF,Mallorca,37,1982,5.3,0,4,0,0.0,0.76,0.00,0.00,,13.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
88,Víctor Campuzano,es ESP,FW,Espanyol,22,1997,9.7,0,16,6,37.5,1.66,0.62,0.00,0.00,16.9,0,0,0,1.7,1.7,0.11,-1.7,-1.7,Matches
89,Sergio Canales,es ESP,"MF,FW",Betis,28,1991,35.1,6,48,14,29.2,1.37,0.40,0.06,0.21,21.8,5,3,4,7.5,4.3,0.09,-1.5,-1.3,Matches
90,Ander Capa,es ESP,DF,Athletic Club,27,1992,31.9,3,16,7,43.8,0.50,0.22,0.19,0.43,18.7,0,0,0,1.2,1.2,0.07,+1.8,+1.8,Matches
91,Marc Cardona,es ESP,FW,Osasuna,24,1995,7.8,1,12,4,33.3,1.53,0.51,0.08,0.25,14.7,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches
92,Diego Carlos,br BRA,DF,Sevilla,26,1993,34.8,2,21,3,14.3,0.60,0.09,0.10,0.67,16.5,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches
93,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,25,1993,7.0,1,17,6,35.3,2.42,0.86,0.06,0.17,20.3,1,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
94,Daniel Carriço,pt POR,DF,Sevilla,30,1988,9.4,0,6,0,0.0,0.64,0.00,0.00,,14.9,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
95,Guido Carrillo,ar ARG,FW,Leganés,28,1991,13.5,1,37,13,35.1,2.75,0.96,0.03,0.08,11.3,0,0,0,5.2,5.1,0.15,-4.2,-4.1,Matches
96,Dani Carvajal,es ESP,DF,Real Madrid,27,1992,30.4,1,20,9,45.0,0.66,0.30,0.05,0.11,19.5,0,0,0,2.6,2.6,0.13,-1.6,-1.6,Matches
97,William Carvalho,pt POR,MF,Betis,27,1992,9.9,0,6,2,33.3,0.61,0.20,0.00,0.00,21.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
98,Casemiro,br BRA,MF,Real Madrid,27,1992,34.3,4,45,12,26.7,1.31,0.35,0.09,0.33,22.6,4,0,0,4.2,4.2,0.10,-0.2,-0.2,Matches
99,Santi Cazorla,es ESP,MF,Villarreal,34,1984,27.2,11,41,16,39.0,1.51,0.59,0.07,0.19,24.6,0,8,8,8.7,2.4,0.06,+2.3,+0.6,Matches
100,Sofian Chakla,ma MAR,DF,Villarreal,25,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Charles,br BRA,FW,Eibar,35,1984,14.5,6,23,9,39.1,1.59,0.62,0.22,0.56,15.5,0,1,2,4.6,3.0,0.13,+1.4,+2.0,Matches
102,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,31,1988,2.3,0,5,0,0.0,2.15,0.00,0.00,,11.7,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
103,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,21,1997,6.7,0,2,0,0.0,0.30,0.00,0.00,,18.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
104,Chema,es ESP,DF,Getafe,27,1992,3.4,0,3,0,0.0,0.87,0.00,0.00,,14.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
105,Denis Cheryshev,ru RUS,"MF,FW",Valencia,28,1990,10.3,1,22,7,31.8,2.14,0.68,0.05,0.14,19.2,0,0,0,3.4,3.4,0.16,-2.4,-2.4,Matches
106,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,20,1999,22.8,3,48,11,22.9,2.11,0.48,0.06,0.27,18.5,0,0,0,3.4,3.4,0.07,-0.4,-0.4,Matches
107,Churripi,es ESP,GK,Valladolid,25,1994,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Jasper Cillessen,nl NED,GK,Valencia,30,1989,23.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,Óscar Clemente,es ESP,MF,Atlético Madrid,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
