round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Guardianes 2021 Regular Season,5,Sat,2021-02-06,21:06 (04:06),Monterrey,2.4,1–0,0.1,UNAM,,Estadio BBVA Bancomer,Eduardo Basulto,Match Report,
Guardianes 2021 Regular Season,5,Mon,2021-02-08,21:00 (04:00),León,1.8,1–3,1.7,Guadalajara,,Estadio León,Fernando Guerrero,Match Report,
Guardianes 2021 Regular Season,6,Fri,2021-02-12,19:06 (04:06),Tijuana,1.6,2–0,1.4,León,,Estadio Caliente,Jorge Pérez,Match Report,
Guardianes 2021 Regular Season,6,Fri,2021-02-12,19:30 (02:30),Puebla,1.8,4–0,1.3,FC Juárez,,Estadio Cuauhtémoc,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,6,Fri,2021-02-12,20:30 (04:30),Mazatlán,2.4,0–3,2.0,Atlético,,Estadio de Mazatlán,Fernando Guerrero,Match Report,
Guardianes 2021 Regular Season,6,Sun,2021-02-14,12:00 (19:00),Toluca,2.5,1–0,0.6,UNAM,,Estadio Nemesio Díez,Luis Santander,Match Report,
Guardianes 2021 Regular Season,6,Sat,2021-02-13,19:00 (02:00),Guadalajara,1.3,2–2,0.6,Necaxa,,Estadio Akron,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,6,Sat,2021-02-13,21:00 (04:00),América,2.4,2–1,0.6,Querétaro,,Estadio Azteca,Adonai Escobedo,Match Report,
Guardianes 2021 Regular Season,6,Sun,2021-02-14,19:06 (02:06),Santos,0.9,1–0,0.8,Monterrey,,Estadio Nuevo Corona,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,6,Mon,2021-02-15,21:00 (04:00),Pachuca,1.0,0–1,1.6,Atlas,,Estadio Hidalgo,Marco Ortíz,Match Report,
Guardianes 2021 Regular Season,6,Wed,2021-02-17,21:00 (04:00),UANL,2.5,0–2,0.8,Cruz Azul,,Estadio Universitario de Nuevo León,Erick Yair Miranda,Match Report,
Guardianes 2021 Regular Season,7,Thu,2021-02-18,21:00 (04:00),Atlético,0.7,1–0,0.9,Santos,,Estadio Alfonso Lastras Ramírez,Adonai Escobedo,Match Report,
Guardianes 2021 Regular Season,7,Fri,2021-02-19,19:30 (02:30),Necaxa,0.8,1–1,1.2,Monterrey,,Estadio Victoria de Aguascalientes,Luis Santander,Match Report,
Guardianes 2021 Regular Season,7,Fri,2021-02-19,20:30 (04:30),FC Juárez,1.2,1–0,0.6,Mazatlán,,Estadio Olímpico Benito Juárez,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,7,Sun,2021-02-21,12:00 (19:00),UNAM,1.0,0–1,1.3,León,,Estadio Olímpico de Universitario,Marco Ortíz,Match Report,
Guardianes 2021 Regular Season,7,Sun,2021-02-21,17:00 (00:00),Querétaro,0.8,1–1,1.4,Puebla,,Estadio La Corregidora,Eduardo Basulto,Match Report,
Guardianes 2021 Regular Season,7,Sat,2021-02-20,19:00 (02:00),Cruz Azul,2.0,3–2,1.6,Toluca,,Estadio Azteca,Óscar Macias,Match Report,
Guardianes 2021 Regular Season,7,Sat,2021-02-20,21:00 (04:00),Atlas,,3–0,,América,,Estadio Jalisco,Fernando Guerrero,Match Report,Match awarded to Atlas
Guardianes 2021 Regular Season,7,Sun,2021-02-21,19:00 (02:00),UANL,1.5,3–2,1.1,Tijuana,,Estadio Universitario de Nuevo León,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,7,Mon,2021-02-22,21:00 (04:00),Pachuca,3.2,1–1,1.2,Guadalajara,,Estadio Hidalgo,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,8,Thu,2021-02-25,21:00 (04:00),Atlético,0.4,2–2,1.5,UANL,,Estadio Alfonso Lastras Ramírez,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,8,Sat,2021-02-27,17:00 (00:00),Toluca,0.4,0–0,1.2,Atlas,,Estadio Nemesio Díez,Eduardo Basulto,Match Report,
Guardianes 2021 Regular Season,8,Fri,2021-02-26,19:30 (02:30),Puebla,1.7,1–0,0.4,Necaxa,,Estadio Cuauhtémoc,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,8,Fri,2021-02-26,20:30 (04:30),Mazatlán,1.9,3–0,0.2,Querétaro,,Estadio de Mazatlán,Marco Antonio Nava,Match Report,
Guardianes 2021 Regular Season,8,Sun,2021-02-28,17:00 (00:00),Monterrey,1.3,1–1,1.1,Tijuana,,Estadio BBVA Bancomer,Fernando Guerrero,Match Report,
Guardianes 2021 Regular Season,8,Sat,2021-02-27,19:00 (02:00),América,2.0,2–0,0.2,Pachuca,,Estadio Azteca,Jorge Rojas,Match Report,
Guardianes 2021 Regular Season,8,Sat,2021-02-27,21:00 (04:00),León,1.1,0–1,0.8,Cruz Azul,,Estadio León,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,8,Sun,2021-02-28,19:06 (02:06),Santos,1.1,3–2,1.5,FC Juárez,,Estadio Nuevo Corona,Luis Santander,Match Report,
Guardianes 2021 Regular Season,8,Sun,2021-02-28,21:00 (04:00),Guadalajara,1.9,2–1,1.0,UNAM,,Estadio Akron,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,9,Tue,2021-03-02,17:00 (00:00),Atlas,2.5,3–1,0.4,Atlético,,Estadio Jalisco,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,9,Tue,2021-03-02,19:00 (02:00),UANL,1.1,0–1,0.5,Toluca,,Estadio Universitario de Nuevo León,Marco Antonio Nava,Match Report,
Guardianes 2021 Regular Season,9,Tue,2021-03-02,21:00 (04:00),León,1.3,1–2,1.7,Puebla,,Estadio León,Óscar Macias,Match Report,
Guardianes 2021 Regular Season,9,Wed,2021-03-03,18:00 (02:00),FC Juárez,0.8,1–6,3.7,Monterrey,5211,Estadio Olímpico Benito Juárez,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,9,Wed,2021-03-03,19:00 (02:00),Querétaro,0.7,2–2,0.8,Guadalajara,,Estadio La Corregidora,Erick Yair Miranda,Match Report,
Guardianes 2021 Regular Season,9,Wed,2021-03-03,19:06 (04:06),Tijuana,0.7,0–2,2.6,América,,Estadio Caliente,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,9,Wed,2021-03-03,21:00 (04:00),Cruz Azul,1.4,1–0,0.4,Mazatlán,,Estadio Azteca,Luis Santander,Match Report,
Guardianes 2021 Regular Season,9,Thu,2021-03-04,19:00 (02:00),Necaxa,1.9,2–2,2.2,Pachuca,4948,Estadio Victoria de Aguascalientes,Fernando Guerrero,Match Report,
Guardianes 2021 Regular Season,9,Thu,2021-03-04,21:00 (04:00),UNAM,1.1,1–0,1.7,Santos,,Estadio Olímpico de Universitario,Jorge Rojas,Match Report,
Guardianes 2021 Regular Season,10,Sat,2021-03-06,17:00 (00:00),Atlas,2.3,2–0,0.2,FC Juárez,,Estadio Jalisco,Marco Ortíz,Match Report,
Guardianes 2021 Regular Season,10,Fri,2021-03-05,19:30 (02:30),Atlético,0.9,0–0,2.2,Toluca,,Estadio Alfonso Lastras Ramírez,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,10,Fri,2021-03-05,21:30 (04:30),Puebla,1.7,1–1,1.8,UANL,,Estadio Cuauhtémoc,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,10,Sat,2021-03-06,19:00 (02:00),América,1.7,2–1,1.2,León,,Estadio Azteca,Eduardo Basulto,Match Report,
Guardianes 2021 Regular Season,10,Sat,2021-03-06,19:06 (02:06),Monterrey,2.1,2–1,0.8,Querétaro,,Estadio BBVA Bancomer,Óscar Macias,Match Report,
Guardianes 2021 Regular Season,10,Sat,2021-03-06,20:00 (04:00),Mazatlán,0.6,1–1,0.7,Guadalajara,,Estadio de Mazatlán,Fernando Guerrero,Match Report,
Guardianes 2021 Regular Season,10,Sun,2021-03-07,19:06 (02:06),Santos,2.4,3–1,0.9,Necaxa,,Estadio Nuevo Corona,Erick Yair Miranda,Match Report,
Guardianes 2021 Regular Season,10,Sun,2021-03-07,21:00 (04:00),UNAM,0.3,0–1,1.2,Cruz Azul,,Estadio Olímpico de Universitario,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,10,Mon,2021-03-08,21:00 (04:00),Pachuca,1.2,2–1,0.9,Tijuana,,Estadio Hidalgo,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,3,Wed,2021-03-10,21:00 (04:00),Monterrey,1.8,1–1,1.2,León,,Estadio BBVA Bancomer,Luis Santander,Match Report,
Guardianes 2021 Regular Season,11,Fri,2021-03-12,19:30 (02:30),Puebla,0.4,0–1,1.4,Atlas,,Estadio Cuauhtémoc,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,11,Fri,2021-03-12,20:30 (04:30),FC Juárez,0.7,1–1,1.4,UNAM,,Estadio Olímpico Benito Juárez,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,11,Sun,2021-03-14,12:00 (19:00),Toluca,0.4,0–2,2.6,Pachuca,,Estadio Nemesio Díez,Erick Yair Miranda,Match Report,
Guardianes 2021 Regular Season,11,Sat,2021-03-13,19:00 (02:00),UANL,1.5,1–2,1.4,Mazatlán,,Estadio Universitario de Nuevo León,Óscar Macias,Match Report,
Guardianes 2021 Regular Season,11,Sat,2021-03-13,19:06 (04:06),Tijuana,1.2,0–1,1.2,Santos,,Estadio Caliente,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,11,Sat,2021-03-13,21:00 (04:00),Cruz Azul,1.3,1–0,0.3,Monterrey,,Estadio Azteca,Adonai Escobedo,Match Report,
Guardianes 2021 Regular Season,11,Sun,2021-03-14,18:00 (01:00),Querétaro,2.5,2–1,1.1,Atlético,,Estadio La Corregidora,Jorge Rojas,Match Report,
Guardianes 2021 Regular Season,11,Sun,2021-03-14,20:00 (03:00),Guadalajara,0.3,0–3,2.1,América,,Estadio Akron,Marco Antonio Nava,Match Report,
Guardianes 2021 Regular Season,11,Mon,2021-03-15,21:00 (04:00),León,0.9,3–1,1.2,Necaxa,,Estadio León,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,12,Thu,2021-03-18,20:00 (03:00),Pachuca,0.5,1–0,0.5,UANL,,Estadio Hidalgo,Jorge Pérez,Match Report,
