rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
28,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,35,1985,15.7,1128,58,250,723,166,4,1128,24,16,66.7,8,33.3,638,3161,1315,17,25,1,14,10,759,7,Matches
29,Jozy Altidore,us USA,FW,Toronto FC,31,1989,8.5,275,4,19,109,150,31,275,2,1,50.0,1,50.0,181,551,142,3,5,2,9,3,228,48,Matches
30,Alexander Alvarado,ec ECU,"MF,FW",Orlando City,21,1999,2.2,114,2,21,53,40,2,114,5,2,40.0,3,60.0,85,488,190,3,4,0,8,6,95,23,Matches
31,Ventura Alvarado,us USA,DF,Inter Miami,28,1992,0.2,11,1,6,5,0,0,11,1,1,100.0,0,0.0,3,11,10,0,0,0,0,0,6,0,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",LA Galaxy,18,2002,13.9,789,8,86,385,325,48,789,54,30,55.6,24,44.4,509,2665,1127,32,31,14,30,19,621,98,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,20,2000,9.3,453,6,71,237,158,8,453,18,10,55.6,8,44.4,275,1187,512,10,18,2,19,11,274,27,Matches
34,Mikey Ambrose,us USA,"DF,MF",Atlanta Utd,27,1993,0.7,48,2,9,31,8,1,48,1,0,0.0,1,100.0,27,84,45,2,0,0,1,0,33,4,Matches
35,Malte Amundsen,dk DEN,DF,NYCFC,22,1998,15.5,1058,60,303,442,320,26,1058,19,9,47.4,10,52.6,514,2116,1225,26,33,3,23,12,611,105,Matches
36,Sebastian Anderson,us USA,DF,Colorado Rapids,18,2002,0.4,23,2,9,6,9,0,23,2,1,50.0,1,50.0,10,79,51,1,2,0,0,0,10,0,Matches
37,José Andrés Martínez,ve VEN,MF,Philadelphia Union,26,1994,21.7,1492,67,379,940,201,2,1492,55,36,65.5,19,34.5,890,4443,2142,20,21,0,42,30,940,15,Matches
38,Jalil Anibaba,us USA,DF,Nashville SC,32,1988,7.1,320,50,220,88,12,6,320,1,0,0.0,1,100.0,202,750,269,0,2,0,1,0,204,2,Matches
39,Brian Anunga,cm CMR,MF,Nashville SC,24,1996,16.8,890,20,220,527,157,5,890,16,11,68.8,5,31.3,508,2333,901,14,16,2,21,19,536,38,Matches
40,Cristian Arango,co COL,FW,LAFC,25,1995,15.5,526,5,23,169,346,91,521,66,33,50.0,33,50.0,314,2053,1021,44,33,13,53,15,363,107,Matches
41,Julian Araujo,mx MEX,DF,LA Galaxy,19,2001,31.0,2306,146,695,942,683,62,2306,75,38,50.7,37,49.3,1189,5517,2799,73,62,28,70,43,1331,239,Matches
42,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,24,1996,12.8,684,5,72,345,291,48,684,75,51,68.0,24,32.0,490,3514,1779,53,42,17,30,25,557,67,Matches
