rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
285,Andrew Gutman,us USA,"DF,MF",NY Red Bulls,24,1996,22,19,1835,20.4,2,1,3,2,0,0,2,0,1.2,1.2,2.2,3.4,32,86,57,0.10,0.05,0.15,0.10,0.15,0.06,0.11,0.17,0.06,0.17,Matches
286,Brad Guzan,us USA,GK,Atlanta Utd,36,1984,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
287,Joe Gyau,us USA,"DF,FW",FC Cincinnati,28,1992,21,18,1661,18.5,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.0,70,41,66,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
288,Luke Haakenson,us USA,"MF,FW",Nashville SC,23,1997,19,3,362,4.0,2,0,2,2,0,0,5,0,2.3,2.3,0.9,3.2,5,8,28,0.50,0.00,0.50,0.50,0.50,0.58,0.22,0.79,0.58,0.79,Matches
289,Kamron Habibullah,ca CAN,"MF,FW",Vancouver W'caps,17,2003,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
290,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,25,1995,17,17,1484,16.5,0,1,1,0,0,0,3,0,0.4,0.4,1.0,1.4,16,64,7,0.00,0.06,0.06,0.00,0.06,0.02,0.06,0.08,0.02,0.08,Matches
291,Nick Hagglund,us USA,DF,FC Cincinnati,28,1992,24,17,1672,18.6,1,0,1,1,0,0,1,0,1.4,1.4,0.7,2.0,4,43,22,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches
292,Marlon Hairston,us USA,MF,Columbus Crew,26,1994,21,16,1296,14.4,0,1,1,0,0,0,1,0,0.9,0.9,0.3,1.2,3,49,7,0.00,0.07,0.07,0.00,0.07,0.06,0.02,0.08,0.06,0.08,Matches
293,Siad Haji,so SOM,"FW,MF",SJ Earthquakes,21,1999,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,4,5,6,0.00,0.00,0.00,0.00,0.00,0.24,0.40,0.65,0.24,0.65,Matches
294,Michael Halliday,us USA,DF,Orlando City,18,2003,6,4,381,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,9,11,18,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
295,Niko Hämäläinen,fi FIN,DF,LA Galaxy,23,1997,14,12,1146,12.7,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,27,76,58,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
296,Ahmed Hamdi,eg EGY,MF,CF Montréal,22,1998,23,9,889,9.9,2,0,2,2,0,0,1,0,1.8,1.8,1.0,2.8,31,48,32,0.20,0.00,0.20,0.20,0.20,0.18,0.10,0.28,0.18,0.28,Matches
297,Bill Hamid,us USA,GK,D.C. United,30,1990,21,21,1816,20.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
298,Niko Hansen,dk DEN,"MF,FW",Minnesota Utd,26,1994,12,5,448,5.0,1,1,2,1,0,0,0,0,1.5,1.5,2.1,3.6,23,16,47,0.20,0.20,0.40,0.20,0.40,0.31,0.42,0.73,0.31,0.73,Matches
299,Cameron Harper,us USA,"FW,MF",NY Red Bulls,19,2001,7,0,100,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,1,2,10,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13,Matches
300,Nathan Harriel,us USA,DF,Philadelphia Union,19,2001,5,2,180,2.0,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,9,14,0.00,0.50,0.50,0.00,0.50,0.11,0.17,0.27,0.11,0.27,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
301,Calvin Harris,eng ENG,"MF,FW",FC Cincinnati,20,2000,16,4,453,5.0,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,10,8,31,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
302,Wilson Harris,us USA,FW,Sporting KC,21,1999,9,2,178,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.7,5,3,14,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.33,0.16,0.33,Matches
303,Carlos Harvey,pa PAN,MF,LA Galaxy,20,2000,4,1,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,2,14,3,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32,Matches
304,Jordan Harvey,us USA,"DF,MF",LAFC,37,1984,4,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
305,Thomas Hasal,ca CAN,GK,Vancouver W'caps,21,1999,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
306,Jacori Hayes,us USA,"MF,FW",Minnesota Utd,25,1995,15,7,524,5.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,13,32,15,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
307,Héber,br BRA,"FW,DF",NYCFC,29,1991,7,0,100,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,3,13,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
308,Matt Hedges,us USA,DF,FC Dallas,30,1990,20,16,1439,16.0,1,0,1,1,0,0,6,0,1.3,1.3,0.1,1.3,8,49,5,0.06,0.00,0.06,0.06,0.06,0.08,0.00,0.08,0.08,0.08,Matches
309,Fabian Herbers,de GER,"MF,FW",Chicago Fire,27,1993,27,22,1829,20.3,0,2,2,0,0,0,8,0,2.7,2.7,3.3,5.9,38,69,90,0.00,0.10,0.10,0.00,0.10,0.13,0.16,0.29,0.13,0.29,Matches
310,Felipe Hernandez,us USA,MF,Sporting KC,22,1998,6,4,407,4.5,1,2,3,1,0,0,0,0,1.4,1.4,0.5,1.9,10,20,24,0.22,0.44,0.66,0.22,0.66,0.31,0.12,0.43,0.31,0.43,Matches
311,Javier Hernández,mx MEX,FW,LA Galaxy,32,1988,21,20,1730,19.2,17,2,19,16,1,2,4,0,14.0,12.4,3.0,15.4,19,51,113,0.88,0.10,0.99,0.83,0.94,0.73,0.15,0.88,0.64,0.80,Matches
312,Ronald Hernández,ve VEN,"DF,MF",Atlanta Utd,23,1997,13,8,634,7.0,1,0,1,1,0,0,2,0,0.7,0.7,0.1,0.8,19,18,44,0.14,0.00,0.14,0.14,0.14,0.10,0.01,0.11,0.10,0.11,Matches
313,Aaron Herrera,gt GUA,DF,Real Salt Lake,23,1997,29,29,2509,27.9,1,10,11,1,0,0,7,0,1.6,1.6,5.7,7.2,94,138,130,0.04,0.36,0.39,0.04,0.39,0.06,0.20,0.26,0.06,0.26,Matches
314,Federico Higuaín,ar ARG,"MF,FW",Inter Miami,36,1984,25,7,810,9.0,3,4,7,3,0,0,2,0,1.4,1.4,2.8,4.2,15,53,53,0.33,0.44,0.78,0.33,0.78,0.16,0.31,0.47,0.16,0.47,Matches
315,Gonzalo Higuaín,ar ARG,FW,Inter Miami,33,1987,30,28,2448,27.2,12,7,19,9,3,3,4,0,12.2,9.8,4.3,14.2,45,75,145,0.44,0.26,0.70,0.33,0.59,0.45,0.16,0.61,0.36,0.52,Matches
316,Brendan Hines-Ike,us USA,DF,D.C. United,26,1994,13,12,1049,11.7,1,0,1,1,0,0,4,0,0.5,0.5,0.0,0.6,9,31,5,0.09,0.00,0.09,0.09,0.09,0.05,0.00,0.05,0.05,0.05,Matches
317,Danny Hoesen,nl NED,FW,Austin,30,1991,5,5,304,3.4,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,2,4,12,0.00,0.00,0.00,0.00,0.00,0.33,0.03,0.35,0.33,0.35,Matches
318,Ian Hoffmann,us USA,"DF,MF",Houston Dynamo,19,2001,6,2,250,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,9,15,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
319,Ryan Hollingshead,us USA,DF,FC Dallas,29,1991,30,30,2668,29.6,3,5,8,3,0,0,3,0,3.0,3.0,3.0,6.0,94,113,147,0.10,0.17,0.27,0.10,0.27,0.10,0.10,0.20,0.10,0.20,Matches
320,Erik Holt,us USA,DF,Real Salt Lake,24,1996,18,14,1355,15.1,1,0,1,1,0,0,3,0,0.9,0.9,0.9,1.8,4,37,3,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12,Matches
321,Adrien Hunou,fr FRA,FW,Minnesota Utd,27,1994,26,22,1707,19.0,7,1,8,7,0,0,2,0,11.1,11.1,1.9,13.0,21,40,158,0.37,0.05,0.42,0.37,0.42,0.59,0.10,0.69,0.59,0.69,Matches
322,Erik Hurtado,us USA,"FW,MF",Columbus Crew,30,1990,9,3,295,3.3,0,0,0,0,0,0,3,0,1.3,1.3,0.4,1.7,6,1,30,0.00,0.00,0.00,0.00,0.00,0.41,0.12,0.53,0.41,0.53,Matches
323,Erik Hurtado,us USA,FW,CF Montréal,30,1990,7,2,287,3.2,0,1,1,0,0,0,0,0,1.1,1.1,1.2,2.3,11,8,31,0.00,0.31,0.31,0.00,0.31,0.33,0.38,0.71,0.33,0.71,Matches
