rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
117,Park Iru-gyu,jp JPN,GK,Sagan Tosu,30,1989,10.0,,0,,,,,,,,,,0,,,,Matches
118,Kohei Isa,jp JPN,FW,Oita Trinita,28,1991,11.5,,6,,,,,,,,,,10,,,,Matches
119,Ryotaro Ishida,jp JPN,MF,Grampus,18,2001,1.9,,3,,,,,,,,,,1,,,,Matches
120,Hideki Ishige,jp JPN,DF,S-Pulse,25,1994,1.3,,2,,,,,,,,,,3,,,,Matches
121,Hirokazu Ishihara,jp JPN,"DF,MF",Shonan Bellmare,20,1999,26.5,,24,,,,,,,,,,29,,,,Matches
122,Naoki Ishihara,jp JPN,FW,Shonan Bellmare,35,1984,20.3,,12,,,,,,,,,,8,,,,Matches
123,Takayoshi Ishihara,jp JPN,"MF,DF",Vegalta Sendai,27,1992,16.3,,17,,,,,,,,,,20,,,,Matches
124,Kaisei Ishii,jp JPN,FW,Sagan Tosu,19,2000,11.0,,3,,,,,,,,,,7,,,,Matches
125,Naoki Ishikawa,jp JPN,DF,Consa Sapporo,34,1985,0.2,,1,,,,,,,,,,0,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Makito Ito,jp JPN,DF,Marinos,27,1992,17.3,,14,,,,,,,,,,40,,,,Matches
127,Ryotaro Ito,jp JPN,MF,Urawa Reds,21,1998,1.0,,2,,,,,,,,,,0,,,,Matches
128,Sho Ito,jp JPN,FW,Kashima Antlers,31,1988,4.1,,1,,,,,,,,,,2,,,,Matches
129,Takuya Iwanami,jp JPN,DF,Urawa Reds,25,1994,19.9,,18,,,,,,,,,,35,,,,Matches
130,Yuto Iwasaki,jp JPN,FW,Shonan Bellmare,21,1998,6.5,,3,,,,,,,,,,4,,,,Matches
131,Keisuke Iwashita,jp JPN,DF,Sagan Tosu,33,1986,0.7,,0,,,,,,,,,,2,,,,Matches
132,Tomoki Iwata,jp JPN,DF,Oita Trinita,22,1997,30.0,,18,,,,,,,,,,51,,,,Matches
133,Katsuya Iwatake,jp JPN,"DF,MF",Urawa Reds,23,1996,5.1,,3,,,,,,,,,,6,,,,Matches
134,Ryuji Izumi,jp JPN,MF,Kashima Antlers,26,1993,18.0,,15,,,,,,,,,,18,,,,Matches
