rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
218,Mamadou Fall,sn SEN,"MF,FW",Kasımpaşa,32,1991,33.7,,,,,,,,,,,,5,,,,,,Matches
219,Ömer Faruk Beyaz,tr TUR,MF,Başakşehir,20,2003,3.3,,,,,,,,,,,,0,,,,,,Matches
220,Ohis Felix Uduokhai,de GER,DF,Beşiktaş,26,1997,24.1,,,,,,,,,,,,0,,,,,,Matches
221,Gedson Fernandes,pt POR,MF,Beşiktaş,25,1999,32.7,,,,,,,,,,,,0,,,,,,Matches
222,Joelson Fernandes,pt POR,"MF,FW",Hatayspor,21,2003,25.1,,,,,,,,,,,,3,,,,,,Matches
223,Diogo Fesnard Sousa,pt POR,GK,BB Bodrumspor,25,1998,31.7,,,,,,,,,,,,0,,,,,,Matches
224,Ali Fidan,,DF,Adana Demirspor,17,2006,0.2,,,,,,,,,,,,0,,,,,,Matches
225,João Figueiredo,my MAS,"MF,FW",Başakşehir,28,1996,16.1,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
226,Breyton Fougeu,fr FRA,"DF,MF",Adana Demirspor,20,2004,5.5,,,,,,,,,,,,1,,,,,,Matches
227,Przemysław Frankowski,pl POL,"DF,MF",Galatasaray,29,1995,8.7,,,,,,,,,,,,1,,,,,,Matches
228,Fred,br BRA,MF,Fenerbahçe,31,1993,28.6,,,,,,,,,,,,4,,,,,,Matches
229,Fredy,ao ANG,MF,BB Bodrumspor,34,1990,30.6,,,,,,,,,,,,1,,,,,,Matches
230,Mert Furkan Bayram,tr TUR,GK,Alanyaspor,19,2005,0.0,,,,,,,,,,,,0,,,,,,Matches
231,Adolfo Gaich,ar ARG,FW,Antalyaspor,25,1999,14.5,,,,,,,,,,,,0,,,,,,Matches
232,Emrehan Gedikli,de GER,FW,Konyaspor,21,2003,0.2,,,,,,,,,,,,0,,,,,,Matches
233,Amar Gerxhaliu,xk KVX,DF,Antalyaspor,22,2002,6.9,,,,,,,,,,,,0,,,,,,Matches
234,Baran Gezek,tr TUR,MF,Kayserispor,18,2005,10.9,,,,,,,,,,,,0,,,,,,Matches
235,Beytullah Gezer,,FW,Adana Demirspor,14,2010,0.1,,,,,,,,,,,,0,,,,,,Matches
236,Nevzat Gezer,,MF,Gaziantep FK,18,2006,0.1,,,,,,,,,,,,0,,,,,,Matches
237,Rachid Ghezzal,dz ALG,MF,Rizespor,32,1992,16.1,,,,,,,,,,,,2,,,,,,Matches
238,Andreas Gianniotis,gr GRE,GK,Kasımpaşa,31,1992,33.0,,,,,,,,,,,,1,,,,,,Matches
239,Yilmaz Gin,,FW,Sivasspor,16,2008,0.0,,,,,,,,,,,,0,,,,,,Matches
240,Emre Gökay,tr TUR,FW,Sivasspor,18,2006,0.3,,,,,,,,,,,,0,,,,,,Matches
241,Eulânio Ângelo Chipela Gomes,gw GNB,"DF,FW",Samsunspor,30,1994,0.1,,,,,,,,,,,,0,,,,,,Matches
242,Soner Gönül,tr TUR,DF,Samsunspor,27,1997,5.2,,,,,,,,,,,,0,,,,,,Matches
243,Andrew Gravillon,gp GLP,"DF,MF",Adana Demirspor,26,1998,8.0,,,,,,,,,,,,0,,,,,,Matches
244,Ivo Grbić,hr CRO,GK,Rizespor,28,1996,22.0,,,,,,,,,,,,0,,,,,,Matches
245,Gökhan Gül,de GER,MF,Kasımpaşa,26,1998,17.4,,,,,,,,,,,,3,,,,,,Matches
246,Sefa Gülay,,FW,Adana Demirspor,18,2006,0.2,,,,,,,,,,,,0,,,,,,Matches
247,Semih Güler,,DF,Gaziantep FK,29,1994,9.6,,,,,,,,,,,,0,,,,,,Matches
248,Semih Güler,,DF,Adana Demirspor,29,1994,21.0,,,,,,,,,,,,0,,,,,,Matches
249,Ramazan Gülerce,,DF,Antalyaspor,22,2002,0.0,,,,,,,,,,,,0,,,,,,Matches
250,Sinan Gümüş,de GER,"FW,MF",Eyüpspor,30,1994,0.2,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
251,Muhammed Gümüskaya,tr TUR,MF,Gaziantep FK,23,2001,0.4,,,,,,,,,,,,0,,,,,,Matches
252,Muhammet Güneş,,DF,Gaziantep FK,18,2006,0.6,,,,,,,,,,,,0,,,,,,Matches
253,Umut Güneş,tr TUR,MF,Başakşehir,24,2000,6.8,,,,,,,,,,,,1,,,,,,Matches
254,Umut Güneş,tr TUR,MF,Trabzonspor,24,2000,4.9,,,,,,,,,,,,0,,,,,,Matches
255,Mert Günok,tr TUR,GK,Beşiktaş,35,1989,34.0,,,,,,,,,,,,0,,,,,,Matches
256,Koray Günter,de GER,DF,Göztepe,29,1994,19.4,,,,,,,,,,,,0,,,,,,Matches
257,Hamza Güreler,tr TUR,DF,Başakşehir,18,2006,12.7,,,,,,,,,,,,0,,,,,,Matches
258,Serdar Gürler,tr TUR,"MF,FW",Başakşehir,32,1991,7.2,,,,,,,,,,,,1,,,,,,Matches
259,Yücel Gürol,,DF,Adana Demirspor,19,2005,0.0,,,,,,,,,,,,0,,,,,,Matches
260,Günay Güvenç,tr TUR,GK,Galatasaray,33,1991,2.0,,,,,,,,,,,,0,,,,,,Matches
261,Florent Hadergjonaj,xk KVX,"DF,MF",Alanyaspor,30,1994,31.3,,,,,,,,,,,,5,,,,,,Matches
262,Amir Hadžiahmetović,ba BIH,MF,Beşiktaş,27,1997,7.9,,,,,,,,,,,,0,,,,,,Matches
263,Amir Hadžiahmetović,ba BIH,MF,Rizespor,27,1997,14.5,,,,,,,,,,,,1,,,,,,Matches
264,Haris Hajradinović,ba BIH,MF,Kasımpaşa,30,1994,32.1,,,,,,,,,,,,8,,,,,,Matches
265,Mustafa Hekimoğlu,tr TUR,"MF,FW",Beşiktaş,17,2007,7.9,,,,,,,,,,,,1,,,,,,Matches
266,Héliton,br BRA,DF,Göztepe,28,1995,32.5,,,,,,,,,,,,0,,,,,,Matches
267,Christophe Hérelle,mq MTQ,DF,BB Bodrumspor,31,1992,8.7,,,,,,,,,,,,0,,,,,,Matches
268,Armin Hodžić,ba BIH,MF,Hatayspor,24,2000,0.9,,,,,,,,,,,,0,,,,,,Matches
269,Carlo Holse,dk DEN,MF,Samsunspor,25,1999,31.8,,,,,,,,,,,,2,,,,,,Matches
270,Majid Hosseini,ir IRN,DF,Kayserispor,28,1996,9.0,,,,,,,,,,,,0,,,,,,Matches
271,Victor Hugo,br BRA,MF,Göztepe,20,2004,10.9,,,,,,,,,,,,0,,,,,,Matches
272,Anel Husic,ch SUI,DF,Gaziantep FK,23,2001,11.0,,,,,,,,,,,,0,,,,,,Matches
273,Casper Højer Nielsen,dk DEN,DF,Rizespor,29,1994,22.5,,,,,,,,,,,,6,,,,,,Matches
274,Melih Ibrahimoglu,tr TUR,MF,Konyaspor,24,2000,17.2,,,,,,,,,,,,0,,,,,,Matches
275,Mauro Icardi,ar ARG,FW,Galatasaray,31,1993,5.8,,,,,,,,,,,,1,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
276,Hasan İlçin,,MF,Antalyaspor,15,2009,1.4,,,,,,,,,,,,0,,,,,,Matches
277,Ahmed Ildiz,tr TUR,MF,Göztepe,27,1996,11.8,,,,,,,,,,,,1,,,,,,Matches
278,Ciro Immobile,it ITA,FW,Beşiktaş,34,1990,22.3,,,,,,,,,,,,4,,,,,,Matches
279,Yusuf İnci,,MF,Kasımpaşa,19,2005,0.7,,,,,,,,,,,,0,,,,,,Matches
280,Burak Ingenç,tr TUR,DF,Antalyaspor,18,2006,2.3,,,,,,,,,,,,0,,,,,,Matches
281,Tim Jabol-Folcarelli,fr FRA,MF,Trabzonspor,24,1999,3.9,,,,,,,,,,,,0,,,,,,Matches
282,Ismail Jakobs,sn SEN,DF,Galatasaray,24,1999,13.1,,,,,,,,,,,,2,,,,,,Matches
283,Nicolas Janvier,fr FRA,MF,Alanyaspor,25,1998,22.6,,,,,,,,,,,,4,,,,,,Matches
284,Julian Jeanvier,gn GUI,DF,Kayserispor,32,1992,10.5,,,,,,,,,,,,0,,,,,,Matches
285,Elias Jelert,dk DEN,"DF,MF",Galatasaray,21,2003,6.5,,,,,,,,,,,,0,,,,,,Matches
286,Marko Jevtović,rs SRB,MF,Konyaspor,31,1993,25.9,,,,,,,,,,,,2,,,,,,Matches
287,Juan,br BRA,MF,Alanyaspor,23,2001,1.0,,,,,,,,,,,,0,,,,,,Matches
288,Václav Jurečka,cz CZE,"MF,FW",Rizespor,30,1994,8.3,,,,,,,,,,,,1,,,,,,Matches
289,Melih Kabasakal,,"MF,DF",Eyüpspor,28,1996,29.7,,,,,,,,,,,,2,,,,,,Matches
290,Tugay Kaçar,tr TUR,DF,Eyüpspor,30,1994,0.4,,,,,,,,,,,,0,,,,,,Matches
291,Ferdi Kadioglu,tr TUR,DF,Fenerbahçe,24,1999,1.2,,,,,,,,,,,,0,,,,,,Matches
292,İrfan Kahveci,tr TUR,MF,Fenerbahçe,29,1995,10.3,,,,,,,,,,,,3,,,,,,Matches
293,Tolga Kalender,,DF,Adana Demirspor,22,2001,22.6,,,,,,,,,,,,1,,,,,,Matches
294,Ali Kalın,,FW,Gaziantep FK,16,2008,0.4,,,,,,,,,,,,0,,,,,,Matches
295,Kubilay Kanatsızkuş,tr TUR,"FW,MF",Göztepe,27,1997,9.1,,,,,,,,,,,,1,,,,,,Matches
296,Burak Kapacak,tr TUR,DF,Fenerbahçe,24,1999,0.0,,,,,,,,,,,,0,,,,,,Matches
297,Emre Kaplan,tr TUR,DF,Başakşehir,23,2001,0.1,,,,,,,,,,,,0,,,,,,Matches
298,Aytaç Kara,tr TUR,MF,Kasımpaşa,31,1993,23.0,,,,,,,,,,,,1,,,,,,Matches
299,Ercan Kara,at AUT,FW,Samsunspor,28,1996,1.3,,,,,,,,,,,,1,,,,,,Matches
300,Efecan Karaca,tr TUR,MF,Alanyaspor,34,1989,20.1,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
301,Yusuf Karademir,,MF,Alanyaspor,16,2008,0.0,,,,,,,,,,,,0,,,,,,Matches
302,Yusuf Karagöz,,GK,Alanyaspor,24,1999,2.0,,,,,,,,,,,,0,,,,,,Matches
303,İlker Karakaş,tr TUR,FW,Gaziantep FK,25,1999,0.4,,,,,,,,,,,,1,,,,,,Matches
304,Vedat Karakuş,tr TUR,GK,Adana Demirspor,26,1998,14.2,,,,,,,,,,,,0,,,,,,Matches
305,Ayberk Karapo,tr TUR,DF,Rizespor,20,2004,0.7,,,,,,,,,,,,0,,,,,,Matches
306,Kadir Karayigit,,DF,Adana Demirspor,18,2005,0.1,,,,,,,,,,,,0,,,,,,Matches
307,Erce Kardeşler,tr TUR,GK,Hatayspor,30,1994,19.0,,,,,,,,,,,,0,,,,,,Matches
308,Ali Karimi,ir IRN,MF,Kayserispor,30,1994,20.1,,,,,,,,,,,,2,,,,,,Matches
309,Salih Kavrazlı,tr TUR,"MF,FW",Adana Demirspor,22,2002,7.7,,,,,,,,,,,,0,,,,,,Matches
310,Mehmet Kaya,de GER,FW,Konyaspor,19,2004,0.1,,,,,,,,,,,,0,,,,,,Matches
311,Muhammed Kaya,tr TUR,MF,Sivasspor,18,2006,0.0,,,,,,,,,,,,0,,,,,,Matches
312,Yalçın Kayan,tr TUR,MF,Göztepe,25,1999,0.7,,,,,,,,,,,,0,,,,,,Matches
313,Yalçın Kayan,tr TUR,MF,Eyüpspor,25,1999,12.6,,,,,,,,,,,,0,,,,,,Matches
314,Osman Kaynak,,"DF,MF",Adana Demirspor,18,2006,6.5,,,,,,,,,,,,1,,,,,,Matches
315,Jakub Kałuziński,pl POL,MF,Antalyaspor,21,2002,29.5,,,,,,,,,,,,8,,,,,,Matches
316,Can Keles,at AUT,MF,Beşiktaş,22,2001,1.0,,,,,,,,,,,,0,,,,,,Matches
317,Can Keles,at AUT,"MF,FW",Kasımpaşa,22,2001,7.8,,,,,,,,,,,,2,,,,,,Matches
318,Thalisson Kelven,br BRA,DF,Antalyaspor,26,1998,29.9,,,,,,,,,,,,0,,,,,,Matches
319,Olivier Kemen,cm CMR,"MF,DF",Başakşehir,28,1996,27.5,,,,,,,,,,,,8,,,,,,Matches
320,Philippe Keny,sn SEN,FW,Başakşehir,25,1999,11.4,,,,,,,,,,,,3,,,,,,Matches
321,Benhur Keser,,MF,Rizespor,27,1996,0.6,,,,,,,,,,,,0,,,,,,Matches
322,Enes Keskin,,"MF,DF",Alanyaspor,23,2001,5.3,,,,,,,,,,,,0,,,,,,Matches
323,Hamidou Keyta,fr FRA,MF,Konyaspor,29,1994,4.8,,,,,,,,,,,,0,,,,,,Matches
324,Guy-Marcelin Kilama,cm CMR,DF,Hatayspor,25,1999,29.9,,,,,,,,,,,,1,,,,,,Matches
325,Yakup Kılıç,,DF,Beşiktaş,19,2005,0.0,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
326,Semih Kılıçsoy,tr TUR,"MF,FW",Beşiktaş,18,2005,14.6,,,,,,,,,,,,2,,,,,,Matches
327,Emre Kılınç,tr TUR,"MF,FW",Samsunspor,29,1994,27.2,,,,,,,,,,,,11,,,,,,Matches
328,Arda Kızıldağ,tr TUR,DF,Gaziantep FK,25,1998,21.1,,,,,,,,,,,,0,,,,,,Matches
329,Arif Kocaman,,DF,Kayserispor,20,2003,6.0,,,,,,,,,,,,0,,,,,,Matches
330,Okan Kocuk,tr TUR,GK,Samsunspor,29,1995,36.0,,,,,,,,,,,,0,,,,,,Matches
331,Kenan Kodro,ba BIH,FW,Gaziantep FK,30,1993,8.4,,,,,,,,,,,,0,,,,,,Matches
332,Derrick Köhn,gh GHA,DF,Galatasaray,25,1999,1.0,,,,,,,,,,,,0,,,,,,Matches
333,Bengali-Fodé Koita,gn GUI,"MF,FW",Sivasspor,33,1990,17.7,,,,,,,,,,,,1,,,,,,Matches
334,Dimitrios Kolovetsios,gr GRE,DF,Kayserispor,32,1991,16.4,,,,,,,,,,,,0,,,,,,Matches
335,Eray Korkmaz,tr TUR,DF,Rizespor,21,2003,1.0,,,,,,,,,,,,0,,,,,,Matches
336,Nurettin Korkmaz,tr TUR,"MF,DF",Kayserispor,22,2002,2.5,,,,,,,,,,,,0,,,,,,Matches
337,Filip Kostić,rs SRB,"MF,DF",Fenerbahçe,31,1992,21.8,,,,,,,,,,,,6,,,,,,Matches
338,İsmail Köybaşı,tr TUR,"MF,DF",Göztepe,35,1989,8.7,,,,,,,,,,,,0,,,,,,Matches
339,Kacper Kozłowski,pl POL,"MF,FW",Gaziantep FK,20,2003,23.5,,,,,,,,,,,,4,,,,,,Matches
340,Blaž Kramer,si SVN,FW,Konyaspor,28,1996,22.0,,,,,,,,,,,,3,,,,,,Matches
341,Rade Krunić,ba BIH,MF,Fenerbahçe,30,1993,0.0,,,,,,,,,,,,0,,,,,,Matches
342,Arda Kurtulan,al ALB,DF,Adana Demirspor,21,2002,26.0,,,,,,,,,,,,3,,,,,,Matches
343,Berkan Kutlu,tr TUR,"MF,DF",Galatasaray,26,1998,9.1,,,,,,,,,,,,1,,,,,,Matches
344,Ahmed Kutucu,tr TUR,MF,Eyüpspor,24,2000,16.3,,,,,,,,,,,,6,,,,,,Matches
345,Ahmed Kutucu,tr TUR,"FW,MF",Galatasaray,24,2000,5.6,,,,,,,,,,,,0,,,,,,Matches
346,Sam Larsson,se SWE,"FW,MF",Antalyaspor,31,1993,26.3,,,,,,,,,,,,5,,,,,,Matches
347,Joseph Larweh Attamah,gh GHA,"DF,MF",Kayserispor,30,1994,29.9,,,,,,,,,,,,0,,,,,,Matches
348,Gaëtan Laura,,"MF,FW",Samsunspor,28,1995,3.4,,,,,,,,,,,,1,,,,,,Matches
349,Mario Lemina,ga GAB,MF,Galatasaray,30,1993,8.9,,,,,,,,,,,,2,,,,,,Matches
350,Lucas Lima,br BRA,DF,Başakşehir,32,1991,18.3,,,,,,,,,,,,1,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
351,Nuno Lima,pt POR,DF,Alanyaspor,23,2001,28.4,,,,,,,,,,,,0,,,,,,Matches
352,Mateusz Lis,pl POL,GK,Göztepe,27,1997,32.0,,,,,,,,,,,,0,,,,,,Matches
353,Dominik Livaković,hr CRO,GK,Fenerbahçe,29,1995,21.4,,,,,,,,,,,,0,,,,,,Matches
354,Rony Lopes,pt POR,MF,Alanyaspor,28,1995,3.7,,,,,,,,,,,,1,,,,,,Matches
355,John Lundstram,eng ENG,"MF,DF",Trabzonspor,30,1994,24.6,,,,,,,,,,,,1,,,,,,Matches
356,Christopher Lungoyi,ch SUI,"MF,FW",Gaziantep FK,24,2000,20.5,,,,,,,,,,,,0,,,,,,Matches
357,Berat Lus,,FW,Galatasaray,17,2007,0.0,,,,,,,,,,,,0,,,,,,Matches
358,Davidson da Luz Pereira,br BRA,MF,Başakşehir,33,1991,11.4,,,,,,,,,,,,0,,,,,,Matches
359,Salem M'bakata,cd COD,DF,Gaziantep FK,26,1998,15.9,,,,,,,,,,,,0,,,,,,Matches
360,Maestro,ao ANG,MF,Adana Demirspor,20,2003,32.2,,,,,,,,,,,,1,,,,,,Matches
361,Gaius Makouta,cg CGO,MF,Alanyaspor,27,1997,27.0,,,,,,,,,,,,2,,,,,,Matches
362,Izzet Malak,,MF,Göztepe,19,2005,0.0,,,,,,,,,,,,0,,,,,,Matches
363,Hüseyin Maldar,,FW,Eyüpspor,17,2007,1.8,,,,,,,,,,,,0,,,,,,Matches
364,Pedro Malheiro,pt POR,DF,Trabzonspor,23,2001,32.4,,,,,,,,,,,,4,,,,,,Matches
365,Salih Malkoçoglu,,DF,Trabzonspor,19,2005,3.1,,,,,,,,,,,,0,,,,,,Matches
366,Rey Manaj,al ALB,FW,Sivasspor,27,1997,24.4,,,,,,,,,,,,4,,,,,,Matches
367,Cyril Mandouki,mq MTQ,"MF,DF",Gaziantep FK,32,1991,7.8,,,,,,,,,,,,0,,,,,,Matches
368,Carlos Mané,gw GNB,MF,Kayserispor,30,1994,17.9,,,,,,,,,,,,2,,,,,,Matches
369,Jovan Manev,mk MKD,DF,Adana Demirspor,23,2001,13.1,,,,,,,,,,,,1,,,,,,Matches
370,João Mário,pt POR,MF,Beşiktaş,31,1993,17.8,,,,,,,,,,,,3,,,,,,Matches
371,Chandrel Massanga,cg CGO,MF,Hatayspor,24,1999,20.5,,,,,,,,,,,,0,,,,,,Matches
372,Arthur Masuaku,cd COD,DF,Beşiktaş,30,1993,30.6,,,,,,,,,,,,8,,,,,,Matches
373,Kuryū Matsuki,jp JPN,"FW,MF",Göztepe,21,2003,11.4,,,,,,,,,,,,4,,,,,,Matches
374,Oğuzhan Matur,,DF,Hatayspor,24,1999,0.2,,,,,,,,,,,,0,,,,,,Matches
375,Alexandru Maxim,ro ROU,MF,Gaziantep FK,34,1990,29.1,,,,,,,,,,,,5,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
376,Batista Mendy,fr FRA,"MF,DF",Trabzonspor,24,2000,28.8,,,,,,,,,,,,2,,,,,,Matches
377,Queensy Menig,nl NED,MF,Sivasspor,28,1995,3.1,,,,,,,,,,,,0,,,,,,Matches
378,Umut Meraş,tr TUR,DF,Eyüpspor,28,1995,21.2,,,,,,,,,,,,0,,,,,,Matches
379,Levent Mercan,de GER,DF,Fenerbahçe,23,2000,5.5,,,,,,,,,,,,0,,,,,,Matches
380,Dries Mertens,be BEL,MF,Galatasaray,37,1987,20.8,,,,,,,,,,,,7,,,,,,Matches
381,Edouard Michut,fr FRA,MF,Adana Demirspor,21,2003,1.9,,,,,,,,,,,,0,,,,,,Matches
382,Fredrik Midtsjø,no NOR,MF,Eyüpspor,30,1993,8.5,,,,,,,,,,,,2,,,,,,Matches
383,Deni Milošević,ba BIH,"FW,MF",Antalyaspor,29,1995,0.9,,,,,,,,,,,,0,,,,,,Matches
384,Martin Minchev,bg BUL,MF,Rizespor,23,2001,1.7,,,,,,,,,,,,0,,,,,,Matches
385,Attila Mocsi,hu HUN,DF,Rizespor,24,2000,31.4,,,,,,,,,,,,0,,,,,,Matches
386,Milad Mohammadi,ir IRN,DF,Adana Demirspor,30,1993,2.0,,,,,,,,,,,,0,,,,,,Matches
387,Musah Mohammed,gh GHA,MF,BB Bodrumspor,22,2002,21.6,,,,,,,,,,,,4,,,,,,Matches
388,Emre Mor,tr TUR,MF,Eyüpspor,27,1997,11.5,,,,,,,,,,,,4,,,,,,Matches
389,Álvaro Morata,es ESP,"MF,FW",Galatasaray,31,1992,7.3,,,,,,,,,,,,1,,,,,,Matches
390,Marius Mouandilmadji,td CHA,FW,Samsunspor,27,1997,27.8,,,,,,,,,,,,4,,,,,,Matches
391,Samuel Moutoussamy,cd COD,MF,Sivasspor,27,1996,26.9,,,,,,,,,,,,2,,,,,,Matches
392,Ernest Muçi,al ALB,MF,Beşiktaş,23,2001,14.8,,,,,,,,,,,,2,,,,,,Matches
393,Arbnor Muja,al ALB,MF,Samsunspor,25,1998,13.5,,,,,,,,,,,,1,,,,,,Matches
394,Atakan Müjde,,DF,Kasımpaşa,21,2003,0.0,,,,,,,,,,,,0,,,,,,Matches
395,Mert Müldür,tr TUR,DF,Fenerbahçe,25,1999,20.8,,,,,,,,,,,,2,,,,,,Matches
396,Jackson Muleka,cd COD,"FW,MF",Beşiktaş,24,1999,0.1,,,,,,,,,,,,0,,,,,,Matches
397,Fernando Muslera,uy URU,GK,Galatasaray,38,1986,34.0,,,,,,,,,,,,0,,,,,,Matches
398,Almoatasem Al Musrati,ly LBY,MF,Beşiktaş,28,1996,13.0,,,,,,,,,,,,0,,,,,,Matches
399,Umut Nayir,tr TUR,FW,Konyaspor,31,1993,16.4,,,,,,,,,,,,0,,,,,,Matches
400,Duckens Nazon,ht HAI,FW,Kayserispor,30,1994,21.7,,,,,,,,,,,,3,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
401,Alassane Ndao,sn SEN,"MF,DF",Konyaspor,27,1996,23.2,,,,,,,,,,,,1,,,,,,Matches
402,Badou Ndiaye,sn SEN,MF,Gaziantep FK,33,1990,26.9,,,,,,,,,,,,2,,,,,,Matches
403,Cher Ndour,it ITA,MF,Beşiktaş,20,2004,7.5,,,,,,,,,,,,2,,,,,,Matches
404,Victor Nelsson,dk DEN,DF,Galatasaray,25,1998,3.2,,,,,,,,,,,,0,,,,,,Matches
405,Lasse Nielsen,dk DEN,"MF,DF",Göztepe,36,1988,19.5,,,,,,,,,,,,3,,,,,,Matches
406,Đorđe Nikolić,rs SRB,GK,Sivasspor,27,1997,10.5,,,,,,,,,,,,0,,,,,,Matches
407,Recep Niyaz,tr TUR,MF,Eyüpspor,28,1995,0.5,,,,,,,,,,,,0,,,,,,Matches
408,Mootez Nourani,tn TUN,FW,Adana Demirspor,22,2002,0.7,,,,,,,,,,,,0,,,,,,Matches
409,Olivier Ntcham,cm CMR,MF,Samsunspor,28,1996,26.6,,,,,,,,,,,,2,,,,,,Matches
410,Anthony Nwakaeme,ng NGA,MF,Trabzonspor,35,1989,14.9,,,,,,,,,,,,4,,,,,,Matches
411,Gabriel Obekpa,ng NGA,MF,BB Bodrumspor,20,2004,1.0,,,,,,,,,,,,0,,,,,,Matches
412,Prince Obeng Ampem,gh GHA,MF,Eyüpspor,26,1998,24.0,,,,,,,,,,,,0,,,,,,Matches
413,Enes Öğrüce,,FW,BB Bodrumspor,17,2007,0.8,,,,,,,,,,,,0,,,,,,Matches
414,David Okereke,ng NGA,"FW,MF",Gaziantep FK,26,1997,23.0,,,,,,,,,,,,3,,,,,,Matches
415,Jonathan Okita,cd COD,"MF,FW",BB Bodrumspor,28,1995,11.2,,,,,,,,,,,,0,,,,,,Matches
416,Jonathan Okoronkwo,ng NGA,FW,Hatayspor,20,2003,4.7,,,,,,,,,,,,1,,,,,,Matches
417,Alaaddin Okumuş,,DF,Sivasspor,28,1995,4.0,,,,,,,,,,,,0,,,,,,Matches
418,Ibrahim Olawoyin,ng NGA,MF,Rizespor,26,1997,30.1,,,,,,,,,,,,7,,,,,,Matches
419,Kenneth Omeruo,ng NGA,DF,Kasımpaşa,30,1993,1.8,,,,,,,,,,,,0,,,,,,Matches
420,Abdülkadir Ömür,tr TUR,MF,Rizespor,25,1999,2.6,,,,,,,,,,,,0,,,,,,Matches
421,Jean Onana,cm CMR,MF,Beşiktaş,24,2000,0.5,,,,,,,,,,,,0,,,,,,Matches
422,Jayden Oosterwolde,nl NED,DF,Fenerbahçe,23,2001,7.8,,,,,,,,,,,,0,,,,,,Matches
423,Christopher Operi,ci CIV,"DF,MF",Başakşehir,27,1997,10.1,,,,,,,,,,,,0,,,,,,Matches
424,Jerome Opoku,gh GHA,DF,Başakşehir,25,1998,29.0,,,,,,,,,,,,2,,,,,,Matches
425,Nicholas Opoku,gh GHA,DF,Kasımpaşa,26,1997,24.4,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
426,Mislav Oršić,hr CRO,MF,Trabzonspor,31,1992,2.2,,,,,,,,,,,,0,,,,,,Matches
427,Bright Osayi-Samuel,ng NGA,"DF,MF",Fenerbahçe,26,1997,15.2,,,,,,,,,,,,0,,,,,,Matches
428,Victor Osimhen,ng NGA,FW,Galatasaray,25,1998,26.4,,,,,,,,,,,,5,,,,,,Matches
429,Haqi Osman,gh GHA,FW,BB Bodrumspor,22,2002,1.0,,,,,,,,,,,,0,,,,,,Matches
430,Alex Oxlade-Chamberlain,eng ENG,MF,Beşiktaş,30,1993,11.0,,,,,,,,,,,,0,,,,,,Matches
431,Berkay Özcan,tr TUR,MF,Başakşehir,26,1998,6.4,,,,,,,,,,,,0,,,,,,Matches
432,Berkay Özcan,tr TUR,MF,Rizespor,26,1998,7.8,,,,,,,,,,,,1,,,,,,Matches
433,Yasin Özcan,tr TUR,DF,Kasımpaşa,18,2006,30.9,,,,,,,,,,,,1,,,,,,Matches
434,Ogün Özçiçek,,MF,Gaziantep FK,25,1999,12.2,,,,,,,,,,,,1,,,,,,Matches
435,Arda Özçimen,tr TUR,GK,Göztepe,22,2002,4.0,,,,,,,,,,,,0,,,,,,Matches
