rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
112,Silvester van der Water,nl NED,"FW,MF",RKC Waalwijk,27,1996,7.0,98,177,55.4,1729,523,50,67,35,56,11,41,0,0.1,0.3,-0.1,2,9,7,2,13,Matches
113,David van der Werff,nl NED,MF,Groningen,19,2004,0.2,6,7,85.7,75,12,4,4,2,2,0,0,0,0.1,0.2,-0.1,1,0,1,1,0,Matches
114,Anthony Descotte,be BEL,"FW,MF",Utrecht,20,2003,4.4,80,104,76.9,1064,279,46,56,22,25,5,8,0,0.6,0.8,-0.6,2,3,2,0,9,Matches
115,Sergiño Dest,us USA,DF,PSV Eindhoven,23,2000,4.2,231,256,90.2,3243,958,141,147,69,79,9,13,1,0.9,0.5,+0.1,4,15,6,0,29,Matches
116,Matisse Didden,be BEL,DF,Utrecht,22,2001,5.8,273,323,84.5,5251,1771,96,105,141,158,29,53,0,0.1,0.1,-0.1,1,17,0,0,15,Matches
117,Thomas Didillon,fr FRA,GK,Willem II,28,1995,34.0,773,1188,65.1,25027,20432,117,119,353,359,303,703,0,0.0,0.1,0.0,0,21,0,0,0,Matches
118,Mitchell Dijks,nl NED,DF,Fortuna Sittard,31,1993,18.8,670,896,74.8,11972,4529,269,309,347,439,47,112,3,1.1,1.8,+1.9,10,56,9,7,64,Matches
119,Elijah Dijkstra,nl NED,DF,AZ Alkmaar,17,2006,1.0,49,57,86.0,745,149,27,28,21,22,1,3,0,0.0,0.1,0.0,0,4,2,0,5,Matches
120,Julius Dirksen,nl NED,"DF,MF",Go Ahead Eag,21,2003,0.8,30,37,81.1,601,310,13,15,13,16,4,5,0,0.2,0.1,-0.2,3,5,1,0,6,Matches
121,Nick Doodeman,nl NED,"FW,MF",Willem II,27,1996,16.1,329,505,65.1,5558,2010,173,201,117,166,33,109,3,3.1,3.2,-0.1,28,20,13,9,28,Matches
122,Couhaib Driouech,ma MAR,FW,PSV Eindhoven,22,2002,3.0,144,177,81.4,2396,423,69,77,57,72,15,19,1,0.6,0.9,+0.4,9,2,13,7,9,Matches
123,Joel Drommel,nl NED,GK,PSV Eindhoven,27,1996,0.5,19,26,73.1,639,509,0,0,11,12,8,14,0,0.0,0.0,0.0,0,0,0,0,0,Matches
124,Laros Duarte,cv CPV,MF,Groningen,27,1997,0.2,24,27,88.9,404,108,11,13,12,12,1,2,0,0.1,0.1,-0.1,2,6,0,0,3,Matches
125,Oliver Edvardsen,no NOR,FW,Ajax,25,1999,3.2,65,92,70.7,938,261,34,42,22,31,3,8,0,0.5,0.5,-0.5,4,6,4,1,15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
126,Oliver Edvardsen,no NOR,"FW,MF",Go Ahead Eag,25,1999,9.9,176,238,73.9,2428,651,117,133,48,69,5,15,3,1.4,1.4,+1.6,10,13,13,1,28,Matches
