rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
51,Valeriy Bondarenko,ua UKR,DF,Vitória,25,1994,7.7,307,369,83.2,6612,2579,79,92,185,203,43,71,0,0.1,0.0,-0.1,1,13,0,0,21,Matches
52,Toni Borevkovic,hr CRO,DF,Rio Ave,22,1997,31.0,1502,1758,85.4,32076,12208,429,481,804,871,254,371,0,0.5,0.3,-0.5,3,98,2,0,104,Matches
53,Pedro Borges,br BRA,MF,Tondela,22,1997,2.0,70,84,83.3,1238,232,24,28,30,33,8,12,0,0.0,0.1,0.0,0,7,1,0,4,Matches
54,Cristian Borja,co COL,DF,Sporting CP,26,1993,14.8,687,841,81.7,11375,4059,336,370,280,330,55,106,0,0.8,0.5,-0.8,7,22,9,5,48,Matches
55,Chahreddine Boukholda,dz ALG,MF,B-SAD,23,1996,0.7,35,57,61.4,583,224,16,22,17,25,2,7,0,0.1,0.2,-0.1,3,3,1,1,5,Matches
56,Rafael Bracalli,br BRA,GK,Boavista,38,1981,13.0,225,401,56.1,9375,7819,11,11,77,77,136,310,0,0.1,0.0,-0.1,2,12,0,0,0,Matches
57,Bruninho,br BRA,"DF,MF",Aves,25,1993,1.2,47,61,77.0,910,274,20,22,23,30,4,7,0,0.0,0.1,0.0,1,1,1,0,3,Matches
58,Charles-Andréas Brym,ca CAN,MF,B-SAD,20,1998,0.1,3,4,75.0,47,11,1,2,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
59,Jonathan Buatu Mananga,ao ANG,DF,Aves,25,1993,12.0,297,392,75.8,6096,2838,95,109,165,177,35,97,0,0.1,0.2,-0.1,1,24,2,0,26,Matches
60,Alberto Bueno,es ESP,"MF,FW",Boavista,31,1988,13.4,377,560,67.3,7388,2084,152,199,155,208,61,123,2,1.6,1.7,+0.4,20,47,6,1,55,Matches
61,Jovane Cabral,cv CPV,"FW,MF",Sporting CP,21,1998,11.6,266,367,72.5,4450,1095,117,152,101,124,30,60,2,2.8,2.1,-0.8,20,19,12,5,43,Matches
62,Caju,br BRA,DF,Braga,24,1995,1.0,40,49,81.6,774,212,12,14,23,27,5,7,0,0.0,0.0,0.0,0,1,1,1,2,Matches
63,Diogo Calila,mz MOZ,"DF,MF",B-SAD,20,1998,7.8,270,356,75.8,4984,1158,112,135,131,151,24,55,0,0.7,0.4,-0.7,4,14,6,2,17,Matches
64,Rafael Camacho,pt POR,"FW,MF",Sporting CP,19,2000,9.6,265,336,78.9,4053,713,137,160,103,128,13,23,1,1.5,0.5,-0.5,9,10,3,2,18,Matches
65,Ibrahima Camará,gn GUI,MF,Moreirense,20,1999,2.3,41,72,56.9,688,163,19,33,17,26,4,6,0,0.1,0.1,-0.1,3,3,1,0,6,Matches
66,Fali Candé,gw GNB,DF,Portimonense,21,1998,6.9,244,327,74.6,4944,1860,76,94,121,143,43,76,0,0.0,0.1,0.0,1,14,3,3,25,Matches
67,Mamadu Candé,gw GNB,DF,Santa Clara,28,1990,14.9,485,679,71.4,9326,3674,170,199,247,314,61,133,0,1.2,1.1,-1.2,6,30,13,8,52,Matches
68,Fábio Cardoso,pt POR,DF,Santa Clara,25,1994,29.9,914,1171,78.1,20972,6321,165,211,572,642,173,289,0,0.9,1.7,-0.9,6,38,2,0,33,Matches
