rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
60,Leonardo Bonucci,it ITA,DF,Juventus,33,1987,22.5,1363,1518,89.8,29257,11809,342,360,815,855,198,275,0,0.4,0.6,-0.4,3,91,6,1,89,Matches
61,Mehdi Bourabia,ma MAR,MF,Sassuolo,28,1991,5.9,302,363,83.2,4356,951,180,197,95,118,16,25,0,0.1,0.2,-0.1,2,27,2,0,13,Matches
62,Edoardo Bove,it ITA,MF,Roma,18,2002,0.1,11,11,100.0,168,51,7,7,3,3,1,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
63,Jayden Braaf,nl NED,FW,Udinese,17,2002,1.3,20,28,71.4,261,45,13,15,6,8,0,0,0,0.1,0.0,-0.1,2,1,1,0,2,Matches
64,Gleison Bremer,br BRA,DF,Torino,23,1997,32.6,1371,1664,82.4,26407,9709,479,525,715,801,150,276,0,0.4,0.2,-0.4,8,75,2,0,81,Matches
65,Marcelo Brozović,hr CRO,MF,Inter,27,1992,28.7,2012,2297,87.6,37385,11289,802,865,927,1015,249,337,6,4.4,4.3,+1.6,45,243,43,11,240,Matches
66,Gastón Brugman,uy URU,MF,Parma,27,1992,18.0,925,1099,84.2,18809,5650,324,360,436,492,156,213,1,2.5,2.4,-1.5,26,90,11,1,111,Matches
67,Juan Brunetta,ar ARG,"FW,MF",Parma,23,1997,5.3,153,191,80.1,2900,573,68,77,61,71,21,30,2,0.9,0.6,+1.1,8,13,2,0,20,Matches
68,Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8.0,259,307,84.4,5844,3805,70,70,132,133,54,100,0,0.0,0.0,0.0,0,1,0,0,0,Matches
69,Alessandro Buongiorno,it ITA,DF,Torino,21,1999,9.5,362,436,83.0,6290,2048,138,156,196,212,21,53,0,0.0,0.1,0.0,1,25,1,1,30,Matches
70,Maxime Busi,be BEL,DF,Parma,20,1999,13.3,652,786,83.0,11221,3823,322,347,245,286,65,110,1,1.2,0.9,-0.2,7,56,14,8,66,Matches
71,Martín Cáceres,uy URU,DF,Fiorentina,33,1987,24.9,818,1056,77.5,15514,5740,327,382,355,414,111,194,2,1.2,1.2,+0.8,10,90,13,9,104,Matches
72,Felipe Caicedo,ec ECU,FW,Lazio,31,1988,10.3,185,261,70.9,2235,479,128,160,33,53,7,9,0,0.7,0.4,-0.7,12,19,2,0,18,Matches
73,Arturo Calabresi,it ITA,"DF,FW",Bologna,24,1996,0.2,3,5,60.0,78,63,1,1,1,2,1,2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
74,Arturo Calabresi,it ITA,DF,Cagliari,24,1996,0.2,15,20,75.0,238,71,8,11,7,7,0,1,0,0.0,0.0,0.0,0,0,0,0,2,Matches
75,Davide Calabria,it ITA,DF,Milan,23,1996,29.4,1384,1792,77.2,24172,9372,664,726,558,699,141,279,1,1.6,2.3,-0.6,21,156,33,11,169,Matches
