rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
51,Carlos Araujo,ar ARG,DF,Huracán,37,1981,9.0,143,237,60.3,2780,1567,59,73,67,112,16,40,0,0.1,0.2,-0.1,2,8,4,3,21,Matches
52,Iván Arboleda,co COL,GK,Banfield,23,1996,13.0,208,356,58.4,7639,6410,24,24,70,73,113,257,0,0.0,0.0,0.0,0,9,0,0,0,Matches
53,Rodrigo Arciero,ar ARG,DF,Banfield,26,1993,6.7,242,342,70.8,3977,1989,121,138,87,132,21,49,0,0.1,0.2,-0.1,1,24,6,5,32,Matches
54,Nahuel Arena,ar ARG,DF,Godoy Cruz,20,1998,5.3,181,235,77.0,2881,1048,94,101,66,93,12,21,0,0.4,0.3,-0.4,4,4,3,0,10,Matches
55,Gabriel Arias,cl CHI,GK,Racing Club,31,1987,21.4,431,668,64.5,12752,9245,76,78,190,192,154,385,0,0.0,0.1,0.0,0,19,1,0,0,Matches
56,Junior Arias,uy URU,FW,Banfield,26,1993,14.2,157,224,70.1,1835,339,90,116,35,48,4,10,1,0.9,0.4,+0.1,12,4,9,0,18,Matches
57,Junior Arias,uy URU,FW,Talleres,26,1993,0.4,4,6,66.7,22,4,2,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
58,Ramón Arias,uy URU,DF,San Lorenzo,27,1992,9.8,355,436,81.4,6858,2988,121,134,192,224,36,69,0,0.5,0.3,-0.5,4,15,3,0,26,Matches
59,Franco Armani,ar ARG,GK,River Plate,32,1986,21.0,418,574,72.8,12500,9830,64,64,192,196,158,308,0,0.0,0.0,0.0,0,7,0,0,0,Matches
60,Martin Aruga,ar ARG,DF,Patronato,20,1998,1.7,33,52,63.5,657,460,13,13,14,20,6,13,0,0.0,0.1,0.0,1,5,5,4,8,Matches
61,Joaquín Arzura,ar ARG,MF,Huracán,26,1993,1.7,33,49,67.3,598,222,15,17,13,21,4,9,0,0.0,0.0,0.0,1,1,0,0,2,Matches
62,Sebastián Assis,uy URU,MF,Unión,26,1993,1.1,47,64,73.4,835,246,25,32,17,19,5,11,0,0.0,0.0,0.0,0,7,1,0,8,Matches
63,Fabián Assmann,ar ARG,GK,Aldosivi,33,1986,1.0,20,35,57.1,892,792,0,0,8,8,12,27,0,0.0,0.0,0.0,0,1,0,0,0,Matches
64,Carlos Auzqui,ar ARG,FW,Lanús,28,1991,18.5,385,606,63.5,5117,1630,242,316,99,168,13,30,2,1.7,1.7,+0.3,16,21,17,5,53,Matches
65,Gabriel Ávalos,py PAR,"FW,MF",Patronato,28,1990,20.9,301,519,58.0,4069,1285,196,305,65,117,19,43,4,4.1,2.7,-0.1,44,30,21,1,53,Matches
66,Gastón Ávila,ar ARG,DF,Boca Juniors,17,2001,0.1,0,2,0.0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
67,David Ayala,ar ARG,MF,Estudiantes–LP,17,2002,0.9,31,38,81.6,583,247,12,15,10,13,6,6,0,0.0,0.1,0.0,0,10,2,0,10,Matches
68,Víctor Ayala,py PAR,MF,Gimnasia–LP,31,1988,18.0,515,790,65.2,11333,4666,170,225,212,282,117,241,1,2.5,1.7,-1.5,22,63,11,4,83,Matches
69,Tomás Badaloni,ar ARG,FW,Godoy Cruz,19,2000,11.3,134,197,68.0,1639,264,91,121,28,37,5,10,3,1.9,0.5,+1.1,16,8,5,1,13,Matches
70,Tiago Banega,ar ARG,MF,Racing Club,20,1999,1.8,40,62,64.5,622,80,15,23,18,25,3,5,0,0.0,0.0,0.0,1,3,0,0,4,Matches
71,Miguel Barbieri,ar ARG,DF,Rosario Central,25,1993,10.8,234,364,64.3,5463,2830,61,85,121,151,50,115,1,0.8,0.3,+0.2,3,32,1,0,22,Matches
72,David Barbona,ar ARG,"MF,FW",Racing Club,24,1995,7.6,282,397,71.0,4506,1124,153,184,83,107,31,67,2,2.4,1.8,-0.4,25,24,10,4,32,Matches
73,Alexander Barboza,ar ARG,DF,Independiente,24,1995,8.4,326,442,73.8,6790,2481,86,113,187,226,46,91,0,0.0,0.1,0.0,1,19,0,0,17,Matches
74,Facundo Barboza,ar ARG,"MF,FW",Godoy Cruz,23,1996,1.6,45,58,77.6,599,177,28,32,10,14,3,4,0,0.1,0.0,-0.1,2,5,1,0,2,Matches
75,Adam Bareiro,py PAR,FW,San Lorenzo,23,1996,5.9,115,163,70.6,1367,214,74,101,22,36,4,5,0,0.3,0.2,-0.3,7,7,0,0,9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Mariano Bareiro,ar ARG,"MF,DF",Huracán,24,1995,22.0,633,814,77.8,13056,4797,194,239,325,382,100,146,0,0.6,0.2,-0.6,6,44,2,1,70,Matches
77,Mauro Barraza,ar ARG,MF,Cen. Córdoba–SdE,23,1996,0.4,7,13,53.8,104,42,3,5,2,4,1,2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
78,Álvaro Barreal,ar ARG,FW,Vélez Sarsfield,18,2000,1.3,52,66,78.8,748,160,35,38,12,13,4,9,0,0.1,0.1,-0.1,2,3,2,2,3,Matches
79,José Barreto,ar ARG,"FW,MF",Patronato,19,2000,1.6,23,45,51.1,310,142,14,24,5,11,2,4,0,0.4,0.1,-0.4,3,2,2,1,4,Matches
80,Sergio Barreto,ar ARG,DF,Independiente,20,1999,3.2,122,159,76.7,2294,769,38,50,72,84,10,22,0,0.0,0.0,0.0,0,7,0,0,11,Matches
81,Lucas Barrios,py PAR,FW,Huracán,34,1984,6.3,112,194,57.7,1189,295,85,125,14,35,3,7,1,0.6,0.3,+0.4,7,5,1,0,10,Matches
