rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
639,Jonathan Sandoval,uy URU,DF,Arg Juniors,32,1987,19.8,0,13,2,15.4,0.66,0.10,0.00,0.00,16.4,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
640,Daniel Sappa,ar ARG,GK,Arsenal,24,1995,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
641,Darío Sarmiento,ar ARG,"MF,FW",Estudiantes–LP,16,2003,1.6,0,3,2,66.7,1.93,1.29,0.00,0.00,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
642,Franco Sbuttoni,ar ARG,DF,Arsenal,30,1989,20.3,0,10,3,30.0,0.49,0.15,0.00,0.00,10.8,0,0,0,2.3,2.3,0.23,-2.3,-2.3,Matches
643,Damián Schmidt,ar ARG,DF,Colón,26,1992,4.0,0,2,0,0.0,0.50,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
644,Jonathan Schunke,ar ARG,DF,Estudiantes–LP,32,1987,21.6,1,9,2,22.2,0.42,0.09,0.11,0.50,9.7,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
645,Ignacio Scocco,ar ARG,FW,River Plate,34,1985,6.9,6,23,11,47.8,3.33,1.59,0.26,0.55,20.2,4,0,0,4.8,4.8,0.21,+1.2,+1.2,Matches
646,Marcos Senesi,ar ARG,DF,San Lorenzo,22,1997,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,8.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
647,Luis Sequeira,ar ARG,MF,San Lorenzo,16,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
648,Leonardo Sigali,ar ARG,DF,Racing Club,32,1987,11.7,0,3,0,0.0,0.26,0.00,0.00,,13.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
649,Antony Silva,py PAR,GK,Huracán,35,1984,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
650,Francisco Silva,cl CHI,MF,Independiente,33,1986,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
651,Gastón Silva,uy URU,DF,Independiente,25,1994,15.7,0,14,2,14.3,0.89,0.13,0.00,0.00,20.4,7,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
652,Nicolás Silva,ar ARG,"FW,MF",Arg Juniors,29,1990,3.0,0,5,3,60.0,1.65,0.99,0.00,0.00,24.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
653,Santiago Silva,uy URU,FW,Arg Juniors,38,1980,20.6,4,40,9,22.5,1.94,0.44,0.05,0.22,14.4,0,2,2,5.6,4.0,0.10,-1.6,-2.0,Matches
