rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
61,Joaquín Arzura,ar ARG,MF,Huracán,26,1993,1.7,61,4,16,43,4,0,61,1,1,100.0,0,0.0,25,125,61,1,0,0,0,0,32,2,Matches
62,Sebastián Assis,uy URU,MF,Unión,26,1993,1.1,76,1,12,56,8,1,76,0,0,,0,,37,169,89,2,0,0,2,0,38,2,Matches
63,Fabián Assmann,ar ARG,GK,Aldosivi,33,1986,1.0,37,29,37,0,0,0,37,0,0,,0,,12,123,58,0,0,0,0,0,8,0,Matches
64,Carlos Auzqui,ar ARG,FW,Lanús,28,1991,18.5,832,13,97,339,409,75,832,48,23,47.9,25,52.1,434,2119,1156,33,20,13,36,16,558,166,Matches
65,Gabriel Ávalos,py PAR,"FW,MF",Patronato,28,1990,20.9,791,31,70,309,423,104,790,42,27,64.3,15,35.7,387,1952,649,24,24,10,76,27,562,141,Matches
66,Gastón Ávila,ar ARG,DF,Boca Juniors,17,2001,0.1,7,0,4,3,0,0,7,0,0,,0,,3,14,3,0,0,0,0,1,1,0,Matches
67,David Ayala,ar ARG,MF,Estudiantes–LP,17,2002,0.9,54,1,15,39,3,0,54,5,5,100.0,0,0.0,27,200,97,1,0,0,1,2,25,0,Matches
68,Víctor Ayala,py PAR,MF,Gimnasia–LP,31,1988,18.0,972,47,214,581,190,2,972,6,4,66.7,2,33.3,415,1952,1074,14,19,0,18,12,420,14,Matches
69,Tomás Badaloni,ar ARG,FW,Godoy Cruz,19,2000,11.3,328,13,20,167,142,43,328,10,4,40.0,6,60.0,170,603,153,5,5,1,41,16,232,39,Matches
70,Tiago Banega,ar ARG,MF,Racing Club,20,1999,1.8,90,1,16,54,22,3,90,3,1,33.3,2,66.7,37,182,70,0,5,0,7,3,50,5,Matches
71,Miguel Barbieri,ar ARG,DF,Rosario Central,25,1993,10.8,527,95,326,188,20,16,527,2,2,100.0,0,0.0,205,1009,616,1,1,0,9,3,192,0,Matches
