rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
667,Marcelo Toscano,br BRA,"MF,FW",América (MG),35,1985,20,4,389,4.3,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.1,8,22,22,0.00,0.00,0.00,0.00,0.00,0.16,0.10,0.26,0.16,0.26,Matches
668,Santiago Tréllez,co COL,"FW,MF",Sport Recife,31,1990,30,6,844,9.4,1,0,1,1,0,0,5,0,2.9,2.9,0.7,3.6,12,9,39,0.11,0.00,0.11,0.11,0.11,0.31,0.08,0.39,0.31,0.39,Matches
669,Bruno Tubarão,br BRA,FW,RB Bragantino,25,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,2,1,0.00,0.00,0.00,0.00,0.00,2.04,0.00,2.04,2.04,2.04,Matches
670,Uendel,br BRA,DF,Cuiabá,32,1988,35,35,3087,34.3,0,0,0,0,0,0,2,0,0.5,0.5,2.2,2.7,53,143,143,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.08,0.01,0.08,Matches
671,Vanderlan,br BRA,"MF,DF",Palmeiras,18,2002,3,2,224,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.15,0.02,0.17,0.15,0.17,Matches
672,Vanderson,br BRA,DF,Grêmio,19,2001,30,22,1970,21.9,3,2,5,3,0,0,5,0,1.2,1.2,2.4,3.6,65,103,111,0.14,0.09,0.23,0.14,0.23,0.05,0.11,0.17,0.05,0.17,Matches
673,Arthur Vanzela,br BRA,FW,Chapecoense,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
674,Eduardo Vargas,cl CHI,"FW,MF",Atlético Mineiro,31,1989,16,8,809,9.0,4,2,6,1,3,3,2,1,4.3,2.2,0.9,3.1,19,33,79,0.44,0.22,0.67,0.11,0.33,0.48,0.10,0.59,0.24,0.34,Matches
675,Matheus de Vargas,br BRA,MF,Fortaleza,24,1996,31,21,1690,18.8,1,0,1,1,0,0,3,0,3.7,3.7,2.3,6.0,38,76,92,0.05,0.00,0.05,0.05,0.05,0.20,0.12,0.32,0.20,0.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
676,Felipe Vasconcelos,br BRA,MF,Chapecoense,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
677,Raphael Veiga,br BRA,"MF,FW",Palmeiras,25,1995,31,29,2303,25.6,10,4,14,7,3,3,1,0,7.2,4.8,3.3,8.1,74,158,137,0.39,0.16,0.55,0.27,0.43,0.28,0.13,0.41,0.19,0.32,Matches
678,Emiliano Velázquez,uy URU,DF,Santos,26,1994,10,10,815,9.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,28,1,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
679,Lucas Venuto,br BRA,DF,Santos,26,1995,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
680,Gabriel Veron,br BRA,"FW,MF",Palmeiras,18,2002,14,4,476,5.3,1,1,2,1,0,0,3,1,0.4,0.4,0.8,1.2,12,14,50,0.19,0.19,0.38,0.19,0.38,0.08,0.15,0.22,0.08,0.22,Matches
681,João Vialle,br BRA,DF,Ath Paranaense,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
682,Bruno Viana,br BRA,DF,Flamengo,25,1995,18,8,869,9.7,0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.6,3,49,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
683,João Victor,br BRA,FW,Ceará,16,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches
684,João Victor,br BRA,DF,Corinthians,22,1998,36,36,3240,36.0,0,0,0,0,0,0,5,0,1.3,1.3,0.3,1.5,20,138,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
685,Paulo Victor,br BRA,DF,Internacional,19,2001,19,8,858,9.5,0,1,1,0,0,0,4,1,0.0,0.0,0.6,0.6,19,25,38,0.00,0.10,0.10,0.00,0.10,0.00,0.06,0.06,0.00,0.06,Matches
686,Renan Victor,br BRA,DF,Palmeiras,18,2002,21,18,1644,18.3,0,0,0,0,0,0,4,0,1.4,1.4,0.4,1.8,23,93,4,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
687,Paulo Victor Vidotti,br BRA,GK,Grêmio,34,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
688,Caio Vidal,br BRA,"FW,MF",Internacional,20,2000,20,11,944,10.5,1,0,1,1,0,0,4,1,2.3,2.3,0.4,2.7,28,17,77,0.10,0.00,0.10,0.10,0.10,0.22,0.04,0.26,0.22,0.26,Matches
689,Gabriel Vieira,br BRA,"FW,MF",Palmeiras,18,2002,3,2,204,2.3,1,0,1,1,0,0,1,0,1.3,1.3,0.2,1.4,2,8,13,0.44,0.00,0.44,0.44,0.44,0.57,0.07,0.64,0.57,0.64,Matches
690,Luan Vieira,br BRA,"FW,MF",Corinthians,27,1993,18,6,575,6.4,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.2,9,27,26,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18,Matches
691,Mathías Villasanti,py PAR,MF,Grêmio,24,1997,16,12,1010,11.2,1,0,1,1,0,0,2,0,1.0,1.0,1.3,2.3,19,35,29,0.09,0.00,0.09,0.09,0.09,0.08,0.12,0.20,0.08,0.20,Matches
692,Matías Viña,uy URU,DF,Palmeiras,23,1997,4,3,271,3.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.3,2,11,4,0.00,0.33,0.33,0.00,0.33,0.02,0.10,0.11,0.02,0.11,Matches
