rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
161,Khalid Al Ghannam,sa KSA,MF,Al-Ettifaq,22,2000,0.8,,,,,,,,,,,,,,,,,,,,,Matches
162,Khalid Al Ghannam,sa KSA,MF,Al-Nassr,22,2000,0.9,,,,,,,,,,,,,,,,,,,,,Matches
163,Abdulrahman Ghareeb,sa KSA,"MF,FW",Al-Nassr,26,1997,15.4,,,,,,,,,,,,,,,,,,,,,Matches
164,Andrei Girotto,br BRA,DF,Al-Taawoun,31,1992,28.0,,,,,,,,,,,,,,,,,,,,,Matches
165,Saviour Godwin,ng NGA,"MF,FW",Al Okhdood SC,26,1996,24.7,,,,,,,,,,,,,,,,,,,,,Matches
166,Oumar Gonzalez,cm CMR,DF,Al-Raed,25,1998,29.5,,,,,,,,,,,,,,,,,,,,,Matches
167,Craig Goodwin,au AUS,"MF,FW",Al-Wehda,31,1991,18.2,,,,,,,,,,,,,,,,,,,,,Matches
168,Andre Gray,jm JAM,FW,Al-Riyadh SC,32,1991,22.4,,,,,,,,,,,,,,,,,,,,,Matches
169,Demarai Gray,jm JAM,FW,Al-Ettifaq,27,1996,20.1,,,,,,,,,,,,,,,,,,,,,Matches
170,Marcelo Grohe,br BRA,GK,Al-Ittihad,36,1987,17.0,,,,,,,,,,,,,,,,,,,,,Matches
171,Cristian Guanca,ar ARG,"MF,FW",Al-Taawoun,30,1993,9.6,,,,,,,,,,,,,,,,,,,,,Matches
172,Nawaf Al Habashi,sa KSA,"FW,MF",Al-Hazem,25,1998,9.8,,,,,,,,,,,,,,,,,,,,,Matches
173,Ahmed Al-Habib,sa KSA,DF,Abha,30,1993,5.3,,,,,,,,,,,,,,,,,,,,,Matches
174,Hassan Al-Habib,sa KSA,"MF,DF",Al Okhdood SC,28,1994,8.2,,,,,,,,,,,,,,,,,,,,,Matches
175,Abdullah Al-Hafith,sa KSA,DF,Al-Wehda,30,1992,22.0,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
176,Marwan Al Haidari,sa KSA,GK,Al-Khaleej,27,1996,7.3,,,,,,,,,,,,,,,,,,,,,Matches
177,Asiri Haitham,sa KSA,FW,Al-Ahli,22,2001,0.3,,,,,,,,,,,,,,,,,,,,,Matches
178,Adeeb Al Haizan,sa KSA,FW,Al-Ta'ee,22,2001,6.3,,,,,,,,,,,,,,,,,,,,,Matches
179,Talal Haji,sa KSA,FW,Al-Ittihad,15,2007,3.3,,,,,,,,,,,,,,,,,,,,,Matches
180,Fahad Al Hamad,sa KSA,DF,Al-Ahli,25,1998,0.8,,,,,,,,,,,,,,,,,,,,,Matches
181,Hamam Al Hamami,,MF,Al-Ittihad,,,0.1,,,,,,,,,,,,,,,,,,,,,Matches
182,Abderrazak Hamdallah,ma MAR,FW,Al-Ittihad,32,1990,21.9,,,,,,,,,,,,,,,,,,,,,Matches
183,Abdullah Al Hamdan,sa KSA,"MF,FW",Al-Hilal,23,1999,5.4,,,,,,,,,,,,,,,,,,,,,Matches
184,Tarek Hamed,eg EGY,MF,Damac,34,1988,21.8,,,,,,,,,,,,,,,,,,,,,Matches
185,Rayan Hamidou,sa KSA,DF,Al-Ahli,21,2002,6.7,,,,,,,,,,,,,,,,,,,,,Matches
186,Bassam Hamoud,sy SYR,FW,Al-Raed,18,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
187,Saeed Al Hamsal,sa KSA,DF,Al-Khaleej,27,1996,24.6,,,,,,,,,,,,,,,,,,,,,Matches
188,Mansor Hamzi,sa KSA,MF,Al-Khaleej,31,1992,18.7,,,,,,,,,,,,,,,,,,,,,Matches
189,Yousef Haqawi,sa KSA,DF,Al-Fayha,20,2002,1.8,,,,,,,,,,,,,,,,,,,,,Matches
190,Abdulaziz Al Harabi,sa KSA,MF,Al-Ta'ee,26,1997,3.9,,,,,,,,,,,,,,,,,,,,,Matches
191,Abdulhadi Al-Harajin,sa KSA,"MF,FW",Al-Riyadh SC,28,1994,15.9,,,,,,,,,,,,,,,,,,,,,Matches
192,Abdulaziz Al Harbi,sa KSA,"MF,DF",Al-Hazem,19,2003,1.7,,,,,,,,,,,,,,,,,,,,,Matches
193,Fahad Al Harbi,sa KSA,DF,Al-Fateh,26,1997,8.7,,,,,,,,,,,,,,,,,,,,,Matches
194,Moteb Al-Harbi,sa KSA,"MF,DF",Al-Shabab,23,2000,16.2,,,,,,,,,,,,,,,,,,,,,Matches
195,Yousef Al Harbi,sa KSA,MF,Al-Wehda,26,1997,0.1,,,,,,,,,,,,,,,,,,,,,Matches
196,Ahmed Haresai,sa KSA,"MF,FW",Damac,22,2000,4.7,,,,,,,,,,,,,,,,,,,,,Matches
197,Abdulrahman Al Harthi,sa KSA,MF,Al-Ta'ee,24,1998,5.9,,,,,,,,,,,,,,,,,,,,,Matches
