rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
44,Yoann Barbet,fr FRA,DF,QPR,27,1993,46.0,46,26,28,17,1,26,47,21,59,29,30,105,151,215,1,Matches
45,Daniel Barden,wls WAL,GK,Norwich City,19,2001,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Tom Barkhuizen,eng ENG,"FW,DF",Preston,27,1993,29.8,44,21,18,20,6,19,47,28,34,2,32,22,66,50,0,Matches
47,Daniel Barlaser,tr TUR,MF,Rotherham Utd,23,1997,26.6,46,29,23,22,1,25,49,24,38,8,30,41,87,22,1,Matches
48,Danny Batth,eng ENG,DF,Stoke City,29,1990,26.0,18,12,14,3,1,4,9,5,26,19,7,40,58,142,2,Matches
49,Patrick Bauer,de GER,DF,Preston,27,1992,11.5,17,9,12,5,0,11,20,9,10,6,4,25,42,50,1,Matches
50,Tom Bayliss,eng ENG,"MF,FW",Preston,21,1999,2.9,6,5,3,3,0,3,4,1,4,3,1,1,7,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Mads Bech Sørensen,dk DEN,DF,Brentford,21,1999,29.8,36,22,23,12,1,25,33,8,22,12,10,30,66,119,0,Matches
52,Asmir Begović,ba BIH,GK,Bournemouth,33,1987,45.0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,2,Matches
53,Jérémie Bela,ao ANG,"FW,MF",Birmingham City,27,1993,25.0,22,15,10,10,2,7,12,5,16,1,15,15,37,10,0,Matches
54,Amari'i Bell,jm JAM,DF,Blackburn,26,1994,17.0,28,18,18,6,4,18,32,14,15,2,13,20,48,34,1,Matches
