rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
76,Matt Bloomfield,eng ENG,"MF,FW",Wycombe,36,1984,7.7,1,8,2,25.0,1.04,0.26,0.13,0.50,18.7,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
77,Billy Bodin,wls WAL,"FW,MF",Preston,28,1992,1.0,0,1,1,100.0,0.97,0.97,0.00,0.00,23.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
78,Marc Bola,eng ENG,"DF,FW",Middlesbrough,22,1997,40.1,1,21,4,19.0,0.52,0.10,0.05,0.25,22.5,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
79,Yannick Bolasie,cd COD,"FW,MF",Middlesbrough,31,1989,10.3,3,30,7,23.3,2.92,0.68,0.10,0.43,19.3,1,0,0,2.4,2.4,0.08,+0.6,+0.6,Matches
80,Gaëtan Bong,cm CMR,DF,Nott'ham Forest,32,1988,8.7,0,2,0,0.0,0.23,0.00,0.00,,8.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
81,Macauley Bonne,zw ZIM,FW,QPR,24,1995,12.2,3,27,10,37.0,2.21,0.82,0.11,0.30,12.6,0,0,0,5.1,5.1,0.19,-2.1,-2.1,Matches
82,Julian Börner,de GER,DF,Sheffield Weds,29,1991,23.3,3,20,6,30.0,0.86,0.26,0.15,0.50,9.4,0,0,0,3.8,3.8,0.19,-0.8,-0.8,Matches
83,Caolan Boyd-Munce,nir NIR,DF,Birmingham City,20,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Sonny Bradley,eng ENG,DF,Luton Town,28,1991,36.5,0,24,5,20.8,0.66,0.14,0.00,0.00,12.0,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
85,Tom Bradshaw,wls WAL,"FW,MF",Millwall,28,1992,11.7,4,29,9,31.0,2.49,0.77,0.14,0.44,11.8,0,0,0,4.9,4.9,0.17,-0.9,-0.9,Matches
86,Jarrad Branthwaite,eng ENG,DF,Blackburn,18,2002,10.0,0,1,0,0.0,0.10,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
87,James Bree,eng ENG,DF,Luton Town,22,1997,17.8,1,11,3,27.3,0.62,0.17,0.09,0.33,21.6,2,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
88,Luke Brennan,eng ENG,FW,Blackburn,18,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Ben Brereton,cl CHI,FW,Blackburn,21,1999,27.0,7,72,29,40.3,2.67,1.07,0.10,0.24,18.2,0,0,0,6.7,6.7,0.09,+0.3,+0.3,Matches
90,Callum Brittain,eng ENG,"DF,MF",Barnsley,22,1998,39.4,0,31,8,25.8,0.79,0.20,0.00,0.00,20.3,0,0,0,2.2,2.2,0.07,-2.2,-2.2,Matches
91,Louis Britton,eng ENG,FW,Bristol City,19,2001,0.2,1,1,1,100.0,4.74,4.74,1.00,1.00,10.0,0,0,0,0.3,0.3,0.31,+0.7,+0.7,Matches
92,David Brooks,wls WAL,"FW,MF",Bournemouth,23,1997,23.8,5,48,16,33.3,2.01,0.67,0.10,0.31,19.3,3,0,0,4.8,4.8,0.10,+0.2,+0.2,Matches
93,Ciaron Brown,nir NIR,DF,Cardiff City,22,1998,11.6,0,4,0,0.0,0.35,0.00,0.00,,5.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
94,Izzy Brown,eng ENG,MF,Sheffield Weds,23,1997,6.0,0,5,1,20.0,0.83,0.17,0.00,0.00,19.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
95,Jacob Brown,sct SCO,FW,Stoke City,22,1998,26.9,5,39,12,30.8,1.45,0.45,0.13,0.42,14.8,0,0,0,4.3,4.3,0.11,+0.7,+0.7,Matches
96,Jaden Brown,eng ENG,"DF,FW",Huddersfield,21,1999,2.7,0,1,1,100.0,0.37,0.37,0.00,0.00,20.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
97,Alan Browne,ie IRL,"MF,DF",Preston,25,1995,36.0,4,39,10,25.6,1.08,0.28,0.08,0.30,21.9,4,1,1,2.8,2.0,0.05,+1.2,+1.0,Matches
98,Marcus Browne,eng ENG,FW,Middlesbrough,22,1997,1.6,2,6,2,33.3,3.80,1.27,0.33,1.00,16.3,0,0,0,0.8,0.8,0.14,+1.2,+1.2,Matches
99,Chris Brunt,nir NIR,MF,Bristol City,35,1984,5.7,0,3,0,0.0,0.53,0.00,0.00,,24.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
100,Lee Buchanan,eng ENG,"DF,MF",Derby County,19,2001,28.7,0,18,3,16.7,0.63,0.10,0.00,0.00,18.9,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,John Buckley,eng ENG,"MF,FW",Blackburn,20,1999,11.1,1,12,6,50.0,1.08,0.54,0.08,0.17,19.6,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches
102,Emi Buendía,ar ARG,FW,Norwich City,23,1996,36.8,15,110,35,31.8,2.99,0.95,0.13,0.40,20.3,9,1,1,11.7,10.9,0.10,+3.3,+3.1,Matches
103,Ajani Burchall,bm BER,FW,Bournemouth,15,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Tyler Burey,eng ENG,"FW,MF",Millwall,18,2001,1.6,0,1,0,0.0,0.63,0.00,0.00,,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
105,Jack Burroughs,sct SCO,DF,Coventry City,19,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
106,Josef Bursik,eng ENG,GK,Stoke City,20,2000,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Daniel Butterworth,eng ENG,FW,Blackburn,20,1999,0.3,0,1,0,0.0,3.33,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
108,Nathan Byrne,eng ENG,"DF,MF",Derby County,28,1992,38.5,0,9,3,33.3,0.23,0.08,0.00,0.00,19.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
109,Ben Cabango,wls WAL,DF,Swansea City,20,2000,28.2,4,17,5,29.4,0.60,0.18,0.24,0.80,8.0,0,0,0,4.2,4.2,0.25,-0.2,-0.2,Matches
110,Rafael Cabral,br BRA,GK,Reading,30,1990,45.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
111,Cafú,pt POR,MF,Nott'ham Forest,27,1993,26.0,0,17,4,23.5,0.65,0.15,0.00,0.00,21.3,2,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
112,Mamadi Camará,gw GNB,MF,Reading,16,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,Geoff Cameron,us USA,"MF,DF",QPR,35,1985,30.9,0,14,3,21.4,0.45,0.10,0.00,0.00,18.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
114,Fraizer Campbell,eng ENG,FW,Huddersfield,32,1987,33.1,7,54,15,27.8,1.63,0.45,0.13,0.47,15.4,0,0,1,9.0,8.2,0.15,-2.0,-1.2,Matches
115,Tyrese Campbell,eng ENG,"FW,MF",Stoke City,20,1999,12.1,6,35,11,31.4,2.90,0.91,0.17,0.55,18.7,1,0,0,2.7,2.7,0.08,+3.3,+3.3,Matches
116,Sergi Canós,es ESP,"FW,DF",Brentford,23,1997,31.9,9,103,31,30.1,3.23,0.97,0.09,0.29,20.2,0,0,0,7.5,7.5,0.07,+1.5,+1.5,Matches
117,Todd Cantwell,eng ENG,FW,Norwich City,22,1998,29.0,6,67,19,28.4,2.31,0.65,0.09,0.32,19.5,0,0,0,4.9,4.9,0.07,+1.1,+1.1,Matches
118,Étienne Capoue,fr FRA,MF,Watford,32,1988,7.8,0,7,1,14.3,0.90,0.13,0.00,0.00,27.6,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
119,Tom Carroll,eng ENG,MF,QPR,28,1992,18.3,0,11,2,18.2,0.60,0.11,0.00,0.00,22.3,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
120,Hayden Carter,eng ENG,DF,Blackburn,20,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
121,Cameron Carter-Vickers,us USA,DF,Bournemouth,22,1997,20.5,1,5,2,40.0,0.24,0.10,0.20,0.50,9.2,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches
122,Joel Castro Pereira,pt POR,GK,Huddersfield,24,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,Craig Cathcart,nir NIR,DF,Watford,31,1989,21.3,1,5,1,20.0,0.24,0.05,0.20,1.00,11.3,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
124,Ilias Chair,ma MAR,"MF,FW",QPR,22,1997,38.9,8,85,28,32.9,2.19,0.72,0.09,0.29,18.5,4,0,0,8.4,8.4,0.10,-0.4,-0.4,Matches
125,Nathaniel Chalobah,eng ENG,MF,Watford,25,1994,29.2,3,33,10,30.3,1.13,0.34,0.09,0.30,19.8,4,0,0,2.2,2.2,0.07,+0.8,+0.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Conor Chaplin,eng ENG,"FW,MF",Barnsley,23,1997,23.5,4,50,16,32.0,2.13,0.68,0.08,0.25,19.4,3,0,0,4.9,4.9,0.10,-0.9,-0.9,Matches
127,Harry Chapman,eng ENG,"FW,MF",Blackburn,22,1997,1.0,0,5,1,20.0,5.11,1.02,0.00,0.00,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
128,Darius Charles,eng ENG,DF,Wycombe,32,1987,4.6,0,6,1,16.7,1.30,0.22,0.00,0.00,10.0,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
129,James Chester,wls WAL,DF,Stoke City,31,1989,31.0,0,18,3,16.7,0.58,0.10,0.00,0.00,11.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
130,Cyrus Christie,ie IRL,DF,Nott'ham Forest,27,1992,43.9,0,27,7,25.9,0.61,0.16,0.00,0.00,21.5,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
131,Jordan Clark,eng ENG,"DF,MF",Luton Town,26,1993,24.3,1,32,10,31.3,1.32,0.41,0.03,0.10,15.9,0,0,0,3.3,3.3,0.10,-2.3,-2.3,Matches
132,Jack Clarke,eng ENG,"FW,DF",Stoke City,19,2000,6.5,0,8,3,37.5,1.22,0.46,0.00,0.00,18.0,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
