rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
113,Geoff Cameron,us USA,"MF,DF",QPR,35,1985,30.9,1654,133,656,877,136,19,1654,15,11,73.3,4,26.7,729,3247,1531,8,14,1,23,21,861,8,Matches
114,Fraizer Campbell,eng ENG,FW,Huddersfield,32,1987,33.1,941,51,138,462,355,96,940,36,23,63.9,13,36.1,452,1979,731,24,17,6,76,28,588,114,Matches
115,Tyrese Campbell,eng ENG,"FW,MF",Stoke City,20,1999,12.1,467,7,44,173,256,59,467,33,19,57.6,14,42.4,286,1864,850,35,11,19,40,13,332,104,Matches
116,Sergi Canós,es ESP,"FW,DF",Brentford,23,1997,31.9,1384,18,184,565,664,139,1384,109,58,53.2,51,46.8,895,6123,3050,103,65,42,89,42,961,250,Matches
117,Todd Cantwell,eng ENG,FW,Norwich City,22,1998,29.0,1891,21,235,1007,675,92,1891,87,53,60.9,34,39.1,1271,7508,3146,75,70,24,78,41,1521,180,Matches
118,Étienne Capoue,fr FRA,MF,Watford,32,1988,7.8,575,30,179,361,48,4,575,15,12,80.0,3,20.0,262,1162,491,7,5,1,5,6,371,3,Matches
119,Tom Carroll,eng ENG,MF,QPR,28,1992,18.3,1214,27,226,622,371,19,1214,17,6,35.3,11,64.7,628,2624,1170,13,17,0,18,13,893,55,Matches
120,Hayden Carter,eng ENG,DF,Blackburn,20,1999,0.2,9,1,6,3,0,0,9,0,0,,0,,4,6,5,0,0,0,0,0,3,0,Matches
121,Cameron Carter-Vickers,us USA,DF,Bournemouth,22,1997,20.5,1300,130,773,514,22,8,1300,6,6,100.0,0,0.0,732,3317,1709,9,6,1,5,4,804,1,Matches
122,Joel Castro Pereira,pt POR,GK,Huddersfield,24,1996,2.0,88,75,87,1,0,0,88,2,2,100.0,0,0.0,56,321,163,0,0,0,0,0,42,0,Matches
123,Craig Cathcart,nir NIR,DF,Watford,31,1989,21.3,1370,154,744,579,56,13,1370,4,2,50.0,2,50.0,709,3009,1825,11,7,0,4,2,863,9,Matches
124,Ilias Chair,ma MAR,"MF,FW",QPR,22,1997,38.9,2077,15,163,856,1082,145,2077,68,48,70.6,20,29.4,1192,8248,3616,130,88,52,104,55,1393,264,Matches
125,Nathaniel Chalobah,eng ENG,MF,Watford,25,1994,29.2,1645,85,399,979,287,39,1645,37,27,73.0,10,27.0,826,3823,1570,31,19,4,59,24,987,52,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,Conor Chaplin,eng ENG,"FW,MF",Barnsley,23,1997,23.5,1022,11,115,416,500,77,1022,24,9,37.5,15,62.5,484,1996,798,18,21,4,52,31,680,185,Matches
127,Harry Chapman,eng ENG,"FW,MF",Blackburn,22,1997,1.0,71,1,9,25,40,7,71,9,2,22.2,7,77.8,43,293,113,5,1,3,4,2,52,12,Matches
128,Darius Charles,eng ENG,DF,Wycombe,32,1987,4.6,152,26,75,65,12,7,152,0,0,,0,,47,179,103,0,1,0,2,2,41,2,Matches
129,James Chester,wls WAL,DF,Stoke City,31,1989,31.0,1744,173,871,834,50,27,1744,8,8,100.0,0,0.0,862,4383,2958,19,5,0,11,5,1015,1,Matches
130,Cyrus Christie,ie IRL,DF,Nott'ham Forest,27,1992,43.9,3014,162,1008,1243,791,41,3014,71,43,60.6,28,39.4,1430,8958,5263,143,78,16,52,16,1582,144,Matches
131,Jordan Clark,eng ENG,"DF,MF",Luton Town,26,1993,24.3,1267,62,320,499,466,57,1267,56,27,48.2,29,51.8,587,3726,1891,59,27,19,47,27,671,132,Matches
132,Jack Clarke,eng ENG,"FW,DF",Stoke City,19,2000,6.5,322,5,41,139,148,20,322,26,11,42.3,15,57.7,199,1514,535,18,14,9,14,6,227,38,Matches
133,Matthew Clarke,eng ENG,DF,Derby County,23,1996,41.0,2645,258,1382,1128,150,79,2645,17,15,88.2,2,11.8,1453,6755,3825,23,15,1,15,5,1579,9,Matches
134,Trevor Clarke,ie IRL,"DF,MF",Rotherham Utd,22,1998,2.2,104,4,34,37,34,3,104,9,7,77.8,2,22.2,42,297,81,8,1,0,3,2,34,2,Matches
135,Jake Clarke-Salter,eng ENG,DF,Birmingham City,22,1997,8.8,520,28,227,277,19,2,520,7,5,71.4,2,28.6,219,1098,566,8,1,0,10,0,245,3,Matches
136,Adam Clayton,eng ENG,MF,Birmingham City,31,1989,9.7,522,32,137,330,57,1,522,7,3,42.9,4,57.1,250,1006,431,4,5,0,7,6,288,1,Matches
137,Tom Cleverley,eng ENG,MF,Watford,30,1989,28.9,1808,44,344,960,519,43,1808,12,9,75.0,3,25.0,731,2806,1229,27,25,5,25,4,1079,78,Matches
138,Sam Clucas,eng ENG,MF,Stoke City,29,1990,17.9,1010,30,147,503,370,28,1010,11,6,54.5,5,45.5,453,2001,772,14,12,5,22,8,535,45,Matches
139,Josh Coburn,eng ENG,"FW,MF",Middlesbrough,17,2002,0.6,15,0,1,1,13,3,15,0,0,,0,,6,13,6,0,0,0,1,2,15,2,Matches
140,Josh Cogley,eng ENG,"DF,FW",Birmingham City,24,1996,4.3,242,20,82,117,47,0,242,4,4,100.0,0,0.0,101,565,324,9,7,0,6,1,103,8,Matches
141,Jack Colback,eng ENG,MF,Nott'ham Forest,30,1989,12.2,641,20,169,375,102,4,641,5,5,100.0,0,0.0,350,1649,609,11,12,0,10,8,377,9,Matches
142,Maxime Colin,fr FRA,DF,Birmingham City,28,1991,39.0,2039,84,638,936,494,41,2039,47,27,57.4,20,42.6,765,4825,2230,65,43,13,59,18,786,99,Matches
143,Bradley Collins,eng ENG,GK,Barnsley,23,1997,22.0,812,448,757,56,0,0,812,0,0,,0,,351,2688,1426,0,0,0,3,0,153,0,Matches
