rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
100,Firas Al-Buraikan,sa KSA,FW,Al-Nassr,19,2000,2.4,,2,,,,,,,,,,0,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Murtadah Al Burayh,sa KSA,DF,Al-Adalah,29,1990,13.9,,11,,,,,,,,,,28,,,,Matches
102,Jonathan Cafu,br BRA,MF,Al-Hazem,28,1991,12.9,,14,,,,,,,,,,3,,,,Matches
103,Haroune Camara,sa KSA,FW,Al-Ittihad,21,1998,6.9,,4,,,,,,,,,,0,,,,Matches
104,André Carrillo,pe PER,MF,Al-Hilal,28,1991,19.2,,10,,,,,,,,,,15,,,,Matches
105,Cássio,pt POR,GK,Al-Taawoun,38,1980,29.0,,1,,,,,,,,,,2,,,,Matches
106,Farouk Chafaï,dz ALG,DF,Damac,29,1990,17.0,,13,,,,,,,,,,24,,,,Matches
107,Firas Chaouat,tn TUN,FW,Abha,23,1996,8.3,,2,,,,,,,,,,0,,,,Matches
108,Renato Chaves,br BRA,DF,Al-Wehda,29,1990,24.8,,25,,,,,,,,,,68,,,,Matches
109,Ibrahim Chenihi,dz ALG,MF,Damac,29,1990,13.4,,6,,,,,,,,,,7,,,,Matches
110,Aliou Cissé,sn SEN,"MF,FW",Al-Adalah,29,1990,22.0,,17,,,,,,,,,,19,,,,Matches
111,Emre Çolak,tr TUR,MF,Al-Wehda,28,1991,1.0,,1,,,,,,,,,,1,,,,Matches
112,Manuel da Costa,ma MAR,DF,Al-Ittihad,33,1986,7.0,,10,,,,,,,,,,25,,,,Matches
113,Rafael Costa,br BRA,MF,Damac,28,1991,3.0,,2,,,,,,,,,,0,,,,Matches
114,Gustavo Cuellar,co COL,MF,Al-Hilal,26,1992,23.2,,42,,,,,,,,,,30,,,,Matches
115,Ammar Al-Daheem,sa KSA,DF,Al-Ittihad,25,1993,3.0,,3,,,,,,,,,,3,,,,Matches
116,Nasser Al Dajani,sa KSA,MF,Al-Taawoun,22,1997,1.8,,2,,,,,,,,,,3,,,,Matches
117,Jalal Daoudi,ma MAR,MF,Al-Raed,30,1988,17.1,,18,,,,,,,,,,21,,,,Matches
118,Faisal Darisi,sa KSA,DF,Al-Raed,22,1997,1.0,,1,,,,,,,,,,2,,,,Matches
119,Faisel Darwish,sa KSA,"MF,DF",Al-Taawoun,28,1991,5.9,,8,,,,,,,,,,8,,,,Matches
120,Faisel Darwish,sa KSA,MF,Al-Wehda,28,1991,1.8,,1,,,,,,,,,,1,,,,Matches
121,Abdullaziz Al-Dawsari,sa KSA,MF,Al-Nassr,30,1988,0.9,,0,,,,,,,,,,0,,,,Matches
122,Abdullaziz Al-Dawsari,sa KSA,MF,Al-Faisaly,30,1988,4.5,,9,,,,,,,,,,1,,,,Matches
123,Nasser Al-Dawsari,sa KSA,MF,Al-Hilal,20,1998,2.6,,6,,,,,,,,,,5,,,,Matches
124,Salem Al-Dawsari,sa KSA,MF,Al-Hilal,27,1991,16.7,,20,,,,,,,,,,8,,,,Matches
125,Mohammed Sayed Al-Dhaw,sa KSA,MF,Al-Fateh,25,1993,2.4,,2,,,,,,,,,,1,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Abdulaziz Al-Dhiyabi,sa KSA,MF,Damac,27,1992,0.6,,1,,,,,,,,,,1,,,,Matches
127,Makhete Diop,sn SEN,FW,Al-Shabab,32,1987,10.5,,5,,,,,,,,,,0,,,,Matches
128,Djaniny,cv CPV,"FW,MF",Al-Ahli,28,1991,19.5,,15,,,,,,,,,,4,,,,Matches
129,Arnaud Djoum,cm CMR,MF,Al-Raed,30,1989,28.3,,38,,,,,,,,,,19,,,,Matches
130,Jumaan Al Dosari,sa KSA,DF,Damac,32,1987,6.6,,10,,,,,,,,,,8,,,,Matches
131,Abdurahman Al-Dossari,sa KSA,MF,Al-Nassr,21,1997,4.6,,16,,,,,,,,,,3,,,,Matches
132,Saeed Al-Dossari,sa KSA,MF,Al-Fateh,29,1990,2.4,,3,,,,,,,,,,1,,,,Matches
133,Hamad Al Dossary,sa KSA,"DF,MF",Al-Adalah,25,1994,3.1,,8,,,,,,,,,,6,,,,Matches
134,Marzouq Al Dossary,sa KSA,MF,Al-Shabab,17,2002,0.1,,0,,,,,,,,,,0,,,,Matches
135,Mohammed Al Dossary,sa KSA,DF,Al-Raed,20,1999,21.5,,39,,,,,,,,,,33,,,,Matches
136,Souleymane Doukara,mr MTN,"FW,MF",Al-Ettifaq,27,1991,24.1,,13,,,,,,,,,,9,,,,Matches
137,Azzedine Doukha,dz ALG,GK,Al-Raed,32,1986,29.0,,0,,,,,,,,,,0,,,,Matches
138,Khalid Dubaysh,sa KSA,"DF,MF",Al-Adalah,20,1998,3.5,,9,,,,,,,,,,6,,,,Matches
139,Carlos Eduardo,br BRA,MF,Al-Hilal,29,1989,18.8,,8,,,,,,,,,,10,,,,Matches
140,Hussain Al Essa,sa KSA,"MF,FW",Al-Adalah,18,2000,9.5,,22,,,,,,,,,,15,,,,Matches
141,Jaber Essa,sa KSA,MF,Al-Wehda,22,1997,5.3,,21,,,,,,,,,,8,,,,Matches
142,Abdullah Al-Fahad,sa KSA,DF,Al-Raed,25,1994,30.0,,32,,,,,,,,,,53,,,,Matches
143,Sultan Fahran,sa KSA,MF,Al-Raed,22,1996,24.1,,21,,,,,,,,,,25,,,,Matches
144,Abdulmohsen Fallatah,sa KSA,DF,Al-Ittihad,25,1994,5.4,,6,,,,,,,,,,9,,,,Matches
145,Muhannad Fallatah,sa KSA,MF,Al-Fayha,23,1996,5.2,,6,,,,,,,,,,5,,,,Matches
146,Sultan Faqihi,sa KSA,DF,Al-Hazem,24,1995,2.3,,1,,,,,,,,,,5,,,,Matches
147,Salman Al-Faraj,sa KSA,MF,Al-Hilal,29,1989,14.7,,12,,,,,,,,,,18,,,,Matches
148,Mohammed Al Fatil,sa KSA,DF,Al-Ahli,27,1992,13.9,,13,,,,,,,,,,28,,,,Matches
149,Jorge Fellipe,br BRA,DF,Damac,30,1988,13.0,,19,,,,,,,,,,25,,,,Matches
150,Ronnie Fernández,cl CHI,FW,Al-Fayha,28,1991,15.0,,5,,,,,,,,,,3,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Driss Fettouhi,ma MAR,MF,Al-Hazem,29,1989,29.4,,18,,,,,,,,,,24,,,,Matches
152,Ahmed Al Fiqi,sa KSA,MF,Al-Faisaly,26,1992,9.8,,7,,,,,,,,,,2,,,,Matches
153,Youssef Fouzai,tn TUN,"FW,MF",Al-Adalah,31,1987,8.6,,9,,,,,,,,,,4,,,,Matches
154,Mohamed Fouzair,ma MAR,MF,Al-Raed,27,1991,26.9,,65,,,,,,,,,,28,,,,Matches
155,Moslem Al Freej,sa KSA,GK,Al-Fayha,31,1988,14.0,,0,,,,,,,,,,0,,,,Matches
