rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
52,Gabriel Barbosa,br BRA,FW,Flamengo,23,1996,19.5,14,70,30,42.9,3.58,1.54,0.11,0.27,16.4,0,6,6,16.7,12.4,0.18,-2.7,-4.4,Matches
53,Danilo Barcelos,br BRA,DF,Fluminense,28,1991,17.0,1,10,2,20.0,0.59,0.12,0.10,0.50,25.8,5,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
54,Danilo Barcelos,br BRA,DF,Botafogo (RJ),28,1991,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,32.7,2,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
55,Leandro Barcia,uy URU,"FW,MF",Sport Recife,27,1992,11.4,3,19,8,42.1,1.67,0.70,0.16,0.38,11.2,0,0,0,2.4,2.4,0.13,+0.6,+0.6,Matches
56,Federico Barrandeguy,uy URU,DF,Botafogo (RJ),23,1996,6.1,0,1,0,0.0,0.16,0.00,0.00,,31.0,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
57,Barreto,br BRA,"MF,DF",RB Bragantino,24,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Fellipe Bastos,br BRA,MF,Vasco da Gama,29,1990,8.8,4,14,5,35.7,1.59,0.57,0.29,0.80,25.1,6,0,0,1.1,1.1,0.08,+2.9,+2.9,Matches
59,Gabriel Batista,br BRA,GK,Flamengo,21,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Muriel Becker,br BRA,GK,Fluminense,32,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Ramiro Benetti,br BRA,"MF,FW",Corinthians,26,1993,20.0,1,31,11,35.5,1.55,0.55,0.03,0.09,20.4,0,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
62,Martín Benítez,ar ARG,"MF,FW",Vasco da Gama,25,1994,19.1,2,28,10,35.7,1.46,0.52,0.07,0.20,25.4,4,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
63,Bento,br BRA,GK,Ath Paranaense,20,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Daniel Bessa,it ITA,MF,Goiás,27,1993,12.0,2,11,4,36.4,0.92,0.33,0.09,0.25,22.8,0,1,1,1.8,1.0,0.09,+0.2,0.0,Matches
65,Éber Bessa,br BRA,"FW,MF",Botafogo (RJ),27,1992,2.1,0,7,0,0.0,3.33,0.00,0.00,,25.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
66,Betinho,br BRA,MF,Sport Recife,27,1992,17.2,0,14,1,7.1,0.81,0.06,0.00,0.00,32.3,3,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
