rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
484,Gabriel Santos,br BRA,"FW,MF",Nacional,25,1999,1.0,34,0,9,12,14,5,34,5,0,0.0,3,60.0,19,182,90,3,2,1,5,0,23,4,Matches
485,Hevertton Santos,br BRA,DF,Vitória,23,2001,2.9,214,15,67,81,66,3,214,7,4,57.1,3,42.9,105,449,201,4,4,0,4,2,110,15,Matches
486,Leandro Santos,pt POR,"DF,MF",Benfica,18,2005,2.9,223,2,46,90,88,2,223,9,5,55.6,4,44.4,148,560,244,4,5,0,7,1,148,30,Matches
487,Léo Santos,br BRA,DF,Nacional,25,1998,8.6,474,86,319,138,19,12,474,2,1,50.0,1,50.0,243,1213,651,6,3,0,4,0,289,4,Matches
488,Nuno Santos,pt POR,"FW,MF",Vitória,25,1999,21.2,1154,27,117,552,498,77,1154,35,13,37.1,21,60.0,662,2793,1381,32,37,4,40,16,873,163,Matches
489,Nuno Santos,pt POR,"MF,DF",Sporting CP,29,1995,3.9,310,8,39,104,169,10,310,2,0,0.0,0,0.0,176,702,367,13,2,3,4,2,207,58,Matches
490,Pedro Santos,pt POR,MF,Arouca,23,2000,17.0,1063,27,257,695,119,6,1063,18,8,44.4,7,38.9,635,3239,1393,20,13,2,15,11,717,36,Matches
491,Pedro Santos,pt POR,"FW,MF",Moreirense,21,2003,6.2,221,6,37,99,89,12,221,10,3,30.0,7,70.0,117,434,151,4,5,3,22,4,137,35,Matches
492,Zaidu Sanusi,ng NGA,DF,Porto,27,1997,0.6,45,1,9,13,23,2,45,1,1,100.0,0,0.0,20,67,39,2,0,0,0,0,29,7,Matches
493,Guilherme Schettine,br BRA,FW,Moreirense,28,1995,18.9,548,26,65,281,210,59,548,35,13,37.1,22,62.9,301,1532,699,23,16,5,53,17,367,55,Matches
494,Andreas Schjelderup,no NOR,"FW,MF",Benfica,20,2004,5.8,252,2,26,77,152,33,252,26,9,34.6,14,53.8,151,1020,565,25,13,10,7,12,189,69,Matches
495,Caio Secco,br BRA,GK,Moreirense,33,1990,5.0,167,155,167,0,0,0,167,1,0,0.0,1,100.0,88,423,246,0,0,0,0,0,67,0,Matches
496,Telasco Segovia,ve VEN,MF,Casa Pia,21,2003,10.1,607,19,124,366,123,15,607,19,10,52.6,8,42.1,331,1405,520,9,4,4,15,18,390,20,Matches
497,Václav Sejk,cz CZE,FW,Famalicão,22,2002,9.5,273,12,20,137,118,36,273,5,0,0.0,4,80.0,122,456,157,7,6,6,14,12,194,44,Matches
498,Patrick Sequeira,cr CRC,GK,Casa Pia,25,1999,32.0,1203,1094,1198,5,0,0,1203,0,0,,0,,722,3449,1947,0,0,0,3,0,539,0,Matches
499,Serginho,pt POR,MF,Santa Clara,24,1999,14.5,704,14,141,411,160,14,704,18,7,38.9,9,50.0,364,1855,939,14,10,4,15,13,417,18,Matches
500,Guilherme Serrão,pt POR,"MF,DF",Estrela,20,2003,8.3,417,18,154,175,96,7,417,13,7,53.8,4,30.8,156,1130,539,13,9,0,18,5,183,28,Matches
