rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
85,Mariano Bíttolo,ar ARG,DF,Newell's OB,30,1990,11.4,389,583,66.7,7151,4464,161,194,180,250,42,109,1,1.0,1.0,0.0,10,46,12,3,67,Matches
86,Domingo Blanco,ar ARG,MF,Independiente,25,1995,17.5,749,860,87.1,12291,3228,379,408,273,303,69,93,0,0.2,0.6,-0.2,5,65,5,0,63,Matches
87,Lautaro Blanco,ar ARG,DF,Rosario Central,21,1999,22.0,660,1011,65.3,12793,6241,260,325,286,396,100,238,7,4.7,4.6,+2.3,35,66,57,42,77,Matches
88,Nicolás Blandi,ar ARG,"FW,MF",Unión,31,1990,0.5,12,14,85.7,201,31,4,5,8,9,0,0,0,0.0,0.0,0.0,0,0,1,0,3,Matches
89,Brian Blasi,ar ARG,DF,Unión,24,1996,4.0,122,182,67.0,2612,1401,45,54,51,67,25,53,0,0.2,0.2,-0.2,4,13,5,3,15,Matches
90,Roberto Bochi,ar ARG,MF,Platense,31,1989,0.9,16,18,88.9,260,89,11,11,3,4,2,2,0,0.1,0.0,-0.1,1,0,1,0,2,Matches
91,Érik Bodencer,ar ARG,FW,Boca Juniors,20,2000,1.2,8,12,66.7,76,4,8,9,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
92,Mauro Bogado,ar ARG,MF,Platense,35,1985,7.4,266,394,67.5,5259,1833,110,134,95,129,51,96,1,0.5,0.6,+0.5,12,39,5,3,47,Matches
93,Enrique Bologna,ar ARG,GK,River Plate,38,1982,4.0,80,104,76.9,2140,1705,20,20,34,35,26,48,0,0.0,0.0,0.0,0,0,0,0,0,Matches
94,Benjamín Borasi,ar ARG,"FW,MF",Sarmiento,23,1997,0.6,15,19,78.9,276,36,6,10,7,7,2,2,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
95,Marco Borgnino,ar ARG,"FW,MF",Unión,23,1997,4.0,84,127,66.1,1718,503,34,45,32,47,15,24,0,0.2,0.2,-0.2,3,11,2,1,17,Matches
96,Jonathan Bottinelli,ar ARG,DF,Arsenal,36,1984,3.0,119,153,77.8,2192,1023,46,51,60,75,12,25,0,0.0,0.1,0.0,0,12,1,0,19,Matches
97,Walter Bou,ar ARG,"FW,MF",Defensa y Just,27,1993,22.6,527,751,70.2,9885,2384,250,311,182,235,80,124,4,4.8,2.2,-0.8,27,68,25,3,102,Matches
98,Agustín Bouzat,ar ARG,"FW,MF",Vélez Sarsfield,26,1994,10.1,257,352,73.0,3844,1192,146,162,90,126,8,31,1,0.9,1.2,+0.1,9,17,10,7,36,Matches
99,Diego Braghieri,ar ARG,DF,Lanús,33,1987,10.3,323,423,76.4,6575,2293,94,113,189,215,37,84,0,0.4,0.1,-0.4,1,24,0,0,28,Matches
100,Malcom Braida,ar ARG,"FW,MF",Aldosivi,23,1997,20.3,332,568,58.5,4796,1593,202,279,79,144,27,71,6,3.3,2.7,+2.7,21,22,25,12,51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Federico Bravo,ar ARG,"MF,DF",Sarmiento,27,1993,13.8,351,512,68.6,6713,2832,129,169,160,222,49,77,1,0.7,0.1,+0.3,4,39,1,1,47,Matches
102,Román Bravo,ar ARG,"FW,MF",Newell's OB,19,2001,1.1,14,17,82.4,174,43,9,11,3,3,0,0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
103,Julián Brea,ar ARG,"FW,MF",Sarmiento,21,1999,2.0,27,40,67.5,470,135,14,17,11,18,2,3,0,0.2,0.3,-0.2,3,2,4,2,5,Matches
104,Néstor Breitenbruch,ar ARG,DF,Godoy Cruz,25,1995,15.1,596,787,75.7,12333,4812,157,197,345,397,82,158,0,0.1,0.4,-0.1,3,28,5,3,43,Matches
105,Norberto Briasco,am ARM,FW,Boca Juniors,24,1996,9.1,195,279,69.9,2315,273,131,156,38,55,5,16,0,0.7,0.8,-0.7,10,3,3,3,6,Matches
106,Emanuel Brítez,ar ARG,DF,Unión,28,1992,18.7,664,884,75.1,14886,6354,175,212,349,412,135,233,0,0.3,0.8,-0.3,5,71,6,3,79,Matches
107,Miguel Brizuela,ar ARG,DF,Vélez Sarsfield,24,1997,6.5,330,413,79.9,5700,2086,132,152,162,191,23,49,0,0.2,0.1,-0.2,1,18,1,1,29,Matches
108,Lucas Brochero,ar ARG,MF,Cen. Córdoba–SdE,22,1999,6.1,84,148,56.8,1544,637,32,44,27,45,16,34,2,1.0,0.7,+1.0,13,17,10,6,18,Matches
109,Jorge Broun,ar ARG,GK,Rosario Central,34,1986,17.4,574,813,70.6,15890,12154,85,87,316,324,173,399,0,0.0,0.0,0.0,0,11,0,0,1,Matches
110,Ezequiel Bullaude,ar ARG,"MF,FW",Godoy Cruz,20,2000,18.9,428,594,72.1,6288,1788,251,311,131,167,26,45,3,2.0,1.5,+1.0,25,52,16,0,77,Matches
111,Guillermo Burdisso,ar ARG,DF,Lanús,32,1988,20.9,633,820,77.2,12859,5549,177,216,364,416,85,166,1,0.4,0.8,+0.6,2,24,0,0,37,Matches
112,Valentín Burgoa,ar ARG,"FW,MF",Godoy Cruz,21,2000,10.0,210,334,62.9,3675,1391,97,129,78,116,24,57,4,1.7,2.1,+2.3,23,30,12,6,38,Matches
113,Leonardo Burián,uy URU,GK,Colón,37,1984,23.0,488,652,74.8,12788,8852,96,96,238,240,149,308,0,0.0,0.0,0.0,0,3,0,0,0,Matches
114,Abel Bustos,ar ARG,MF,Atlé Tucumán,21,1999,7.0,269,314,85.7,4666,1319,126,145,109,121,28,35,0,0.1,0.2,-0.1,2,15,0,0,20,Matches
115,Fabricio Bustos,ar ARG,DF,Independiente,24,1996,23.0,1341,1702,78.8,21722,8336,694,793,513,619,99,173,2,1.8,3.3,+0.2,17,96,30,16,136,Matches
116,Juan Cabaña,ar ARG,MF,Boca Juniors,19,2001,0.2,4,7,57.1,65,37,1,2,3,4,0,1,0,0.0,0.0,0.0,0,2,0,0,1,Matches
117,Rodrigo Cabral,ar ARG,"FW,MF",Huracán,20,2000,15.0,245,387,63.3,4182,800,145,173,62,100,34,75,0,1.2,1.1,-1.2,17,18,13,12,28,Matches
118,Yonathan Cabral,ar ARG,DF,Atlé Tucumán,28,1992,15.4,392,514,76.3,8010,3900,144,170,178,219,66,108,0,0.8,0.2,-0.8,5,23,1,0,21,Matches
119,Alejandro Cabrera,ar ARG,MF,Banfield,28,1992,0.2,7,8,87.5,160,45,1,2,4,4,1,1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
120,Javier Cabrera,uy URU,"DF,MF",Arg Juniors,28,1992,14.5,424,648,65.4,7287,3023,206,267,154,233,47,90,2,2.5,2.6,-0.5,22,41,41,21,78,Matches
121,Jerónimo Cacciabue,ar ARG,MF,Newell's OB,23,1998,16.2,561,697,80.5,9749,3245,256,296,233,274,52,88,0,1.0,0.6,-1.0,7,67,5,1,94,Matches
122,Juan Cáceres,py PAR,DF,Racing Club,20,2000,13.9,617,813,75.9,10571,4335,301,346,249,299,54,127,1,1.3,1.1,-0.3,11,50,13,9,65,Matches
123,Diego Calcaterra,ar ARG,"DF,MF",Newell's OB,19,2001,8.4,222,294,75.5,4329,1715,78,86,115,137,24,57,0,0.0,0.0,0.0,1,16,0,0,22,Matches
124,Franco Calderón,ar ARG,DF,Unión,22,1998,21.9,600,801,74.9,13757,5585,153,196,319,369,124,209,0,0.6,0.5,-0.6,6,47,4,2,63,Matches
125,Stefano Callegari,ar ARG,DF,Platense,24,1997,0.5,11,13,84.6,284,95,2,3,7,7,2,3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
126,Facundo Cambeses,ar ARG,GK,Banfield,23,1997,8.0,164,225,72.9,4495,3458,35,35,85,86,43,101,0,0.0,0.0,0.0,0,3,0,0,0,Matches
127,Marco Campagnaro,ar ARG,DF,Newell's OB,17,2003,2.0,46,68,67.6,616,342,33,36,11,22,2,7,0,0.0,0.0,0.0,0,1,0,0,5,Matches
