wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
12,Fri,2021-01-08,19:55 (17:55),Al-Nassr,3–0,Al-Ain,70,Mrsool Park,Mohammed Saif Al Harbi,Match Report,
12,Sat,2021-01-09,15:30 (13:30),Al-Taawoun,0–0,Al-Raed,50,King Abdullah Sports City,Khalid Saleh Al Turais,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,2021-01-09,17:55 (15:55),Al-Shabab,1–0,Al-Ettifaq,40,Prince Khalid bin Sultan Stadium,Mohammed Khaled Al Hoish,Match Report,
12,Sat,2021-01-09,19:55 (17:55),Al-Ittihad,1–0,Damac,50,Prince Abdullah bin Abdul Aziz Stadium,Sami Ahmed Al Jurays,Match Report,
13,Thu,2021-01-14,15:30 (13:30),Al-Faisaly,2–2,Al-Qadsiah,45,Al Majma'ah Sport City,Shukri Hussein Al Hunfush,Match Report,
13,Thu,2021-01-14,15:55 (13:55),Al-Ain,0–3,Al-Shabab,33,King Saud Sport City Stadium,Sultan Sanat Al Harbi,Match Report,
13,Thu,2021-01-14,17:45 (15:45),Al-Ettifaq,1–1,Al-Batin,30,Prince Mohamed bin Fahd Stadium,Khalid Ahmed Sahlawi,Match Report,
13,Thu,2021-01-14,17:50 (15:50),Al-Fateh,1–2,Al-Taawoun,50,Prince Abdullah bin Jalawi Stadium,Sandro Schärer,Match Report,
13,Thu,2021-01-14,20:10 (18:10),Al-Ittihad,0–1,Abha,50,King Abdullah Sports City,Faisal Suleiman Al Balawi,Match Report,
13,Fri,2021-01-15,15:55 (13:55),Damac,0–0,Al-Wehda,40,Prince Sultan bin Abdul Aziz Stadium,Abdullah Saleh Al Harbi,Match Report,
13,Fri,2021-01-15,18:10 (16:10),Al-Raed,0–1,Al-Nassr,50,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
13,Fri,2021-01-15,20:10 (18:10),Al-Ahli,0–0,Al-Hilal,70,King Abdullah Sports City,Majed Mohammed Al Shamrani,Match Report,
14,Tue,2021-01-19,15:40 (13:40),Al-Raed,2–3,Al-Ettifaq,34,Prince Abdullah bin Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
14,Tue,2021-01-19,16:00 (14:00),Al-Ain,1–2,Al-Ittihad,46,King Saud Sport City Stadium,Mohammed Zafar Al Qarni,Match Report,
14,Tue,2021-01-19,17:50 (15:50),Al-Qadsiah,1–1,Al-Fateh,50,Prince Saud bin Jalawi Stadium,Turki Mohammed Al Khudayr,Match Report,
14,Tue,2021-01-19,18:10 (16:10),Al-Shabab,1–1,Al-Faisaly,91,Prince Khalid bin Sultan Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
14,Tue,2021-01-19,20:10 (18:10),Al-Ahli,3–0,Abha,50,King Abdullah Sports City,Mohammed Saif Al Harbi,Match Report,
14,Wed,2021-01-20,15:55 (13:55),Damac,2–0,Al-Batin,39,Prince Sultan bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
14,Wed,2021-01-20,18:10 (16:10),Al-Hilal,2–0,Al-Taawoun,50,Prince Faisal bin Fahd Stadium,Faisal Suleiman Al Balawi,Match Report,
14,Wed,2021-01-20,20:10 (18:10),Al-Nassr,3–1,Al-Wehda,50,Mrsool Park,Majed Mohammed Al Shamrani,Match Report,
15,Sun,2021-01-24,15:55 (13:55),Abha,2–2,Al-Qadsiah,50,Prince Sultan bin Abdul Aziz Stadium,Abdullah Saleh Al Harbi,Match Report,
15,Sun,2021-01-24,17:55 (15:55),Al-Fateh,0–2,Al-Raed,30,Prince Abdullah bin Jalawi Stadium,Abdullah Al-Shehri,Match Report,
15,Sun,2021-01-24,18:40 (16:40),Al-Ittihad,1–1,Al-Nassr,50,King Abdul Aziz Stadium,Khalid Ahmed Sahlawi,Match Report,
15,Sun,2021-01-24,20:10 (18:10),Al-Ettifaq,1–2,Al-Ahli,50,Prince Mohamed bin Fahd Stadium,Sultan Sanat Al Harbi,Match Report,
15,Mon,2021-01-25,15:40 (13:40),Al-Taawoun,3–1,Damac,37,Prince Abdullah bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
15,Mon,2021-01-25,18:15 (16:15),Al-Faisaly,1–1,Al-Hilal,50,Al Majma'ah Sport City,Raed Ali Al Zahrani,Match Report,
15,Mon,2021-01-25,18:45 (16:45),Al-Wehda,2–4,Al-Shabab,50,King Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
15,Tue,2021-01-26,15:30 (13:30),Al-Batin,2–1,Al-Ain,38,Al-Batin FC Stadium,Turki Mohammed Al Khudayr,Match Report,
16,Sat,2021-01-30,15:40 (13:40),Al-Faisaly,0–0,Al-Taawoun,20,Al Majma'ah Sport City,Abdullah Al-Shehri,Match Report,
16,Sat,2021-01-30,16:00 (14:00),Abha,2–3,Al-Shabab,40,Prince Sultan bin Abdul Aziz Stadium,Turki Mohammed Al Khudayr,Match Report,
16,Sat,2021-01-30,18:00 (16:00),Al-Ettifaq,2–0,Al-Ittihad,50,Prince Mohamed bin Fahd Stadium,Majed Mohammed Al Shamrani,Match Report,
16,Sun,2021-01-31,15:45 (13:45),Al-Raed,4–2,Damac,35,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Sami Al Ismail,Match Report,
16,Sun,2021-01-31,18:00 (16:00),Al-Qadsiah,2–2,Al-Wehda,27,Prince Saud bin Jalawi Stadium,Khaled Suleiman Al Juhani,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sun,2021-01-31,20:10 (18:10),Al-Ahli,2–2,Al-Batin,70,King Abdullah Sports City Reserve Stadiu...,Abdullah Saleh Al Harbi,Match Report,
17,Thu,2021-02-04,16:05 (14:05),Al-Ain,1–0,Al-Ettifaq,45,King Saud Sport City Stadium,Mohammed Khaled Al Hoish,Match Report,
17,Thu,2021-02-04,18:15 (16:15),Al-Hilal,2–3,Abha,50,Prince Faisal bin Fahd Stadium,Ilgiz Tantashev,Match Report,
17,Thu,2021-02-04,18:50 (16:50),Al-Ittihad,4–1,Al-Fateh,46,King Abdullah Sports City,Ahmed Mohammed Al Rumaikhani,Match Report,
17,Thu,2021-02-04,20:15 (18:15),Al-Nassr,3–0,Al-Taawoun,50,Mrsool Park,Sultan Sanat Al Harbi,Match Report,
17,Fri,2021-02-05,15:40 (13:40),Al-Batin,0–2,Al-Faisaly,15,Al-Batin FC Stadium,Sami Ahmed Al Jurays,Match Report,
17,Fri,2021-02-05,20:15 (18:15),Al-Wehda,2–4,Al-Ahli,50,King Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
