rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
399,Pablo,br BRA,DF,Bordeaux,28,1991,24.1,4,17,7,41.2,0.70,0.29,0.24,0.57,10.3,0,0,0,1.9,1.9,0.11,+2.1,+2.1,Matches
400,Vincent Pajot,fr FRA,MF,Angers,28,1990,1.3,0,3,0,0.0,2.39,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
401,Vincent Pajot,fr FRA,MF,Metz,28,1990,5.8,0,6,2,33.3,1.04,0.35,0.00,0.00,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
402,Sergi Palencia,es ESP,DF,Saint-Étienne,23,1996,5.2,0,1,0,0.0,0.19,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
403,Nicolas Pallois,fr FRA,DF,Nantes,31,1987,21.0,0,14,3,21.4,0.67,0.14,0.00,0.00,14.0,1,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
404,Jonathan Panzo,eng ENG,DF,Monaco,18,2000,1.2,0,1,0,0.0,0.84,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
405,Gaëtan Paquiez,fr FRA,DF,Nîmes,25,1994,17.0,0,5,0,0.0,0.29,0.00,0.00,,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
406,Rubén Pardo,es ESP,MF,Bordeaux,26,1992,2.1,1,2,2,100.0,0.96,0.96,0.50,0.50,19.5,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
407,Leandro Paredes,ar ARG,MF,Paris S-G,25,1994,9.0,0,18,4,22.2,1.99,0.44,0.00,0.00,28.1,2,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
408,Mateo Pavlović,ba BIH,DF,Angers,29,1990,9.0,0,7,3,42.9,0.78,0.33,0.00,0.00,9.5,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
409,Dimitri Payet,fr FRA,"FW,MF",Marseille,32,1987,21.4,9,60,23,38.3,2.80,1.07,0.10,0.26,23.3,16,3,3,6.4,4.1,0.07,+2.6,+1.9,Matches
