rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
102,Lennerd Daneels,be BEL,FW,RKC Waalwijk,21,1998,1.8,2,1,1,0,1,1,2,1,0,0,0,0,2,1,0,Matches
103,Danilo,br BRA,FW,Ajax,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Damil Dankerlui,sr SUR,"DF,MF",Willem II,22,1996,8.6,18,9,7,6,5,8,21,13,9,3,6,6,24,15,1,Matches
105,Oussama Darfalou,dz ALG,"MF,DF",Vitesse,25,1993,0.7,2,2,2,0,0,2,3,1,1,0,1,1,3,0,0,Matches
106,Oussama Darfalou,dz ALG,FW,VVV-Venlo,25,1993,8.0,15,11,3,5,7,5,12,7,10,2,8,2,17,9,0,Matches
107,Eli Dasa,il ISR,"DF,MF",Vitesse,26,1992,9.4,21,9,15,4,2,9,19,10,8,1,7,11,32,20,1,Matches
108,Laurens De Bock,be BEL,DF,ADO Den Haag,26,1992,7.8,17,8,9,6,2,5,14,9,10,5,5,16,33,23,0,Matches
109,Rick Dekker,nl NED,"MF,DF",Zwolle,24,1995,13.2,40,22,21,16,3,15,39,24,16,7,9,19,59,42,0,Matches
110,Tristan Dekker,nl NED,"DF,FW",VVV-Venlo,21,1998,0.7,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,Matches
111,Hannes Delcroix,ht HAI,DF,RKC Waalwijk,20,1999,22.9,44,29,27,17,0,23,34,11,27,19,8,41,85,108,0,Matches
112,Arjen van der Heide,nl NED,"FW,MF",Heerenveen,17,2001,0.4,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,Matches
113,Jan-Arie van der Heijden,nl NED,DF,Feyenoord,31,1988,4.0,2,1,2,0,0,1,2,1,5,1,4,5,7,16,0,Matches
114,Mark van der Maarel,nl NED,DF,Utrecht,29,1989,15.9,34,19,20,9,5,19,33,14,17,5,12,24,58,50,1,Matches
115,Richard van der Venne,nl NED,MF,RKC Waalwijk,27,1992,5.9,8,6,5,3,0,2,20,18,5,2,3,4,12,4,1,Matches
116,Silvester van der Water,nl NED,FW,Heracles Almelo,22,1996,18.2,49,35,21,22,6,20,40,20,12,0,12,8,57,5,0,Matches
117,Halil Dervişoğlu,tr TUR,FW,Sparta R'dam,19,1999,13.6,24,12,4,15,5,8,28,20,12,0,12,1,25,1,0,Matches
118,Cyriel Dessers,ng NGA,FW,Heracles Almelo,24,1994,25.7,15,6,4,9,2,6,30,24,11,0,11,3,18,5,0,Matches
119,Sergiño Dest,us USA,DF,Ajax,18,2000,16.1,37,25,19,12,6,16,25,9,16,5,11,18,55,16,1,Matches
120,Nouha Dicko,ml MLI,FW,Vitesse,27,1992,13.4,24,14,7,11,6,10,23,13,8,0,8,8,32,7,0,Matches
