rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
566,Matías Vecino,uy URU,MF,Inter,27,1991,14.2,2,28,9,32.1,1.97,0.63,0.07,0.22,16.4,0,0,0,3.5,3.5,0.12,-1.5,-1.5,Matches
567,Miguel Veloso,pt POR,MF,Hellas Verona,33,1986,31.2,3,36,7,19.4,1.15,0.22,0.08,0.43,26.8,10,0,0,2.1,2.1,0.06,+0.9,+0.9,Matches
568,Lorenzo Venuti,it ITA,"DF,MF",Fiorentina,24,1995,9.5,0,4,2,50.0,0.42,0.21,0.00,0.00,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
569,Brayan Vera,co COL,"DF,FW",Lecce,20,1999,1.7,0,4,0,0.0,2.32,0.00,0.00,,28.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
570,Simone Verdi,it ITA,"MF,FW",Torino,27,1992,23.0,2,53,18,34.0,2.30,0.78,0.04,0.11,22.7,11,0,0,3.7,3.7,0.07,-1.7,-1.7,Matches
571,Jordan Veretout,fr FRA,MF,Roma,26,1993,29.2,6,24,8,33.3,0.82,0.27,0.04,0.13,27.8,2,5,5,4.9,1.0,0.04,+1.1,0.0,Matches
572,Valerio Verre,it ITA,"MF,FW",Hellas Verona,25,1994,19.7,3,39,12,30.8,1.98,0.61,0.03,0.08,20.2,0,2,2,5.8,4.3,0.11,-2.8,-3.3,Matches
573,Francesco Vicari,it ITA,DF,SPAL,24,1994,32.2,0,10,2,20.0,0.31,0.06,0.00,0.00,16.0,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
574,Ronaldo Vieira,gw GNB,MF,Sampdoria,21,1998,20.2,0,31,6,19.4,1.53,0.30,0.00,0.00,22.6,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
575,Mauro Vigorito,it ITA,GK,Lecce,29,1990,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
576,Gonzalo Villar,es ESP,MF,Roma,21,1998,3.3,0,2,2,100.0,0.60,0.60,0.00,0.00,9.4,0,0,0,1.0,1.0,0.52,-1.0,-1.0,Matches
577,Luigi Vitale,it ITA,DF,Hellas Verona,31,1987,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
578,Mattia Viviani,it ITA,MF,Brescia,18,2000,3.8,0,3,0,0.0,0.78,0.00,0.00,,25.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
579,Dušan Vlahović,rs SRB,FW,Fiorentina,19,2000,16.7,6,64,17,26.6,3.84,1.02,0.08,0.29,15.8,6,1,1,7.0,6.2,0.10,-1.0,-1.2,Matches
580,Stefan de Vrij,nl NED,DF,Inter,27,1992,31.4,4,20,6,30.0,0.64,0.19,0.20,0.67,12.0,0,0,0,2.0,2.0,0.10,+2.0,+2.0,Matches
581,Giacomo Vrioni,al ALB,FW,Juventus,20,1998,0.1,0,1,0,0.0,7.50,0.00,0.00,,4.1,0,0,0,0.4,0.4,0.39,-0.4,-0.4,Matches
582,Walace,br BRA,MF,Udinese,24,1995,12.7,0,11,2,18.2,0.87,0.16,0.00,0.00,20.4,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
583,Sebastian Walukiewicz,pl POL,DF,Cagliari,19,2000,12.9,0,1,0,0.0,0.08,0.00,0.00,,6.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
