rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
542,Hidde ter Avest,nl NED,DF,Udinese,22,1997,20,6,686,7.6,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,6,20,28,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
543,Pietro Terracciano,it ITA,GK,Fiorentina,29,1990,7,7,624,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
544,Aleksa Terzić,rs SRB,MF,Fiorentina,19,1999,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
545,Demba Thiam,sn SEN,GK,SPAL,21,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
546,Morten Thorsby,no NOR,"MF,DF",Sampdoria,23,1996,24,21,1865,20.7,1,1,2,1,0,0,9,1,1.9,1.9,1.0,2.9,16,74,55,0.05,0.05,0.10,0.05,0.10,0.09,0.05,0.14,0.09,0.14,Matches
547,Jeremy Toljan,de GER,DF,Sassuolo,24,1994,29,25,2186,24.3,1,2,3,1,0,0,8,0,0.6,0.6,2.3,2.9,84,111,130,0.04,0.08,0.12,0.04,0.12,0.03,0.09,0.12,0.03,0.12,Matches
548,Rafael Tolói,it ITA,DF,Atalanta,28,1990,33,29,2608,29.0,2,6,8,2,0,0,11,0,3.1,3.1,2.3,5.4,36,166,38,0.07,0.21,0.28,0.07,0.28,0.11,0.08,0.19,0.11,0.19,Matches
549,Takehiro Tomiyasu,jp JPN,DF,Bologna,20,1998,29,29,2528,28.1,1,3,4,1,0,0,8,0,1.1,1.1,2.1,3.2,73,177,64,0.04,0.11,0.14,0.04,0.14,0.04,0.07,0.11,0.04,0.11,Matches
550,Nenad Tomović,rs SRB,DF,SPAL,31,1987,23,20,1755,19.5,0,1,1,0,0,0,5,1,0.8,0.8,0.5,1.3,31,66,18,0.00,0.05,0.05,0.00,0.05,0.04,0.03,0.07,0.04,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
