rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
57,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,1533,31,119,588,837,217,1532,62,39,62.9,23,37.1,857,5094,2603,107,66,46,58,39,1287,256,Matches
58,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,1294,37,280,617,406,40,1294,35,17,48.6,18,51.4,657,4077,2156,55,41,13,24,13,772,105,Matches
59,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,25.3,1276,27,163,406,730,75,1276,73,35,47.9,38,52.1,639,4113,2105,64,52,21,55,39,821,201,Matches
60,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,807,63,376,375,72,14,807,2,1,50.0,1,50.0,315,1754,913,9,9,0,10,0,346,7,Matches
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,224,10,51,74,99,22,224,12,4,33.3,8,66.7,140,907,404,17,7,5,19,17,148,44,Matches
62,Antonio Blanco,es ESP,"MF,FW",Real Madrid,20,2000,2.4,203,10,50,117,36,0,203,0,0,,0,,95,333,102,0,2,0,0,1,142,0,Matches
63,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,697,603,696,1,0,0,697,0,0,,0,,381,1898,972,0,0,0,0,0,352,0,Matches
64,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,12,0,2,9,1,0,12,0,0,,0,,11,74,43,0,0,0,0,0,11,0,Matches
65,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,130,6,31,72,28,5,130,3,0,0.0,3,100.0,75,454,241,4,4,1,4,6,73,5,Matches
66,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,1159,1036,1154,5,1,1,1159,1,1,100.0,0,0.0,648,2998,1488,0,0,0,0,0,592,0,Matches
67,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,1137,31,112,619,427,95,1137,117,66,56.4,51,43.6,688,3276,1161,43,29,17,163,79,814,117,Matches
68,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,391,10,40,131,221,70,390,16,9,56.3,7,43.8,240,1230,539,20,14,14,32,16,310,91,Matches
69,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,390,14,57,192,144,32,390,6,4,66.7,2,33.3,179,819,411,22,5,8,11,16,233,46,Matches
70,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,12,0,5,5,2,0,12,0,0,,0,,8,44,8,0,0,0,1,1,8,0,Matches
71,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,699,590,696,3,0,0,699,3,3,100.0,0,0.0,367,1849,1229,0,0,0,0,0,297,0,Matches
72,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,480,22,130,292,66,2,480,11,9,81.8,2,18.2,218,832,261,0,1,0,16,8,249,9,Matches
73,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,10,1,3,3,4,0,10,0,0,,0,,2,7,1,0,1,0,0,0,5,0,Matches
74,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,617,21,54,294,273,90,617,26,13,50.0,13,50.0,300,1229,401,14,15,9,68,34,455,103,Matches
75,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,677,73,317,347,17,12,674,1,1,100.0,0,0.0,308,1668,767,4,0,0,4,2,340,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Burgui,es ESP,MF,Alavés,26,1993,0.2,11,0,2,5,4,0,11,0,0,,0,,8,49,33,1,3,0,0,0,8,2,Matches
77,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28.0,2903,66,480,1831,599,13,2903,9,8,88.9,1,11.1,1752,5980,2947,25,48,1,24,10,2322,29,Matches
78,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,609,47,262,316,35,12,609,2,0,0.0,2,100.0,248,1298,697,6,3,0,8,0,241,1,Matches
79,Cala,es ESP,DF,Cádiz,30,1989,25.2,971,139,503,443,33,20,971,4,4,100.0,0,0.0,425,1868,925,3,4,0,9,2,439,2,Matches
80,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,570,10,35,239,307,89,570,40,17,42.5,22,55.0,291,1452,504,20,16,5,60,30,414,97,Matches
81,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,924,118,572,334,21,13,924,3,2,66.7,1,33.3,484,2457,1317,2,1,0,6,0,579,2,Matches
82,José Campaña,es ESP,MF,Levante,27,1993,8.3,614,11,107,316,203,14,613,40,23,57.5,17,42.5,368,2071,1032,26,23,4,17,13,431,48,Matches
83,Sergio Canales,es ESP,"MF,FW",Betis,29,1991,27.8,1966,16,209,1045,737,60,1963,43,32,74.4,11,25.6,1280,7486,4002,102,76,10,42,26,1555,126,Matches
