rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
151,Kaisei Ishii,jp JPN,FW,Sagan Tosu,20,2000,1.3,,,,,,,,,,,,,,,,,,,,,Matches
152,Daisuke Ishizu,jp JPN,MF,Avispa Fukuoka,31,1990,8.6,,,,,,,,,,,,,,,,,,,,,Matches
153,Zain Issaka,jp JPN,DF,Kawa Frontale,23,1997,1.0,,,,,,,,,,,,,,,,,,,,,Matches
154,Atsuki Ito,jp JPN,MF,Urawa Reds,22,1998,25.2,,,,,,,,,,,,,,,,,,,,,Matches
155,Ryotaro Ito,jp JPN,MF,Urawa Reds,22,1998,0.3,,,,,,,,,,,,,,,,,,,,,Matches
156,Sho Ito,jp JPN,FW,Yokohama FC,32,1988,5.9,,,,,,,,,,,,,,,,,,,,,Matches
157,Takuya Iwanami,jp JPN,DF,Urawa Reds,26,1994,36.2,,,,,,,,,,,,,,,,,,,,,Matches
158,Ken Iwao,jp JPN,MF,Vortis,32,1988,34.9,,,,,,,,,,,,,,,,,,,,,Matches
159,Yuto Iwasaki,jp JPN,"FW,MF",Sagan Tosu,22,1998,6.3,,,,,,,,,,,,,,,,,,,,,Matches
160,Tomoki Iwata,jp JPN,"MF,DF",Marinos,23,1997,27.3,,,,,,,,,,,,,,,,,,,,,Matches
161,Katsuya Iwatake,jp JPN,DF,Yokohama FC,24,1996,13.1,,,,,,,,,,,,,,,,,,,,,Matches
162,Ryuji Izumi,jp JPN,MF,Kashima Antlers,27,1993,11.5,,,,,,,,,,,,,,,,,,,,,Matches
163,Jesiel,br BRA,DF,Kawa Frontale,26,1994,27.7,,,,,,,,,,,,,,,,,,,,,Matches
164,Kim Jin-hyeon,kr KOR,GK,Cerezo Osaka,33,1987,38.0,,,,,,,,,,,,,,,,,,,,,Matches
165,Hisashi Jogo,jp JPN,FW,Avispa Fukuoka,34,1986,2.9,,,,,,,,,,,,,,,,,,,,,Matches
166,Calvin Jong-a-Pin,nl NED,DF,Yokohama FC,34,1986,0.1,,,,,,,,,,,,,,,,,,,,,Matches
167,Juanma,es ESP,FW,Avispa Fukuoka,30,1990,16.9,,,,,,,,,,,,,,,,,,,,,Matches
168,Marcos Júnior,br BRA,MF,Marinos,28,1993,23.8,,,,,,,,,,,,,,,,,,,,,Matches
169,Welinton Júnior,br BRA,"FW,MF",Shonan Bellmare,27,1993,0.5,,,,,,,,,,,,,,,,,,,,,Matches
170,Kasper Junker,dk DEN,FW,Urawa Reds,26,1994,14.4,,,,,,,,,,,,,,,,,,,,,Matches
171,Ryonosuke Kabayama,jp JPN,FW,Marinos,18,2002,0.9,,,,,,,,,,,,,,,,,,,,,Matches
172,Yuki Kagawa,jp JPN,MF,Oita Trinita,28,1992,24.2,,,,,,,,,,,,,,,,,,,,,Matches
173,Yuki Kakita,jp JPN,FW,Vortis,23,1997,26.0,,,,,,,,,,,,,,,,,,,,,Matches
174,Yoichiro Kakitani,jp JPN,"MF,FW",Grampus,31,1990,26.7,,,,,,,,,,,,,,,,,,,,,Matches
175,Naoto Kamifukumoto,jp JPN,GK,Vortis,31,1989,34.0,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
176,Takumi Kamijima,jp JPN,DF,Kashiwa Reysol,23,1997,20.4,,,,,,,,,,,,,,,,,,,,,Matches
177,Kaito Kamiya,jp JPN,DF,Kawa Frontale,23,1997,0.0,,,,,,,,,,,,,,,,,,,,,Matches
178,Yuta Kamiya,jp JPN,"MF,FW",Kashiwa Reysol,23,1997,14.0,,,,,,,,,,,,,,,,,,,,,Matches
179,Takeshi Kanamori,jp JPN,MF,Avispa Fukuoka,26,1994,24.3,,,,,,,,,,,,,,,,,,,,,Matches
180,Mu Kanazaki,jp JPN,"FW,MF",Grampus,31,1989,1.2,,,,,,,,,,,,,,,,,,,,,Matches
181,Daiki Kaneko,jp JPN,MF,Urawa Reds,22,1998,5.0,,,,,,,,,,,,,,,,,,,,,Matches
182,Shota Kaneko,jp JPN,MF,S-Pulse,25,1995,1.7,,,,,,,,,,,,,,,,,,,,,Matches
183,Takuro Kaneko,jp JPN,MF,Consa Sapporo,23,1997,35.5,,,,,,,,,,,,,,,,,,,,,Matches
184,Yoshifumi Kashiwa,jp JPN,MF,Sanfrecce,33,1987,18.2,,,,,,,,,,,,,,,,,,,,,Matches
185,Eiichi Katayama,jp JPN,"DF,MF",S-Pulse,29,1991,27.4,,,,,,,,,,,,,,,,,,,,,Matches
186,Chihiro Kato,jp JPN,MF,Vegalta Sendai,22,1998,20.4,,,,,,,,,,,,,,,,,,,,,Matches
187,Hayao Kawabe,jp JPN,MF,Sanfrecce,25,1995,17.8,,,,,,,,,,,,,,,,,,,,,Matches
188,Naoki Kawaguchi,jp JPN,"MF,DF",Kashiwa Reysol,26,1994,11.6,,,,,,,,,,,,,,,,,,,,,Matches
189,Yosuke Kawai,jp JPN,MF,S-Pulse,31,1989,12.4,,,,,,,,,,,,,,,,,,,,,Matches
190,Shuhei Kawasaki,jp JPN,FW,Gamba Osaka,19,2001,1.2,,,,,,,,,,,,,,,,,,,,,Matches
191,Atsushi Kawata,jp JPN,FW,Vortis,28,1992,4.2,,,,,,,,,,,,,,,,,,,,,Matches
192,Hinata Kida,jp JPN,MF,Cerezo Osaka,20,2000,3.2,,,,,,,,,,,,,,,,,,,,,Matches
193,Ryoma Kida,jp JPN,MF,Vegalta Sendai,23,1997,17.1,,,,,,,,,,,,,,,,,,,,,Matches
194,Takuya Kida,jp JPN,MF,Marinos,26,1994,21.2,,,,,,,,,,,,,,,,,,,,,Matches
195,Ryuho Kikuchi,jp JPN,DF,Vissel Kobe,24,1996,36.5,,,,,,,,,,,,,,,,,,,,,Matches
196,Yasuki Kimoto,jp JPN,"DF,MF",Grampus,27,1993,19.1,,,,,,,,,,,,,,,,,,,,,Matches
197,Kosuke Kinoshita,jp JPN,FW,Urawa Reds,26,1994,0.2,,,,,,,,,,,,,,,,,,,,,Matches
198,Takeru Kishimoto,jp JPN,DF,Vortis,23,1997,34.5,,,,,,,,,,,,,,,,,,,,,Matches
199,Yuji Kitajima,jp JPN,MF,Avispa Fukuoka,20,2000,0.8,,,,,,,,,,,,,,,,,,,,,Matches
200,Kengo Kitazume,jp JPN,"MF,DF",Kashiwa Reysol,28,1992,7.4,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
