wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
32,Mon,2023-05-01,21:00,Sevilla,2.2,0–2,0.8,Girona,35560,Estadio Ramón Sánchez Pizjuán,Alejandro Muñíz,Match Report,
33,Tue,2023-05-02,19:30,Barcelona,2.8,1–0,0.4,Osasuna,76061,Camp Nou,Javier Villanueva,Match Report,
33,Tue,2023-05-02,19:30,Almería,1.7,2–1,1.0,Elche,13352,Power Horse Stadium,Alejandro Hernández,Match Report,
33,Tue,2023-05-02,22:00,Real Sociedad,1.9,2–0,0.8,Real Madrid,35314,Reale Arena,Juan Pulido,Match Report,
33,Wed,2023-05-03,19:30,Valencia,1.2,1–1,0.7,Villarreal,43634,Estadio de Mestalla,Jesús Gil,Match Report,
33,Wed,2023-05-03,22:00,Getafe,2.7,1–0,0.3,Celta Vigo,11022,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
33,Wed,2023-05-03,22:00,Atlético Madrid,3.0,5–1,0.0,Cádiz,42023,Estadio Cívitas Metropolitano,César Soto,Match Report,
33,Thu,2023-05-04,19:30,Sevilla,2.6,3–2,1.0,Espanyol,35391,Estadio Ramón Sánchez Pizjuán,Hsu Jason,Match Report,
33,Thu,2023-05-04,19:30,Girona,1.7,2–1,1.4,Mallorca,11767,Estadi Municipal de Montilivi,Juan Martínez,Match Report,
33,Thu,2023-05-04,22:00,Rayo Vallecano,1.4,2–1,0.6,Valladolid,11171,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Match Report,
33,Thu,2023-05-04,22:00,Athletic Club,1.6,0–1,1.2,Betis,43116,San Mamés,Miguel Ángel Ortiz Arias,Match Report,
34,Fri,2023-05-12,21:00,Mallorca,1.2,1–0,0.7,Cádiz,15377,Iberostar Estadi,José Sánchez,Match Report,
34,Sat,2023-05-13,14:00,Real Sociedad,2.7,2–2,1.2,Girona,30027,Reale Arena,Jorge Figueroa,Match Report,
34,Sat,2023-05-13,16:15,Osasuna,1.9,3–1,0.5,Almería,19747,Estadio El Sadar,Antonio Matéu,Match Report,
34,Sat,2023-05-13,18:30,Villarreal,3.2,5–1,3.1,Athletic Club,16871,Estadio de la Cerámica,Carlos del Cerro,Match Report,
34,Sat,2023-05-13,21:00,Real Madrid,0.9,1–0,0.7,Getafe,52201,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
34,Sun,2023-05-14,14:00,Celta Vigo,0.7,1–2,1.2,Valencia,14517,Estadio de Balaídos,César Soto,Match Report,
34,Sun,2023-05-14,16:15,Elche,1.4,1–0,1.5,Atlético Madrid,22174,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
34,Sun,2023-05-14,18:30,Valladolid,2.0,0–3,2.5,Sevilla,21580,Estadio Municipal José Zorrilla,Miguel Ángel Ortiz Arias,Match Report,
34,Sun,2023-05-14,21:00,Espanyol,2.7,2–4,3.1,Barcelona,27360,RCDE Stadium,Ricardo de Burgos,Match Report,
34,Mon,2023-05-15,21:00,Betis,1.5,3–1,1.3,Rayo Vallecano,48143,Estadio Benito Villamarín,Juan Pulido,Match Report,
35,Fri,2023-05-19,21:00,Cádiz,2.2,2–0,0.7,Valladolid,18938,Estadio Nuevo Mirandilla,Juan Martínez,Match Report,
35,Sat,2023-05-20,14:00,Girona,1.2,1–2,1.9,Villarreal,11649,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
35,Sat,2023-05-20,16:15,Athletic Club,1.0,2–1,0.5,Celta Vigo,40759,San Mamés,Mario Melero,Match Report,
35,Sat,2023-05-20,18:30,Almería,1.8,3–0,0.8,Mallorca,12791,Power Horse Stadium,Carlos del Cerro,Match Report,
35,Sat,2023-05-20,18:30,Getafe,1.5,1–1,1.1,Elche,13927,Coliseum Alfonso Pérez,Javier Villanueva,Match Report,
35,Sat,2023-05-20,21:00,Barcelona,1.5,1–2,2.0,Real Sociedad,88049,Camp Nou,Hsu Jason,Match Report,
35,Sun,2023-05-21,14:00,Rayo Vallecano,2.0,1–2,1.6,Espanyol,12142,Estadio del Rayo Vallecano,Alejandro Hernández,Match Report,
35,Sun,2023-05-21,16:15,Atlético Madrid,1.9,3–0,0.8,Osasuna,57012,Estadio Cívitas Metropolitano,Pablo González,Match Report,
35,Sun,2023-05-21,18:30,Valencia,1.0,1–0,1.4,Real Madrid,46002,Estadio de Mestalla,Ricardo de Burgos,Match Report,
