rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
83,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,404,478,84.5,5038,1028,270,306,95,109,9,15,1,1.8,1.2,-0.8,18,26,14,1,42,Matches
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,547,719,76.1,10396,4169,200,247,280,325,57,120,4,1.4,0.9,+2.6,13,58,9,3,67,Matches
85,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,1351,1667,81.0,22402,8237,606,702,676,788,54,111,2,1.1,1.1,+0.9,10,67,7,3,75,Matches
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,3,4,75.0,29,1,3,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,1907,2119,90.0,29696,8181,1046,1120,673,726,124,162,3,2.6,2.0,+0.4,23,176,20,0,173,Matches
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,1126,1272,88.5,17463,3797,603,644,422,454,68,109,4,2.3,2.5,+1.7,26,84,25,4,145,Matches
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,248,440,56.4,2917,647,175,271,49,99,6,12,2,3.1,1.6,-1.1,19,13,12,0,31,Matches
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,1184,1340,88.4,23313,9315,357,378,714,749,107,199,0,0.1,0.4,-0.1,3,72,4,0,59,Matches
92,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,53,65,81.5,792,155,29,34,17,22,4,4,0,0.1,0.1,-0.1,2,2,0,0,3,Matches
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,1165,1425,81.8,20136,7677,536,596,489,568,105,187,2,1.0,1.2,+1.0,16,124,18,3,112,Matches
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
95,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,985,1225,80.4,16094,4888,490,545,415,501,63,131,2,2.3,2.5,-0.3,13,69,19,8,88,Matches
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,1350,1662,81.2,21238,7361,705,794,514,595,91,162,3,1.9,1.8,+1.1,18,74,17,8,77,Matches
97,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
