rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,24,8,994,11.0,3,1,4,3,0,0,0,0,2.7,2.7,0.4,3.1,6,41,2,0.27,0.09,0.36,0.27,0.36,0.24,0.04,0.28,0.24,0.28,Matches
54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Daley Blind,nl NED,DF,Ajax,31,1990,34,32,2808,31.2,1,2,3,1,0,0,2,0,1.9,1.9,3.9,5.8,66,497,207,0.03,0.06,0.10,0.03,0.10,0.06,0.12,0.19,0.06,0.19,Matches
57,Tom Boere,nl NED,FW,Cambuur,28,1992,22,14,1266,14.1,6,1,7,6,0,0,1,0,4.6,4.6,1.9,6.5,9,24,77,0.43,0.07,0.50,0.43,0.50,0.33,0.14,0.46,0.33,0.46,Matches
58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,7,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Pieter Bos,nl NED,GK,Cambuur,24,1997,6,5,459,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Olivier Boscagli,fr FRA,"DF,MF",PSV Eindhoven,23,1997,28,26,2355,26.2,4,0,4,4,0,0,2,0,1.4,1.4,1.1,2.5,32,195,12,0.15,0.00,0.15,0.15,0.15,0.05,0.04,0.10,0.05,0.10,Matches
62,Jesse Bosch,nl NED,MF,Twente,21,2000,26,7,877,9.7,1,0,1,1,0,0,0,0,1.3,1.3,1.2,2.4,11,22,23,0.10,0.00,0.10,0.10,0.10,0.13,0.12,0.25,0.13,0.25,Matches
63,Jordan Botaka,cd COD,"MF,DF",Fortuna Sittard,28,1993,7,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,6,7,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
64,Ioannis-Foivos Botos,gr GRE,"MF,FW",Go Ahead Eag,20,2000,22,11,1032,11.5,3,0,3,3,0,0,1,1,1.9,1.9,0.8,2.6,13,26,84,0.26,0.00,0.26,0.26,0.26,0.16,0.07,0.23,0.16,0.23,Matches
