rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
144,Gaël Clichy,fr FRA,DF,Başakşehir,34,1985,30.5,,,,,,,,,,,,,,,,,,,,,Matches
145,Isaac Cofie,gh GHA,MF,Sivasspor,27,1991,9.1,,,,,,,,,,,,,,,,,,,,,Matches
146,Kamil Çörekçi,tr TUR,"DF,MF",Trabzonspor,27,1992,12.9,,,,,,,,,,,,,,,,,,,,,Matches
147,Manuel da Costa,ma MAR,DF,Trabzonspor,33,1986,9.2,,,,,,,,,,,,,,,,,,,,,Matches
148,Osman Çötür,,DF,Kayserispor,17,2001,1.0,,,,,,,,,,,,,,,,,,,,,Matches
149,Enzo Crivelli,fr FRA,"FW,MF",Başakşehir,24,1995,27.8,,,,,,,,,,,,,,,,,,,,,Matches
150,Erdon Daci,mk MKD,"FW,MF",Konyaspor,21,1998,8.3,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
151,Nill De Pauw,cd COD,"MF,FW",Rizespor,29,1990,4.7,,,,,,,,,,,,,,,,,,,,,Matches
152,Emre Demir,tr TUR,"MF,FW",Kayserispor,15,2004,5.6,,,,,,,,,,,,,,,,,,,,,Matches
153,Muhammet Demir,tr TUR,FW,Gaziantep FK,27,1992,12.5,,,,,,,,,,,,,,,,,,,,,Matches
154,Uğur Demirok,tr TUR,DF,Konyaspor,31,1988,12.1,,,,,,,,,,,,,,,,,,,,,Matches
155,İlhan Depe,tr TUR,MF,Kasımpaşa,26,1992,9.2,,,,,,,,,,,,,,,,,,,,,Matches
156,Eren Derdiyok,ch SUI,FW,Göztepe,31,1988,3.0,,,,,,,,,,,,,,,,,,,,,Matches
157,Ersin Destanoğlu,tr TUR,GK,Beşiktaş,18,2001,8.0,,,,,,,,,,,,,,,,,,,,,Matches
158,Abdoulay Diaby,ml MLI,MF,Beşiktaş,28,1991,20.6,,,,,,,,,,,,,,,,,,,,,Matches
159,Fallou Diagne,sn SEN,DF,Konyaspor,29,1989,3.0,,,,,,,,,,,,,,,,,,,,,Matches
160,Mbaye Diagne,sn SEN,FW,Galatasaray,27,1991,2.2,,,,,,,,,,,,,,,,,,,,,Matches
161,Abdoulaye Diallo,sn SEN,GK,Gençlerbirliği,27,1992,4.0,,,,,,,,,,,,,,,,,,,,,Matches
162,Sadio Diallo,gn GUI,MF,Gençlerbirliği,28,1990,1.8,,,,,,,,,,,,,,,,,,,,,Matches
163,Souleymane Diarra,ml MLI,MF,Gaziantep FK,24,1995,13.5,,,,,,,,,,,,,,,,,,,,,Matches
164,Soner Dikmen,tr TUR,MF,Gençlerbirliği,25,1993,4.7,,,,,,,,,,,,,,,,,,,,,Matches
165,Ismaël Diomandé,ci CIV,MF,Rizespor,26,1992,19.6,,,,,,,,,,,,,,,,,,,,,Matches
166,Nabil Dirar,ma MAR,DF,Fenerbahçe,33,1986,26.4,,,,,,,,,,,,,,,,,,,,,Matches
167,Brice Dja Djédjé,ci CIV,MF,Kayserispor,28,1990,28.7,,,,,,,,,,,,,,,,,,,,,Matches
168,Papy Djilobodji,sn SEN,"DF,MF",Gaziantep FK,30,1988,32.4,,,,,,,,,,,,,,,,,,,,,Matches
169,Mitchell Donald,sr SUR,MF,Yeni Mal'spor,30,1988,21.0,,,,,,,,,,,,,,,,,,,,,Matches
170,Ryan Donk,sr SUR,DF,Galatasaray,33,1986,23.7,,,,,,,,,,,,,,,,,,,,,Matches
171,Douglas,br BRA,DF,Beşiktaş,28,1990,3.0,,,,,,,,,,,,,,,,,,,,,Matches
172,Jean-Armel Drolé,ci CIV,FW,Antalyaspor,21,1997,0.0,,,,,,,,,,,,,,,,,,,,,Matches
173,Abdullah Durak,tr TUR,"MF,DF",Rizespor,32,1987,17.5,,,,,,,,,,,,,,,,,,,,,Matches
174,Jimmy Durmaz,se SWE,MF,Galatasaray,30,1989,2.4,,,,,,,,,,,,,,,,,,,,,Matches
175,Abdurrahim Dursun,tr TUR,DF,Trabzonspor,20,1998,0.4,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
176,Salih Dursun,tr TUR,DF,Antalyaspor,28,1991,0.8,,,,,,,,,,,,,,,,,,,,,Matches
177,Volkan Egri,,DF,Sivasspor,21,1998,0.2,,,,,,,,,,,,,,,,,,,,,Matches
178,Mehmet Ekici,tr TUR,MF,Fenerbahçe,29,1990,4.4,,,,,,,,,,,,,,,,,,,,,Matches
179,Caleb Ekuban,gh GHA,MF,Trabzonspor,25,1994,15.4,,,,,,,,,,,,,,,,,,,,,Matches
180,Eljero Elia,nl NED,MF,Başakşehir,32,1987,14.6,,,,,,,,,,,,,,,,,,,,,Matches
181,Mohamed Elneny,eg EGY,MF,Beşiktaş,27,1992,26.5,,,,,,,,,,,,,,,,,,,,,Matches
182,Berkan Emir,tr TUR,DF,Göztepe,31,1988,29.9,,,,,,,,,,,,,,,,,,,,,Matches
183,Alexandru Epureanu,md MDA,DF,Başakşehir,32,1986,27.8,,,,,,,,,,,,,,,,,,,,,Matches
184,Ziya Erdal,tr TUR,"MF,DF",Sivasspor,31,1988,12.6,,,,,,,,,,,,,,,,,,,,,Matches
185,Mehmet Erdem Uğurlu,tr TUR,DF,Gaziantep FK,31,1988,1.6,,,,,,,,,,,,,,,,,,,,,Matches
186,Mevlüt Erdinç,tr TUR,FW,Fenerbahçe,32,1987,2.0,,,,,,,,,,,,,,,,,,,,,Matches
187,Doğan Erdoğan,tr TUR,MF,Trabzonspor,22,1996,5.3,,,,,,,,,,,,,,,,,,,,,Matches
188,Yusuf Erdoğan,tr TUR,MF,Kasımpaşa,26,1992,9.1,,,,,,,,,,,,,,,,,,,,,Matches
189,Caner Erkin,tr TUR,"DF,MF",Beşiktaş,30,1988,27.4,,,,,,,,,,,,,,,,,,,,,Matches
190,Oscar Estupiñan,co COL,"FW,MF",Denizlispor,22,1996,12.0,,,,,,,,,,,,,,,,,,,,,Matches
191,Radamel Falcao,co COL,FW,Galatasaray,33,1986,12.3,,,,,,,,,,,,,,,,,,,,,Matches
192,Simon Falette,gn GUI,DF,Fenerbahçe,27,1992,7.9,,,,,,,,,,,,,,,,,,,,,Matches
193,Fabien Farnolle,bj BEN,GK,Yeni Mal'spor,34,1984,34.0,,,,,,,,,,,,,,,,,,,,,Matches
194,Ömer Faruk Beyaz,tr TUR,MF,Fenerbahçe,15,2003,1.6,,,,,,,,,,,,,,,,,,,,,Matches
195,Ricardo Faty,sn SEN,MF,Ankaragücü,32,1986,22.9,,,,,,,,,,,,,,,,,,,,,Matches
196,Sofiane Feghouli,dz ALG,MF,Galatasaray,29,1989,24.3,,,,,,,,,,,,,,,,,,,,,Matches
197,Ivanildo Fernandes,cv CPV,DF,Trabzonspor,23,1996,2.5,,,,,,,,,,,,,,,,,,,,,Matches
198,Ivanildo Fernandes,cv CPV,DF,Rizespor,23,1996,10.6,,,,,,,,,,,,,,,,,,,,,Matches
199,Jorge Filipe Oliveira Fernandes,pt POR,DF,Kasımpaşa,22,1997,13.6,,,,,,,,,,,,,,,,,,,,,Matches
200,Junior Fernándes,cl CHI,MF,Alanyaspor,31,1988,20.7,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
201,Fernando,br BRA,"MF,FW",Sivasspor,26,1993,16.5,,,,,,,,,,,,,,,,,,,,,Matches
