rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
115,Johannes Eggestein,de GER,"MF,FW",Werder Bremen,21,1998,5.7,8,6,2,2,4,3,12,9,6,0,6,2,10,4,0,Matches
116,Maximilian Eggestein,de GER,MF,Werder Bremen,22,1996,31.7,40,28,20,18,2,15,43,28,37,8,29,36,76,57,0,Matches
117,Kingsley Ehizibue,nl NED,DF,Köln,24,1995,25.9,78,53,43,30,5,33,53,20,28,8,20,39,117,79,1,Matches
118,Ilay Elmkies,il ISR,MF,Hoffenheim,19,2000,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
119,Nico Elvedi,ch SUI,DF,Gladbach,22,1996,29.1,45,27,37,8,0,19,38,19,32,15,17,62,107,112,0,Matches
120,Breel Embolo,ch SUI,"FW,MF",Gladbach,22,1997,17.2,22,11,2,15,5,4,15,11,12,1,11,8,30,5,0,Matches
121,Alexander Esswein,de GER,"FW,MF",Hertha BSC,29,1990,2.4,6,4,4,2,0,3,8,5,8,1,7,7,13,7,1,Matches
122,Antony Evans,eng ENG,"MF,DF",Paderborn 07,20,1998,1.7,5,4,1,3,1,1,5,4,1,1,0,2,7,4,0,Matches
123,Simon Falette,gn GUI,DF,Eint Frankfurt,27,1992,1.0,0,0,0,0,0,0,1,1,3,3,0,3,3,5,0,Matches
124,Ohis Felix Uduokhai,de GER,DF,Augsburg,21,1997,21.8,43,26,30,12,1,19,29,10,40,30,10,36,79,125,2,Matches
125,Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,23,1996,16.5,33,20,12,15,6,15,33,18,17,9,8,32,65,47,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,32,1986,8.6,30,18,13,17,0,7,21,14,11,3,8,16,46,9,2,Matches
127,Oliver Fink,de GER,"MF,FW",Düsseldorf,37,1982,7.5,21,12,7,11,3,5,16,11,12,1,11,15,36,7,0,Matches
128,Alfreð Finnbogason,is ISL,FW,Augsburg,30,1989,10.7,11,6,1,9,1,2,7,5,8,2,6,3,14,8,0,Matches
129,Mark Flekken,nl NED,GK,Freiburg,26,1993,10.0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,Matches
130,Emil Forsberg,se SWE,MF,RB Leipzig,27,1991,12.7,16,10,5,8,3,6,26,20,15,0,15,5,21,3,0,Matches
131,Raphael Framberger,de GER,DF,Augsburg,23,1995,13.1,43,25,23,16,4,21,29,8,23,9,14,20,63,26,0,Matches
132,Mike Frantz,de GER,MF,Freiburg,32,1986,3.9,4,2,1,3,0,2,9,7,5,3,2,1,5,4,0,Matches
133,Marco Friedl,at AUT,"DF,MF",Werder Bremen,21,1998,24.3,61,39,42,15,4,29,54,25,29,9,20,34,95,78,0,Matches
134,Marvin Friedrich,de GER,DF,Union Berlin,23,1995,31.0,45,31,30,14,1,12,37,25,46,24,22,42,87,110,0,Matches
135,Samúel Friðjónsson,is ISL,MF,Paderborn 07,23,1996,2.1,4,1,3,1,0,1,3,2,4,1,3,4,8,4,0,Matches
136,Niclas Füllkrug,de GER,FW,Werder Bremen,26,1993,4.5,2,2,1,1,0,1,3,2,3,0,3,3,5,6,0,Matches
137,Mijat Gaćinović,rs SRB,"MF,FW",Eint Frankfurt,24,1995,11.6,19,11,7,8,4,6,25,19,26,2,24,15,34,6,0,Matches
138,Theodor Gebre Selassie,cz CZE,"DF,MF",Werder Bremen,32,1986,27.0,36,27,23,10,3,17,35,18,26,9,17,63,99,81,0,Matches
139,Dennis Geiger,de GER,MF,Hoffenheim,21,1998,12.6,12,5,4,6,2,2,16,14,9,2,7,6,18,4,0,Matches
140,Christian Gentner,de GER,MF,Union Berlin,33,1985,27.1,53,28,16,32,5,22,73,51,46,8,38,54,107,50,0,Matches
141,Yannick Gerhardt,de GER,MF,Wolfsburg,25,1994,9.2,28,18,7,15,6,8,21,13,11,3,8,12,40,9,0,Matches
142,Niko Gießelmann,de GER,DF,Düsseldorf,27,1991,22.9,46,31,31,11,4,22,45,23,23,6,17,27,73,55,1,Matches
143,Rafał Gikiewicz,pl POL,GK,Union Berlin,31,1987,33.0,1,0,1,0,0,1,4,3,0,0,0,2,3,26,4,Matches
144,Daniel Ginczek,de GER,FW,Wolfsburg,28,1991,8.5,4,3,3,1,0,1,11,10,3,1,2,1,5,3,0,Matches
145,Matthias Ginter,de GER,DF,Gladbach,25,1994,30.9,34,20,19,14,1,17,31,14,27,22,5,34,68,125,3,Matches
146,Klaus Gjasula,al ALB,MF,Paderborn 07,29,1989,25.3,69,39,30,35,4,30,61,31,33,6,27,32,101,50,2,Matches
147,Serge Gnabry,de GER,"FW,MF",Bayern Munich,24,1995,24.4,36,16,4,19,13,9,29,20,17,0,17,16,52,2,1,Matches
148,Akaki Gogia,de GER,"MF,FW",Union Berlin,27,1992,1.3,2,1,0,0,2,0,2,2,2,2,0,0,2,0,0,Matches
149,Benjamin Goller,de GER,"FW,MF",Werder Bremen,20,1999,3.2,8,3,3,4,1,3,10,7,3,0,3,1,9,1,0,Matches
150,Jérôme Gondorf,de GER,MF,Freiburg,31,1988,1.3,9,6,7,1,1,3,6,3,3,2,1,0,9,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Leon Goretzka,de GER,MF,Bayern Munich,24,1995,16.8,28,15,7,18,3,10,32,22,18,2,16,24,52,8,0,Matches
152,Mario Götze,de GER,FW,Dortmund,27,1992,5.8,10,7,0,6,4,3,12,9,3,0,3,2,12,1,0,Matches
153,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,28,1991,18.3,28,16,22,5,1,12,21,9,15,8,7,37,65,97,0,Matches
154,Michael Gregoritsch,at AUT,"MF,FW",Augsburg,25,1994,3.4,2,2,0,2,0,0,4,4,4,1,3,3,5,7,0,Matches
155,Michael Gregoritsch,at AUT,FW,Schalke 04,25,1994,9.2,8,5,0,6,2,0,9,9,9,1,8,2,10,10,0,Matches
156,Vincenzo Grifo,it ITA,MF,Hoffenheim,26,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,26,1993,18.0,15,10,9,3,3,6,25,19,13,1,12,14,29,18,1,Matches
158,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,23,1995,26.8,59,29,34,24,1,29,61,32,33,6,27,49,108,41,1,Matches
159,Christian Groß,de GER,"DF,MF",Werder Bremen,30,1989,9.7,23,17,16,5,2,9,16,7,13,7,6,14,37,50,1,Matches
