rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
25,Ryan Andrews,eng ENG,DF,Watford,17,2004,5.4,175,261,67.0,2842,945,82,95,73,107,13,41,0,0.2,0.3,-0.2,2,14,2,1,18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Faustino Anjorin,eng ENG,"MF,FW",Huddersfield,20,2001,4.9,103,136,75.7,1622,385,54,62,35,44,8,16,0,0.0,0.1,0.0,2,14,2,0,13,Matches
27,Robert Apter,sct SCO,MF,Blackpool,19,2003,0.2,8,11,72.7,115,14,4,5,4,4,0,0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
28,Henrique Araújo,pt POR,FW,Watford,20,2002,3.8,51,75,68.0,614,86,35,47,14,16,0,0,1,1.1,0.8,-0.1,3,4,0,0,5,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,18,2004,0.8,28,35,80.0,436,142,15,18,10,12,1,1,0,0.0,0.0,0.0,0,2,1,0,6,Matches
30,Cameron Archer,eng ENG,FW,Middlesbrough,21,2001,15.2,261,324,80.6,3176,418,179,214,67,73,4,5,6,4.3,3.7,+1.7,25,11,8,0,19,Matches
31,Sinclair Armstrong,ie IRL,"FW,MF",QPR,19,2003,6.1,74,102,72.5,1154,67,36,51,21,27,9,9,0,0.1,0.2,-0.1,4,2,1,0,2,Matches
32,Yaser Asprilla,co COL,"MF,FW",Watford,18,2003,16.7,426,582,73.2,6649,1973,233,300,127,169,40,65,2,2.9,2.4,-0.9,25,40,17,4,54,Matches
33,Britt Assombalonga,cd COD,"FW,MF",Watford,29,1992,2.1,13,21,61.9,141,46,8,11,3,3,0,0,0,0.1,0.0,-0.1,2,0,1,0,2,Matches
34,Robert Atkinson,eng ENG,DF,Bristol City,24,1998,23.8,818,1090,75.0,13769,5496,374,473,367,456,60,117,1,0.6,0.5,+0.4,7,60,9,3,78,Matches
35,Daniel Ayala,es ESP,DF,Blackburn,31,1990,22.0,1035,1188,87.1,21424,7261,288,320,594,653,144,192,1,0.3,0.2,+0.7,2,15,1,0,22,Matches
36,Femi Azeez,eng ENG,"MF,FW",Reading,21,2001,7.3,137,233,58.8,2735,814,71,91,37,61,28,61,2,0.8,1.2,+1.2,13,11,4,3,9,Matches
37,Miguel Azeez,eng ENG,MF,Wigan Athletic,19,2002,1.2,39,50,78.0,650,87,17,19,13,18,6,10,0,0.1,0.0,-0.1,2,1,0,0,2,Matches
38,Abdoullah Ba,fr FRA,"MF,FW",Sunderland,19,2003,8.9,254,325,78.2,3854,993,134,152,88,111,16,26,1,0.6,0.6,+0.4,12,24,8,3,39,Matches
39,Daniel Bachmann,at AUT,GK,Watford,28,1994,45.0,943,1362,69.2,23964,16364,240,243,449,453,245,650,0,0.2,0.1,-0.2,1,16,0,0,0,Matches
40,Juninho Bacuna,cw CUW,MF,Birmingham City,24,1997,32.2,681,1094,62.2,12768,5109,309,392,226,336,118,275,6,5.1,5.4,+0.9,45,107,32,12,123,Matches
41,Leandro Bacuna,cw CUW,MF,Watford,30,1991,8.8,225,283,79.5,4239,1212,87,108,112,127,24,40,0,0.2,0.2,-0.2,3,10,2,0,23,Matches
42,Joel Bagan,ie IRL,DF,Cardiff City,22,2000,0.1,0,1,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
43,Lewis Baker,eng ENG,MF,Stoke City,27,1995,30.7,930,1218,76.4,17107,4971,400,446,376,452,117,253,5,2.2,3.9,+2.8,34,91,19,5,116,Matches
44,George Baldock,gr GRE,DF,Sheffield Utd,29,1993,32.0,1029,1383,74.4,14943,5788,636,714,291,406,68,153,3,3.3,3.5,-0.3,30,80,43,14,116,Matches
45,Daniel Ballard,nir NIR,DF,Sunderland,22,1999,17.9,712,883,80.6,12910,5789,285,316,355,404,61,133,1,0.5,0.3,+0.5,4,54,0,0,53,Matches
46,Leon Balogun,ng NGA,DF,QPR,34,1988,13.7,378,511,74.0,7337,2823,120,146,212,253,42,89,0,0.0,0.1,0.0,0,12,1,0,19,Matches
47,Daniel Barlaser,tr TUR,MF,Rotherham Utd,25,1997,26.9,978,1397,70.0,18276,7446,424,501,386,519,149,319,7,6.1,5.6,+0.9,48,135,41,10,169,Matches
48,Daniel Barlaser,tr TUR,MF,Middlesbrough,25,1997,4.6,381,459,83.0,5807,1985,208,223,121,150,30,53,1,0.5,0.8,+0.5,6,39,9,1,44,Matches
49,Ashley Barnes,eng ENG,"FW,MF",Burnley,32,1989,21.2,291,450,64.7,4763,961,148,203,108,158,22,41,3,2.4,1.2,+0.6,24,28,11,0,44,Matches
50,Kyle Bartley,eng ENG,DF,West Brom,31,1991,7.4,318,410,77.6,6086,1799,93,114,196,221,25,64,0,0.0,0.1,0.0,0,11,0,0,15,Matches
