rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
125,Luís Cervantes,mx MEX,DF,León,21,2001,2.1,1,1,1,0,0,1,3,2,3,0,3,1,2,13,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Aníbal Chalá,ec ECU,"DF,MF",Atlas,26,1996,11.3,11,6,2,8,1,1,10,9,14,3,11,10,21,10,0,Matches
127,Diego Chávez,mx MEX,"FW,MF",FC Juárez,27,1995,2.3,3,2,3,0,0,1,4,3,5,1,4,1,4,4,0,Matches
128,Luis Chávez,mx MEX,MF,Pachuca,26,1996,31.1,53,32,26,22,5,15,47,32,39,10,29,57,110,46,2,Matches
129,Ricardo Chávez Soto,mx MEX,DF,Atlético,27,1994,31.2,102,57,62,36,4,55,86,31,27,8,19,34,136,91,0,Matches
130,Ronaldo Cisneros,mx MEX,"FW,MF",Guadalajara,25,1997,9.6,5,4,2,1,2,2,6,4,0,0,0,2,7,7,0,Matches
131,Josué Colmán,py PAR,"MF,FW",Mazatlán,24,1998,11.6,7,6,2,4,1,1,12,11,12,0,12,3,10,5,0,Matches
132,Bryan Colula,mx MEX,DF,Mazatlán,26,1996,21.5,48,29,27,19,2,27,45,18,25,10,15,42,90,55,0,Matches
133,Francisco Contreras,mx MEX,"DF,MF",Tijuana,23,1999,7.8,17,10,8,7,2,10,15,5,10,3,7,17,34,10,0,Matches
134,José Corona,mx MEX,GK,Cruz Azul,41,1981,23.0,1,0,1,0,0,1,2,1,1,0,1,0,1,5,3,Matches
135,George Corral,mx MEX,"DF,MF",Puebla,32,1990,3.0,5,4,4,1,0,2,2,0,6,4,2,3,8,7,0,Matches
136,Rogelio Cortéz Pineda,mx MEX,MF,Necaxa,18,2004,1.6,6,5,1,4,1,3,7,4,2,1,1,2,8,3,0,Matches
137,Jordi Cortizo,mx MEX,"MF,FW",Puebla,26,1996,13.5,32,18,8,22,2,14,32,18,6,0,6,12,44,8,0,Matches
138,Jordi Cortizo,mx MEX,"MF,FW",Monterrey,26,1996,4.2,11,10,5,5,1,3,9,6,4,0,4,4,15,0,0,Matches
139,Rodolfo Cota,mx MEX,GK,León,35,1987,34.0,3,1,3,0,0,3,6,3,2,0,2,0,3,15,0,Matches
140,Aldo Cruz,mx MEX,DF,Atlético,24,1997,14.5,11,6,6,5,0,5,11,6,13,4,9,11,22,41,0,Matches
141,Jürgen Damm,mx MEX,"FW,MF",América,29,1992,1.0,1,0,0,1,0,1,2,1,1,1,0,1,2,0,0,Matches
142,Jorge Daniel Hernández,mx MEX,MF,Querétaro,33,1989,13.9,30,20,12,17,1,18,40,22,15,4,11,20,50,29,0,Matches
143,Juan David Castro,mx MEX,"MF,FW",Atlético,30,1991,4.0,9,6,6,2,1,3,8,5,3,1,2,3,12,3,0,Matches
144,José David Ramírez,mx MEX,DF,León,26,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Matches
145,Víctor Dávila,cl CHI,"FW,MF",León,24,1997,23.4,19,10,4,10,5,7,12,5,19,2,17,5,24,13,0,Matches
146,Diego De Buen,mx MEX,"DF,MF",Puebla,31,1991,33.5,62,39,40,18,4,25,52,27,48,33,15,28,90,131,1,Matches
147,Sergio De los Ríos,mx MEX,MF,América,19,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Arturo del Campo,mx MEX,MF,Toluca,19,2003,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Matches
149,Gustavo Del Prete,ar ARG,"MF,FW",UNAM,26,1996,22.0,23,13,2,13,8,11,28,17,24,5,19,8,31,2,0,Matches
150,Everardo Del Villar,mx MEX,DF,Toluca,17,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,Matches
